"time","headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType"
0.01,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.05,0,0,0,0,0,0
0.07,1,0,0,0,0,1
0.09,1,0,0,0,0,1
0.11,1,0,0,0,0,1
0.13,1,0,0,0,0,1
0.15,1,0,0,0,0,2
0.17,1,0,0,0,0,2
0.19,1,0,0,0,0,2
0.21,1,0,0,0,0,2
0.23,1,0,0,0,0,2
0.25,1,0,0,0,0,2
0.27,1,0,0,0,0,2
0.29,1,0,0,0,0,2
0.31,1,0,0,0,0,2
0.33,1,0,0,0,0,2
0.35,1,0,0,0,0,2
0.37,1,0,0,0,0,2
0.39,1,0,0,0,0,2
0.41,1,0,2,0,2,2
0.43,1,0,4,0,4,2
0.45,1,0,6,0,6,2
0.47,1,0,8,0,8,2
0.49,1,0,10,0,10,2
0.51,1,0,12,0,12,2
0.53,1,0,14,0,14,2
0.55,1,0,16,0,16,2
0.57,1,0,18,0,18,2
0.59,1,0,20,0,20,2
0.61,1,0,22,0,22,2
0.63,1,0,24,0,24,2
0.65,1,0,26,0,26,2
0.67,1,0,28,0,28,2
0.69,1,0,30,0,30,2
0.71,1,0,32,0,32,2
0.73,1,0,34,0,34,2
0.75,1,0,36,0,36,2
0.77,1,0,38,0,38,2
0.79,1,0,40,0,40,2
0.81,1,0,42,0,42,2
0.83,1,0,44,0,44,2
0.85,1,0,46,0,46,2
0.87,1,0,48,0,48,2
0.89,1,0,50,0,50,2
0.91,1,0,52,0,52,2
0.93,1,0,54,0,54,2
0.95,1,0,56,0,56,2
0.97,1,0,58,0,58,2
0.99,1,0,60,0,60,2
1.01,1,0,62,0,62,2
1.03,1,0,64,0,64,2
1.05,1,0,66,0,66,2
1.07,1,0,68,0,68,2
1.09,1,0,70,0,70,2
1.11,1,0,72,0,72,2
1.13,1,0,74,0,74,2
1.15,1,0,76,0,76,2
1.17,1,0,78,0,78,2
1.19,1,0,80,0,80,2
1.21,1,0,82,0,82,2
1.23,1,0,84,0,84,2
1.25,1,0,86,0,86,2
1.27,1,0,88,0,88,2
1.29,1,0,90,0,90,2
1.31,1,0,92,0,92,2
1.33,1,0,94,0,94,2
1.35,1,0,96,0,96,2
1.37,1,0,98,0,98,2
1.39,1,0,100,0,100,2
1.41,1,0,102,0,102,2
1.43,1,0,104,0,104,2
1.45,1,0,106,0,106,2
1.47,1,0,108,0,108,2
1.49,1,0,110,0,110,2
1.51,0,0,0,0,0,2
1.53,0,0,0,0,0,2
