"Time","iAC_1_","iAC_2_","iAC_3_ ","Losses","uAC_1_","uAC_2_","uAC_3_","uDC"
0,0,0,0,0.48,0,0,0,565.6854249
1.00E-05,0.002027743,-0.559988806,0.557961062,0.791889583,281.0082747,-558.9749342,277.9666595,565.3515263
2.00E-05,0.004079511,-0.567634576,0.563555065,0.798777362,285.8570435,-565.5948202,279.7377767,565.0176279
3.00E-05,0.006171636,-0.568805512,0.562633875,0.798299892,287.4276833,-565.6588027,278.2311195,564.6837299
4.32E-05,0.010588035,-0.573563845,0.562975809,0.797546339,289.4162887,-565.6101757,276.1938871,564.2445314
6.80E-05,0.018989294,-0.582639669,0.563650375,0.79619532,293.2019627,-565.532503,272.3305403,563.4146007
8.87E-05,0.025966635,-0.590129863,0.564163228,0.795097288,296.3448406,-565.4431373,269.0982967,562.7229997
0.000109437,0.032915186,-0.597539887,0.564624701,0.794020012,299.4733274,-565.3280849,265.8547574,562.0314057
0.00013015,0.039841809,-0.604883345,0.565041536,0.79296693,302.5908534,-565.1907168,262.5998634,561.3398187
0.00014015,0.043069383,-0.612876942,0.569807559,0.792356101,304.037709,-565.0059922,260.9682832,561.0059396
0.00015015,0.046145479,-0.64641359,0.600268111,0.791683861,305.4088636,-564.672202,259.2633384,560.6720847
0.00016015,0.049219967,-0.700543265,0.651323298,0.791104095,306.7792526,-564.3384886,257.559236,560.3382654
0.00017015,0.05229395,-0.77479441,0.72250046,0.790615007,308.1494332,-564.0048644,255.8554312,560.0044951
0.00018015,0.055367416,-0.868693974,0.813326558,0.790214753,309.5194063,-563.6713417,254.1519354,559.670787
0.00019015,0.058440335,-0.981767991,0.923327656,0.789901484,310.8891628,-563.3379323,252.4487694,559.3371538
0.00020015,0.061512678,-1.113541621,1.052028943,0.789673353,312.2586933,-563.0046476,250.7459543,559.003608
0.000210763,0.064772494,-1.273891948,1.209119454,0.789524664,313.7118334,-562.6511077,248.9392743,558.64975
0.000222291,0.068312971,-1.45984205,1.391529078,0.789423232,315.2900881,-562.2671364,246.9770484,558.2654096
0.000240036,0.073760738,-1.790903073,1.717142335,0.789473717,317.7186638,-561.6765156,243.9578518,557.6741309
0.000260148,0.079932331,-2.228968886,2.149036556,0.78982261,320.4700861,-561.0077617,240.5376756,557.0045057
0.00028327,0.087023581,-2.81022486,2.723201278,0.790587697,323.6317645,-560.2398607,236.6080962,556.2354477
0.000310178,0.095270206,-3.583601759,3.488331553,0.791938732,327.3089633,-559.3476253,232.038662,555.3416721
0.000341926,0.104991307,-4.617880638,4.51288933,0.794122179,331.6442353,-558.2970581,226.6528228,554.2890439
0.000380034,0.116646049,-6.012571472,5.895925423,0.797504129,336.8427873,-557.0394091,220.1966218,553.0286146
0.00042689,0.130953137,-7.918641923,7.787688787,0.802652108,343.2259253,-555.498583,212.2726577,551.4839876
0.000486789,0.149201236,-10.58636847,10.43716723,0.810522398,351.3698971,-553.5384093,202.1685122,549.5184928
0.000569594,0.174338833,-14.51502425,14.34068542,0.823040505,362.5931774,-550.8473475,188.2541701,546.8195935
0.000717508,0.218937594,-21.3704371,21.15149951,0.846632161,382.5154371,-546.093061,163.5776239,542.0516312
0.000819193,0.249329382,-25.40086476,25.15153538,0.861411932,396.0948764,-542.8601213,146.7652449,538.8106546
0.000925488,0.280826024,-28.35530526,28.07447923,0.872784428,410.1645745,-539.5028446,129.3382701,535.4474938
0.00101584,0.3073541,-29.4618281,29.154474,0.8774728,422.0064344,-536.6584615,114.6520271,532.6009184
0.001095829,0.330633391,-29.07932922,28.74869583,0.876576192,432.386614,-534.1395066,101.7528926,530.0827468
0.001168158,0.35150397,-27.43739452,27.08589055,0.870855256,441.6793048,-531.8542884,90.17498355,527.8008288
0.001233687,0.3702561,-24.74892953,24.37867343,0.861073152,450.0142455,-529.7720208,79.75777534,525.7239527
0.001292624,0.386987865,-21.25802619,20.87103833,0.848151089,457.4365976,-527.8849428,70.44834521,523.8438694
0.001344897,0.401717097,-17.24436584,16.84264874,0.833167522,463.9568956,-526.1962926,62.23939703,522.1632579
0.001390293,0.414420801,-13.01516697,12.60074617,0.817312908,469.5685251,-524.7158349,55.14730978,520.6912684
0.001428512,0.425050691,-8.892162774,8.467112083,0.801828835,474.2543963,-523.4576761,49.20327981,519.4413637
0.001451141,0.431315841,-6.200227803,5.768911961,0.791715134,477.0116769,-522.7070813,45.69540436,518.6961575
0.001467619,0.435864287,-4.119595202,3.683730915,0.783898923,479.0111858,-522.1576484,43.14646258,518.1508894
0.001478073,0.438743744,-2.746261237,2.307517493,0.778740984,480.2759831,-521.8077835,41.53180039,517.8037733
0.001488073,0.441493824,-1.393253329,0.951759506,0.773660697,481.4831875,-521.4721098,39.98892229,517.4708077
0.001498073,0.297915863,-0.661067494,0.36315163,0.729967548,479.4916784,-512.1095619,32.61788351,517.1369573
