"time","Piston_0r2","Inertia_0w"
0,0.3,0
0.001,0.3,0.00942159
0.002,0.3,0.0189502
0.003,0.3,0.0286656
0.004,0.3,0.038654
0.005,0.3,0.0490089
0.006,0.3,0.0598188
0.007,0.3,0.0711823
0.008,0.3,0.0832145
0.009,0.3,0.0960261
0.01,0.3,0.109745
0.011,0.3,0.124496
0.012,0.3,0.140424
0.013,0.3,0.157675
0.014,0.3,0.176414
0.015,0.3,0.196816
0.016,0.3,0.219065
0.017,0.299999,0.24338
0.018,0.299999,0.269981
0.019,0.299999,0.299123
0.02,0.299999,0.331077
0.021,0.299999,0.366149
0.022,0.299999,0.404665
0.023,0.299998,0.446993
0.024,0.299998,0.493525
0.025,0.299998,0.544706
0.026,0.299997,0.601009
0.027,0.299996,0.662973
0.028,0.299996,0.731166
0.029,0.299995,0.806241
0.03,0.299994,0.888893
0.031,0.299992,0.979905
0.032,0.299991,1.08013
0.033,0.299989,1.1905
0.034,0.299986,1.31206
0.035,0.299983,1.44595
0.036,0.29998,1.59341
0.037,0.299975,1.75584
0.038,0.29997,1.93473
0.039,0.299964,2.13175
0.04,0.299956,2.34874
0.041,0.299946,2.5877
0.042,0.299935,2.85083
0.043,0.299921,3.14056
0.044,0.299904,3.45953
0.045,0.299884,3.81063
0.046,0.299859,4.19703
0.047,0.299829,4.62218
0.048,0.299792,5.08981
0.049,0.299748,5.60399
0.05,0.299694,6.16909
0.051,0.299629,6.78983
0.052,0.299551,7.4713
0.053,0.299455,8.21872
0.054,0.299339,9.03778
0.055,0.299199,9.93449
0.056,0.29903,10.9151
0.057,0.298826,11.9852
0.058,0.29858,13.1516
0.059,0.298282,14.4197
0.06,0.297925,15.7946
0.061,0.297495,17.2814
0.062,0.29698,18.8825
0.063,0.296363,20.6008
0.064,0.295627,22.4354
0.065,0.294752,24.3841
0.066,0.293714,26.4418
0.067,0.292489,28.6004
0.068,0.29105,30.8492
0.069,0.289367,33.1753
0.07,0.287411,35.5623
0.071,0.285151,37.9958
0.072,0.282555,40.4573
0.073,0.279595,42.9331
0.074,0.276244,45.4101
0.075,0.272477,47.8804
0.076,0.268274,50.3417
0.077,0.263618,52.7966
0.078,0.258499,55.2553
0.079,0.25291,57.7306
0.08,0.246851,60.243
0.081,0.240329,62.8143
0.082,0.233356,65.4715
0.083,0.225955,68.2434
0.084,0.218154,71.1606
0.085,0.209993,74.2546
0.086,0.201523,77.5547
0.087,0.192805,81.0878
0.088,0.183915,84.8707
0.089,0.174944,88.912
0.09,0.165997,93.1953
0.091,0.157189,97.6856
0.092,0.148647,102.31
0.093,0.140501,106.966
0.094,0.13288,111.515
0.095,0.1259,115.809
0.096,0.11966,119.699
0.097,0.114233,123.082
0.098,0.109665,125.896
0.099,0.105978,128.123
0.1,0.103178,129.777
0.101,0.101259,130.89
0.102,0.100215,131.488
0.102704,0.1,131.612
0.102704,0.1,131.612
0.103,0.100038,131.59
0.104,0.100727,131.198
0.105,0.102286,130.311
0.106,0.104721,128.929
0.107,0.108042,127.055
0.108,0.112253,124.711
0.109,0.117353,121.931
0.11,0.123323,118.789
0.111,0.130124,115.385
0.112,0.137697,111.841
0.113,0.145966,108.291
0.114,0.154837,104.863
0.115,0.164208,101.658
0.116,0.173969,98.7583
0.117,0.184013,96.2245
0.118,0.194232,94.0908
0.119,0.204527,92.3773
0.12,0.2148,91.0966
0.121,0.224961,90.2598
0.122,0.234922,89.8801
0.123,0.244595,89.9713
0.124,0.253893,90.5479
0.125,0.262718,91.6164
0.126,0.270964,93.1808
0.127,0.278506,95.2117
0.128,0.2852,97.6212
0.129,0.290874,100.234
0.13,0.295336,102.76
0.131,0.298391,104.789
0.132,0.299872,105.88
0.13239,0.3,105.982
0.13239,0.3,105.982
0.133,0.299687,105.87
0.134,0.297836,105.256
0.135,0.294392,104.261
0.136,0.28947,103.122
0.137,0.283218,102.095
0.138,0.275766,101.349
0.139,0.267258,101.021
0.14,0.257823,101.197
0.141,0.247579,101.948
0.142,0.236642,103.327
0.143,0.225128,105.384
0.144,0.213163,108.167
0.145,0.200885,111.716
0.146,0.188454,116.061
0.147,0.176056,121.197
0.148,0.163906,127.058
0.149,0.152241,133.487
0.15,0.141313,140.214
0.151,0.131367,146.871
0.152,0.122616,153.045
0.153,0.115218,158.374
0.154,0.109267,162.635
0.155,0.104794,165.769
0.156,0.101793,167.82
0.157,0.100242,168.862
0.157583,0.1,169.025
0.157583,0.1,169.025
0.158,0.100124,168.943
0.159,0.101437,168.066
0.16,0.104192,166.213
0.161,0.108414,163.371
0.162,0.114118,159.566
0.163,0.1213,154.897
0.164,0.129913,149.559
0.165,0.139843,143.883
0.166,0.150923,138.269
0.167,0.162951,133.084
0.168,0.175706,128.609
0.169,0.188961,125.037
0.17,0.202499,122.478
0.171,0.216116,120.995
0.172,0.22961,120.644
0.173,0.242775,121.493
0.174,0.255392,123.616
0.175,0.267208,127.07
0.176,0.277905,131.829
0.177,0.287073,137.621
0.178,0.29419,143.652
