"time", "dFFREG.dataOut[1]", "dFFREG.dataOut[2]"
0,1,1
0.00488281,1,1
0.01,1,1
0.01,1,1
0.01,1,1
0.01488281,1,1
0.02,1,1
0.02,1,1
0.02,1,1
0.02488281,1,1
0.03,1,1
0.03,1,1
0.03,1,1
0.03488281,1,1
0.04,1,1
0.04,1,1
0.04,1,1
0.04488281,1,1
0.05,1,1
0.05,1,1
0.05,1,1
0.05488281,1,1
0.06,1,1
0.06,1,1
0.06,1,1
0.06488281,1,1
0.07000000000000001,1,1
0.07000000000000001,1,1
0.07000000000000001,1,1
0.07488280999999999,1,1
0.08,1,1
0.08,1,1
0.08,1,1
0.08488281,1,1
0.09,1,1
0.09,1,1
0.09,1,1
0.09488281,1,1
0.1,1,1
0.1,1,1
0.1,1,1
0.10488281,1,1
0.11,1,1
0.11,1,1
0.11,1,1
0.11488281,1,1
0.12,1,1
0.12,1,1
0.12,1,1
0.12488281,1,1
0.13,1,1
0.13,1,1
0.13,1,1
0.13488281,1,1
0.14,1,1
0.14,1,1
0.14,1,1
0.14488281,1,1
0.15,1,1
0.15,1,1
0.15,1,1
0.15488281,1,1
0.16,1,1
0.16,1,1
0.16,1,1
0.16488281,1,1
0.17,1,1
0.17,1,1
0.17,1,1
0.17488281,1,1
0.18,1,1
0.18,1,1
0.18,1,1
0.18488281,1,1
0.19,1,1
0.19,1,1
0.19,1,1
0.19488281,1,1
0.2,1,1
0.2,1,1
0.2,1,1
0.20488281,1,1
0.21,1,1
0.21,1,1
0.21,1,1
0.21488281,1,1
0.22,1,1
0.22,1,1
0.22,1,1
0.22488281,1,1
0.23,1,1
0.23,1,1
0.23,1,1
0.23488281,1,1
0.24,1,1
0.24,1,1
0.24,1,1
0.24488281,1,1
0.25,1,1
0.25,1,1
0.25,1,1
0.25488281,1,1
0.26,1,1
0.26,1,1
0.26,1,1
0.26488281,1,1
0.27,1,1
0.27,1,1
0.27,1,1
0.27488281,1,1
0.28,1,1
0.28,1,1
0.28,1,1
0.28488281,1,1
0.29,1,1
0.29,1,1
0.29,1,1
0.29488281,1,1
0.3,1,1
0.3,1,1
0.3,1,1
0.30488281,1,1
0.31,1,1
0.31,1,1
0.31,1,1
0.31488281,1,1
0.32,1,1
0.32,1,1
0.32,1,1
0.32488281,1,1
0.33,1,1
0.33,1,1
0.33,1,1
0.33488281,1,1
0.34,1,1
0.34,1,1
0.34,1,1
0.34488281,1,1
0.35,1,1
0.35,1,1
0.35,1,1
0.35488281,1,1
0.36,1,1
0.36,1,1
0.36,1,1
0.36488281,1,1
0.37,1,1
0.37,1,1
0.37,1,1
0.37488281,1,1
0.38,1,1
0.38,1,1
0.38,1,1
0.38488281,1,1
0.39,1,1
0.39,1,1
0.39,1,1
0.39488281,1,1
0.4,1,1
0.4,1,1
0.4,1,1
0.40488281,1,1
0.41,1,1
0.41,1,1
0.41,1,1
0.41488281,1,1
0.42,1,1
0.42,1,1
0.42,1,1
0.42488281,1,1
