"time","world.frame_b.f[2]","world.frame_b.f[3]","world.frame_b.t[1]","world.frame_b.t[2]","world.frame_b.t[3]","world.g","world.mue","world.driveTrainMechanics3D","world.axisDiameter","world.gravityArrowTail[1]"
0,-112.722,-2.10484,-0.247509,0.315726,-15.4251,9.81,3.986E+14,1,0.0125,0
0.0005,-112.722,-2.11055,-0.24818,0.316582,-15.4251,9.81,3.986E+14,1,0.0125,0
0.001,-112.722,-2.11911,-0.249186,0.317866,-15.4251,9.81,3.986E+14,1,0.0125,0
0.0015,-112.721,-2.13248,-0.250759,0.319872,-15.4251,9.81,3.986E+14,1,0.0125,0
0.002,-112.721,-2.15028,-0.252852,0.322543,-15.425,9.81,3.986E+14,1,0.0125,0
0.0025,-112.721,-2.1729,-0.255512,0.325935,-15.4249,9.81,3.986E+14,1,0.0125,0
0.003,-112.72,-2.20056,-0.258765,0.330085,-15.4248,9.81,3.986E+14,1,0.0125,0
0.0035,-112.719,-2.2334,-0.262626,0.33501,-15.4247,9.81,3.986E+14,1,0.0125,0
0.004,-112.718,-2.2715,-0.267106,0.340725,-15.4246,9.81,3.986E+14,1,0.0125,0
0.0045,-112.717,-2.31494,-0.272214,0.347241,-15.4244,9.81,3.986E+14,1,0.0125,0
0.005,-112.716,-2.36383,-0.277963,0.354574,-15.4242,9.81,3.986E+14,1,0.0125,0
0.0055,-112.714,-2.41827,-0.284365,0.36274,-15.424,9.81,3.986E+14,1,0.0125,0
0.006,-112.713,-2.47839,-0.291434,0.371758,-15.4238,9.81,3.986E+14,1,0.0125,0
0.0065,-112.711,-2.54434,-0.29919,0.381651,-15.4235,9.81,3.986E+14,1,0.0125,0
0.007,-112.709,-2.61627,-0.307648,0.392441,-15.4232,9.81,3.986E+14,1,0.0125,0
0.0075,-112.707,-2.69436,-0.316831,0.404154,-15.4229,9.81,3.986E+14,1,0.0125,0
0.008,-112.704,-2.7788,-0.326761,0.416821,-15.4225,9.81,3.986E+14,1,0.0125,0
0.0085,-112.702,-2.86981,-0.337462,0.430472,-15.4221,9.81,3.986E+14,1,0.0125,0
0.009,-112.698,-2.96754,-0.348954,0.445131,-15.4216,9.81,3.986E+14,1,0.0125,0
0.0095,-112.695,-3.07237,-0.361282,0.460856,-15.4211,9.81,3.986E+14,1,0.0125,0
0.01,-112.691,-3.18452,-0.374469,0.477678,-15.4205,9.81,3.986E+14,1,0.0125,0
0.0105,-112.687,-3.30417,-0.388539,0.495626,-15.4199,9.81,3.986E+14,1,0.0125,0
0.011,-112.683,-3.43153,-0.403515,0.514729,-15.4192,9.81,3.986E+14,1,0.0125,0
0.0115,-112.677,-3.56689,-0.419432,0.535033,-15.4184,9.81,3.986E+14,1,0.0125,0
0.012,-112.672,-3.71067,-0.43634,0.556601,-15.4176,9.81,3.986E+14,1,0.0125,0
