"time","Capacitor1_v","IdealDiode3_off"
0,282.843,1
1.5e-024,282.843,1
1.5e-024,282.843,1
2.96905e-005,282.347,1
2.96905e-005,282.347,1
0.000135905,280.574,1
0.000135905,280.574,0
0.0002,279.504,0
0.0004,276.184,0
0.0006,272.916,0
0.0008,269.71,0
0.001,266.552,0
0.0012,263.401,0
0.0014,260.194,0
0.00149287,258.663,0
0.00149287,258.663,1
0.0016,256.875,1
0.0018,253.538,1
0.00188609,252.102,1
0.00188609,252.102,1
0.002,250.209,1
0.0022,247.018,1
0.0024,244.181,1
0.0026,241.885,1
0.0028,240.281,1
0.003,239.479,1
0.0032,239.549,1
0.0034,240.514,1
0.0036,242.355,1
0.0038,245.007,1
0.004,248.364,1
0.0042,252.278,1
0.0044,256.568,1
0.0046,261.02,1
0.0048,265.392,1
0.005,269.426,1
0.0052,272.847,1
0.00523331,273.338,1
0.00523331,273.338,1
0.0054,275.39,1
0.0056,276.897,1
0.0058,277.256,1
0.00594922,276.712,1
0.00594922,276.712,1
0.006,276.402,1
0.0062,275.166,1
0.0064,273.98,1
0.0066,272.913,1
0.0068,272.012,1
0.007,271.291,1
0.0072,270.736,1
0.0074,270.307,1
0.0076,269.933,1
0.0078,269.522,1
0.008,268.958,1
0.0082,268.103,1
0.0084,266.808,1
0.00850831,265.866,1
0.00850831,265.866,1
0.0086,264.913,1
0.0088,262.342,1
0.00880038,262.337,1
0.00880038,262.337,1
0.009,259.458,1
0.0092,256.737,1
0.0094,254.349,1
0.0096,252.432,1
0.0098,251.088,1
0.01,250.382,1
0.0102,250.34,1
0.0104,250.948,1
0.0106,252.153,1
0.0108,253.865,1
0.011,255.96,1
0.0112,258.278,1
0.0114,260.636,1
0.0116,262.823,1
0.0118,264.615,1
0.0118339,264.863,1
0.0118339,264.863,1
0.012,265.789,1
0.0122,266.232,1
0.0124,265.873,1
0.0125132,265.284,1
0.0125132,265.284,1
0.0126,264.736,1
0.0128,263.619,1
0.013,262.786,1
0.0132,262.307,1
