"time","part5_displacement_output"
0.000,315.895
0.001,315.895
0.001,315.610
0.002,315.610
0.002,315.326
0.003,315.326
0.003,315.042
0.004,315.042
0.004,314.757
0.005,314.757
0.005,314.473
0.006,314.473
0.006,314.188
0.007,314.188
0.007,313.904
0.008,313.904
0.008,313.619
0.009,313.619
0.009,313.334
0.010,313.334
0.010,313.050
0.011,313.050
0.011,312.765
0.012,312.765
0.012,312.480
0.013,312.480
0.013,312.195
0.014,312.195
0.014,311.911
0.015,311.911
0.015,311.626
0.016,311.626
0.016,311.341
0.017,311.341
0.017,311.056
0.018,311.056
0.018,310.771
0.019,310.771
0.019,310.486
0.020,310.486
0.020,310.201
0.021,310.201
0.021,309.916
0.022,309.916
0.022,309.631
0.023,309.631
0.023,309.345
0.024,309.345
0.024,309.060
0.025,309.060
0.025,308.775
0.026,308.775
0.026,308.490
0.027,308.490
0.027,308.204
0.028,308.204
0.028,307.919
0.029,307.919
0.029,307.633
0.030,307.633
0.030,307.348
0.031,307.348
0.031,307.062
0.032,307.062
0.032,306.777
0.033,306.777
0.033,306.491
0.034,306.491
0.034,306.206
0.035,306.206
0.035,305.920
0.036,305.920
0.036,305.634
0.037,305.634
0.037,305.349
0.038,305.349
0.038,305.063
0.039,305.063
0.039,304.777
0.040,304.777
0.040,304.491
0.041,304.491
0.041,304.205
0.042,304.205
0.042,303.919
0.043,303.919
0.043,303.633
0.044,303.633
0.044,303.347
0.045,303.347
0.045,303.061
0.046,303.061
0.046,302.775
0.047,302.775
0.047,302.489
0.048,302.489
0.048,302.203
0.049,302.203
0.049,301.917
0.050,301.917
0.050,301.631
0.051,301.631
0.051,301.344
0.052,301.344
0.052,301.058
0.053,301.058
0.053,300.772
0.054,300.772
0.054,300.485
0.055,300.485
0.055,300.199
0.056,300.199
0.056,299.912
0.057,299.912
0.057,299.626
0.058,299.626
0.058,299.339
0.059,299.339
0.059,299.053
0.060,299.053
0.060,298.766
0.061,298.766
0.061,298.479
0.062,298.479
0.062,298.193
0.063,298.193
0.063,297.906
0.064,297.906
0.064,297.619
0.065,297.619
0.065,297.332
0.066,297.332
0.066,297.046
0.067,297.046
0.067,296.759
0.068,296.759
0.068,296.472
0.069,296.472
0.069,296.185
0.070,296.185
0.070,295.898
0.071,295.898
0.071,295.611
0.072,295.611
0.072,295.324
0.073,295.324
0.073,295.037
0.074,295.037
0.074,294.750
0.075,294.750
0.075,294.462
0.076,294.462
0.076,294.175
0.077,294.175
0.077,293.888
0.078,293.888
0.078,293.601
0.079,293.601
0.079,293.313
0.080,293.313
0.080,293.026
0.081,293.026
0.081,292.738
0.082,292.738
0.082,292.451
0.083,292.451
0.083,292.163
0.084,292.163
0.084,291.876
0.085,291.876
0.085,291.588
0.086,291.588
0.086,291.301
0.087,291.301
0.087,291.013
0.088,291.013
0.088,290.726
0.089,290.726
0.089,290.438
0.090,290.438
0.090,290.150
0.091,290.150
0.091,289.862
0.092,289.862
0.092,289.574
0.093,289.574
0.093,289.287
0.094,289.287
0.094,288.999
0.095,288.999
0.095,288.711
0.096,288.711
0.096,288.423
0.097,288.423
0.097,288.135
0.098,288.135
0.098,287.847
0.099,287.847
0.099,287.559
0.100,287.559
0.100,287.271
0.101,287.271
0.101,286.982
0.102,286.982
0.102,286.694
0.103,286.694
0.103,286.406
0.104,286.406
0.104,286.118
0.105,286.118
0.105,285.829
0.106,285.829
0.106,285.541
0.107,285.541
0.107,285.253
0.108,285.253
0.108,284.964
0.109,284.964
0.109,284.676
0.110,284.676
0.110,284.387
0.111,284.387
0.111,284.099
0.112,284.099
0.112,283.810
0.113,283.810
0.113,283.522
0.114,283.522
0.114,283.233
0.115,283.233
0.115,282.944
0.116,282.944
0.116,282.656
0.117,282.656
0.117,282.367
0.118,282.367
0.118,282.078
0.119,282.078
0.119,281.789
0.120,281.789
0.120,281.501
0.121,281.501
0.121,281.212
0.122,281.212
0.122,280.923
0.123,280.923
0.123,280.634
0.124,280.634
0.124,280.345
0.125,280.345
0.125,280.056
0.126,280.056
0.126,279.767
0.127,279.767
0.127,279.478
0.128,279.478
0.128,279.189
0.129,279.189
0.129,278.899
0.130,278.899
0.130,278.610
0.131,278.610
0.131,278.321
0.132,278.321
0.132,278.032
0.133,278.032
0.133,277.742
0.134,277.742
0.134,277.453
0.135,277.453
0.135,277.164
0.136,277.164
0.136,276.874
0.137,276.874
0.137,276.585
0.138,276.585
0.138,276.295
0.139,276.295
0.139,276.006
0.140,276.006
0.140,275.716
0.141,275.716
0.141,275.426
0.142,275.426
0.142,275.137
0.143,275.137
0.143,274.847
0.144,274.847
0.144,274.557
0.145,274.557
0.145,274.268
0.146,274.268
0.146,273.978
0.147,273.978
0.147,273.688
0.148,273.688
0.148,273.398
0.149,273.398
0.149,273.108
0.150,273.108
0.150,272.818
0.151,272.818
0.151,272.529
0.152,272.529
0.152,272.239
0.153,272.239
0.153,271.948
0.154,271.948
0.154,271.658
0.155,271.658
0.155,271.368
0.156,271.368
0.156,271.078
0.157,271.078
0.157,270.788
0.158,270.788
0.158,270.498
0.159,270.498
0.159,270.208
0.160,270.208
0.160,269.917
0.161,269.917
0.161,269.627
0.162,269.627
0.162,269.337
0.163,269.337
0.163,269.046
0.164,269.046
0.164,268.756
0.165,268.756
0.165,268.465
0.166,268.465
0.166,268.175
0.167,268.175
0.167,267.884
0.168,267.884
0.168,267.594
0.169,267.594
0.169,267.303
0.170,267.303
0.170,267.013
0.171,267.013
0.171,266.722
0.172,266.722
0.172,266.431
0.173,266.431
0.173,266.141
0.174,266.141
0.174,265.850
0.175,265.850
0.175,265.559
0.176,265.559
0.176,265.268
0.177,265.268
0.177,264.977
0.178,264.977
0.178,264.686
0.179,264.686
0.179,264.395
0.180,264.395
0.180,264.104
0.181,264.104
0.181,263.813
0.182,263.813
0.182,263.522
0.183,263.522
0.183,263.231
0.184,263.231
0.184,262.940
0.185,262.940
0.185,262.649
0.186,262.649
0.186,262.358
0.187,262.358
0.187,262.067
0.188,262.067
0.188,261.775
0.189,261.775
0.189,261.484
0.190,261.484
0.190,261.193
0.191,261.193
0.191,260.901
0.192,260.901
0.192,260.610
0.193,260.610
0.193,260.319
0.194,260.319
0.194,260.027
0.195,260.027
0.195,259.736
0.196,259.736
0.196,259.444
0.197,259.444
0.197,259.153
0.198,259.153
0.198,258.861
0.199,258.861
0.199,258.569
0.200,258.569
0.200,258.278
0.201,258.278
0.201,257.986
0.202,257.986
0.202,257.694
0.203,257.694
0.203,257.403
0.204,257.403
0.204,257.111
0.205,257.111
0.205,256.819
0.206,256.819
0.206,256.527
0.207,256.527
0.207,256.235
0.208,256.235
0.208,255.943
0.209,255.943
0.209,255.651
0.210,255.651
0.210,255.359
0.211,255.359
0.211,255.067
0.212,255.067
0.212,254.775
0.213,254.775
0.213,254.483
0.214,254.483
0.214,254.191
0.215,254.191
0.215,253.899
0.216,253.899
0.216,253.606
0.217,253.606
0.217,253.314
0.218,253.314
0.218,253.022
0.219,253.022
0.219,252.730
0.220,252.730
0.220,252.437
0.221,252.437
0.221,252.145
0.222,252.145
0.222,251.853
0.223,251.853
0.223,251.560
