"time","C1_v","C3_v","C5_v","L1_i","L2_i"
0,0,0,0,0,0
0.12,0,0,0,0,0
0.24,0,0,0,0,0
0.36,0,0,0,0,0
0.48,0,0,0,0,0
0.6,0,0,0,0,0
0.72,0,0,0,0,0
0.84,0,0,0,0,0
0.96,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1.08,0.0593837,0.00669932,0.00349866,0.00162616,0.000149248
1.2,0.141546,0.0161207,0.00814153,0.00978941,0.000930276
1.32,0.215581,0.0250609,0.012276,0.0242889,0.00238119
1.44,0.281736,0.0338453,0.0161557,0.044421,0.00451143
1.56,0.340273,0.0427397,0.019981,0.0695248,0.00733947
1.68,0.391501,0.0520021,0.0239432,0.0988841,0.0108928
1.8,0.435754,0.0618691,0.0282157,0.131773,0.0152057
1.92,0.473395,0.0725238,0.0329295,0.167485,0.0203229
2.04,0.50481,0.0840966,0.0381789,0.205353,0.026297
2.16,0.530394,0.0966963,0.0440471,0.244728,0.0331819
2.28,0.550556,0.110396,0.0505943,0.284989,0.0410357
2.4,0.565721,0.125222,0.0578572,0.325561,0.0499174
2.52,0.576314,0.141183,0.0658651,0.365895,0.0598827
2.64,0.582769,0.158252,0.0746307,0.405489,0.0709846
2.76,0.585516,0.176378,0.0841565,0.443883,0.0832686
2.88,0.584982,0.195485,0.0944373,0.480661,0.0967714
3,0.581586,0.215479,0.105459,0.515456,0.111519
3.12,0.575736,0.236246,0.117201,0.547946,0.127526
3.24,0.56783,0.257655,0.129636,0.577857,0.144791
3.36,0.558248,0.279564,0.142731,0.604965,0.163302
3.48,0.547354,0.301816,0.156448,0.629092,0.183028
3.6,0.535494,0.324249,0.170745,0.650109,0.203922
3.72,0.522989,0.346695,0.185577,0.667934,0.22592
3.84,0.510136,0.368982,0.200895,0.682532,0.248937
3.96,0.497214,0.390938,0.216647,0.693903,0.272878
4.08,0.484472,0.412396,0.232777,0.70209,0.297628
4.2,0.472131,0.433191,0.249229,0.70718,0.323054
4.32,0.460393,0.453166,0.265943,0.709279,0.349016
4.44,0.449425,0.472174,0.282857,0.70854,0.375352
4.56,0.439369,0.490078,0.299909,0.705137,0.401892
4.68,0.43035,0.506753,0.317031,0.699262,0.428464
4.8,0.422456,0.52209,0.334157,0.691137,0.454878
4.92,0.415755,0.535994,0.351221,0.680996,0.480944
5.04,0.410296,0.548384,0.368151,0.669085,0.506474
5.16,0.406098,0.559202,0.38488,0.655662,0.53127
5.28,0.403164,0.5684,0.401338,0.640991,0.555146
5.4,0.401478,0.575952,0.417456,0.625338,0.577914
5.52,0.400999,0.581852,0.433166,0.608966,0.599396
5.64,0.401681,0.586103,0.448401,0.592139,0.619424
5.76,0.403454,0.588736,0.463097,0.57511,0.637839
5.88,0.406238,0.589795,0.477191,0.558121,0.654498
6,0.409947,0.589333,0.490623,0.541408,0.669272
6.12,0.41448,0.58743,0.503336,0.525183,0.682052
6.24,0.419732,0.584172,0.515279,0.509648,0.692746
6.36,0.425594,0.579657,0.526403,0.494987,0.701282
6.48,0.431951,0.574002,0.536663,0.481354,0.707612
6.6,0.43869,0.567322,0.546023,0.468898,0.711704
6.72,0.445695,0.55975,0.55445,0.457731,0.713554
6.84,0.452855,0.551422,0.561918,0.447947,0.713184
6.96,0.460059,0.542476,0.568406,0.439625,0.710625
7.08,0.467205,0.533057,0.573901,0.432808,0.705944
7.2,0.474194,0.523309,0.578398,0.427524,0.699226
7.32,0.480933,0.513374,0.581897,0.423782,0.690569
7.44,0.48734,0.503396,0.584406,0.42156,0.680102
7.56,0.49334,0.493511,0.58594,0.420825,0.667961
7.68,0.498867,0.483852,0.586522,0.421522,0.654305
