"Time","der_x_","x"
0,-1.000000015,1.000000015
1.00E-05,-0.999990015,0.999990015
6.00E-05,-0.999940003,0.999940003
0.00031,-0.999690049,0.999690049
0.00131,-0.998690859,0.998690859
0.00231,-0.997692667,0.997692667
0.00331,-0.996695473,0.996695473
0.00431,-0.995699276,0.995699276
0.00531,-0.994704074,0.994704074
0.00631,-0.993709867,0.993709867
0.00731,-0.992716654,0.992716654
0.00831,-0.991724433,0.991724433
0.00931,-0.990733204,0.990733204
0.01031,-0.989742966,0.989742966
0.01131,-0.988753718,0.988753718
0.01231,-0.987765458,0.987765458
0.01331,-0.986778187,0.986778187
0.01431,-0.985791902,0.985791902
0.01531,-0.984806602,0.984806602
0.01631,-0.983822288,0.983822288
0.01731,-0.982838957,0.982838957
0.01831,-0.981856609,0.981856609
0.01931,-0.980875244,0.980875244
0.02031,-0.979894858,0.979894858
0.02131,-0.978915453,0.978915453
0.02231,-0.977937027,0.977937027
0.02331,-0.976959579,0.976959579
0.02431,-0.975983107,0.975983107
0.02531,-0.975007612,0.975007612
0.02631,-0.974033092,0.974033092
0.02731,-0.973059545,0.973059545
0.02831,-0.972086972,0.972086972
0.02931,-0.971115371,0.971115371
0.03031,-0.970144741,0.970144741
0.03131,-0.969175081,0.969175081
0.03231,-0.96820639,0.96820639
0.03331,-0.967238668,0.967238668
0.03431,-0.966271912,0.966271912
0.03531,-0.965306123,0.965306123
0.03631,-0.9643413,0.9643413
0.03731,-0.96337744,0.96337744
0.03831,-0.962414544,0.962414544
0.03931,-0.961452611,0.961452611
0.04031,-0.960491639,0.960491639
0.04131,-0.959531627,0.959531627
0.04231,-0.958572575,0.958572575
0.04331,-0.957614481,0.957614481
0.04431,-0.956657345,0.956657345
0.04531,-0.955701166,0.955701166
0.04631,-0.954745943,0.954745943
0.04731,-0.953791674,0.953791674
0.04831,-0.952838359,0.952838359
0.04931,-0.951885997,0.951885997
0.05031,-0.950934586,0.950934586
0.05131,-0.949984127,0.949984127
0.05231,-0.949034618,0.949034618
0.05331,-0.948086057,0.948086057
0.05431,-0.947138445,0.947138445
0.05531,-0.94619178,0.94619178
0.05631,-0.945246061,0.945246061
0.05731,-0.944301287,0.944301287
0.05831,-0.943357458,0.943357458
0.05931,-0.942414572,0.942414572
0.06031,-0.941472628,0.941472628
0.06131,-0.940531626,0.940531626
0.06231,-0.939591565,0.939591565
0.06331,-0.938652443,0.938652443
0.06431,-0.937714259,0.937714259
0.06531,-0.936777014,0.936777014
0.06631,-0.935840705,0.935840705
0.06731,-0.934905332,0.934905332
0.06831,-0.933970894,0.933970894
0.06931,-0.933037389,0.933037389
0.07031,-0.932104818,0.932104818
0.07131,-0.931173179,0.931173179
0.07231,-0.930242472,0.930242472
0.07331,-0.929312694,0.929312694
0.07431,-0.928383846,0.928383846
0.07531,-0.927455926,0.927455926
0.07631,-0.926528933,0.926528933
0.07731,-0.925602867,0.925602867
0.07831,-0.924677727,0.924677727
0.07931,-0.923753512,0.923753512
0.08031,-0.92283022,0.92283022
0.08131,-0.921907851,0.921907851
0.08231,-0.920986404,0.920986404
0.08331,-0.920065877,0.920065877
0.08431,-0.919146271,0.919146271
0.08531,-0.918227584,0.918227584
0.08631,-0.917309816,0.917309816
0.08731,-0.916392964,0.916392964
0.08831,-0.915477029,0.915477029
0.08931,-0.91456201,0.91456201
0.09031,-0.913647905,0.913647905
0.09131,-0.912734714,0.912734714
0.09231,-0.911822435,0.911822435
0.09331,-0.910911068,0.910911068
0.09431,-0.910000612,0.910000612
0.09531,-0.909091067,0.909091067
0.09631,-0.90818243,0.90818243
0.09731,-0.907274701,0.907274701
0.09831,-0.90636788,0.90636788
0.09931,-0.905461965,0.905461965
0.10031,-0.904556956,0.904556956
0.10131,-0.903652851,0.903652851
0.10231,-0.902749649,0.902749649
0.10331,-0.901847351,0.901847351
0.10431,-0.900945954,0.900945954
0.10531,-0.900045459,0.900045459
0.10631,-0.899145863,0.899145863
0.10731,-0.898247166,0.898247166
0.10831,-0.897349368,0.897349368
0.10931,-0.896452467,0.896452467
0.11031,-0.895556463,0.895556463
0.11131,-0.894661354,0.894661354
0.11231,-0.89376714,0.89376714
0.11331,-0.892873819,0.892873819
0.11431,-0.891981391,0.891981391
0.11531,-0.891089856,0.891089856
0.11631,-0.890199211,0.890199211
0.11731,-0.889309457,0.889309457
0.11831,-0.888420592,0.888420592
0.11931,-0.887532615,0.887532615
0.12031,-0.886645526,0.886645526
0.12131,-0.885759324,0.885759324
0.12231,-0.884874007,0.884874007
0.12331,-0.883989575,0.883989575
0.12431,-0.883106028,0.883106028
0.12531,-0.882223363,0.882223363
0.12631,-0.88134158,0.88134158
0.12731,-0.880460679,0.880460679
0.12831,-0.879580659,0.879580659
0.12931,-0.878701518,0.878701518
0.13031,-0.877823255,0.877823255
0.13131,-0.876945871,0.876945871
0.13231,-0.876069363,0.876069363
0.13331,-0.875193731,0.875193731
0.13431,-0.874318975,0.874318975
0.13531,-0.873445093,0.873445093
0.13631,-0.872572084,0.872572084
0.13731,-0.871699948,0.871699948
0.13831,-0.870828684,0.870828684
0.13931,-0.869958291,0.869958291
0.14031,-0.869088767,0.869088767
0.14131,-0.868220113,0.868220113
0.14231,-0.867352326,0.867352326
0.14331,-0.866485408,0.866485408
0.14431,-0.865619355,0.865619355
0.14531,-0.864754168,0.864754168
0.14631,-0.863889846,0.863889846
0.14731,-0.863026388,0.863026388
0.14831,-0.862163793,0.862163793
0.14931,-0.86130206,0.86130206
0.15031,-0.860441189,0.860441189
0.15131,-0.859581177,0.859581177
0.15231,-0.858722026,0.858722026
0.15331,-0.857863733,0.857863733
0.15431,-0.857006298,0.857006298
0.15531,-0.85614972,0.85614972
0.15631,-0.855293998,0.855293998
0.15731,-0.854439132,0.854439132
0.15831,-0.853585119,0.853585119
0.15931,-0.852731961,0.852731961
0.16031,-0.851879655,0.851879655
0.16131,-0.851028201,0.851028201
0.16231,-0.850177598,0.850177598
0.16331,-0.849327846,0.849327846
0.16431,-0.848478942,0.848478942
0.16531,-0.847630887,0.847630887
0.16631,-0.84678368,0.84678368
0.16731,-0.845937319,0.845937319
0.16831,-0.845091805,0.845091805
0.16931,-0.844247135,0.844247135
0.17031,-0.84340331,0.84340331
0.17131,-0.842560328,0.842560328
0.17231,-0.841718189,0.841718189
0.17331,-0.840876892,0.840876892
0.17431,-0.840036435,0.840036435
0.17531,-0.839196818,0.839196818
0.17631,-0.838358041,0.838358041
0.17731,-0.837520102,0.837520102
0.17831,-0.836683,0.836683
0.17931,-0.835846735,0.835846735
0.18031,-0.835011306,0.835011306
