Time,SineVoltage1_phase,SineVoltage2_phase,SineVoltage3_phase,Capacitor1_v,IdealDiode3_off,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,0,0,0,282.843,1,0,1,4,7
1.2022e-019,0,0,0,282.843,1,0,1,4,7
1.2022e-019,0,0,0,282.843,1,0,1,4,7
0.0002,0,0,0,279.504,1,0,1,4,7
0.0004,0,0,0,276.165,1,0,1,4,7
0.0006,0,0,0,272.826,1,0,1,4,7
0.0008,0,0,0,269.487,1,0,1,4,7
0.001,0,0,0,266.149,1,0,1,4,7
0.0012,0,0,0,262.81,1,0,1,4,7
0.0014,0,0,0,259.471,1,0,1,4,7
0.0016,0,0,0,256.133,1,0,1,4,7
0.0018,0,0,0,252.795,1,0,1,4,7
0.002,0,0,0,249.456,1,0,1,4,7
0.0022,0,0,0,246.118,1,0,1,4,7
0.0024,0,0,0,242.78,1,0,1,4,7
0.0026,0,0,0,239.441,1,0,1,4,7
0.0028,0,0,0,236.103,1,0,1,4,7
0.003,0,0,0,232.765,1,0,1,4,7
0.0032,0,0,0,229.427,1,0,1,4,7
0.0034,0,0,0,226.09,1,0,1,4,7
0.0036,0,0,0,222.752,1,0,1,4,7
0.0038,0,0,0,219.414,1,0,1,4,7
0.004,0,0,0,216.076,1,0,1,4,7
0.0042,0,0,0,212.739,1,0,1,4,7
0.0044,0,0,0,209.401,1,0,1,4,7
0.0046,0,0,0,206.064,1,0,1,4,7
0.0048,0,0,0,202.726,1,0,1,4,7
0.005,0,0,0,199.389,1,0,1,4,7
0.0052,0,0,0,196.052,1,0,1,4,7
0.0054,0,0,0,192.714,1,0,1,4,7
0.0056,0,0,0,189.377,1,0,1,4,7
0.0058,0,0,0,186.04,1,0,1,4,7
0.006,0,0,0,182.703,1,0,1,4,7
0.0062,0,0,0,179.366,1,0,1,4,7
0.0064,0,0,0,176.029,1,0,1,4,7
0.0066,0,0,0,172.692,1,0,1,4,7
0.0068,0,0,0,169.356,1,0,1,4,7
0.007,0,0,0,166.019,1,0,1,4,7
0.0072,0,0,0,162.682,1,0,1,4,7
0.0074,0,0,0,159.346,1,0,1,4,7
0.0076,0,0,0,156.009,1,0,1,4,7
0.0078,0,0,0,152.673,1,0,1,4,7
0.008,0,0,0,149.337,1,0,1,4,7
0.0082,0,0,0,146,1,0,1,4,7
0.0084,0,0,0,142.664,1,0,1,4,7
0.0086,0,0,0,139.328,1,0,1,4,7
0.0088,0,0,0,135.992,1,0,1,4,7
0.009,0,0,0,132.656,1,0,1,4,7
0.0092,0,0,0,129.32,1,0,1,4,7
0.0094,0,0,0,125.984,1,0,1,4,7
0.0096,0,0,0,122.648,1,0,1,4,7
0.0098,0,0,0,119.312,1,0,1,4,7
0.01,0,0,0,115.977,1,0,1,4,7
0.0102,0,0,0,112.641,1,0,1,4,7
0.0104,0,0,0,109.305,1,0,1,4,7
0.0106,0,0,0,105.97,1,0,1,4,7
0.0108,0,0,0,102.635,1,0,1,4,7
0.011,0,0,0,99.2992,1,0,1,4,7
0.0112,0,0,0,95.9639,1,0,1,4,7
0.0114,0,0,0,92.6287,1,0,1,4,7
0.0116,0,0,0,89.2935,1,0,1,4,7
0.0118,0,0,0,85.9585,1,0,1,4,7
0.012,0,0,0,82.6234,1,0,1,4,7
0.0122,0,0,0,79.2885,1,0,1,4,7
0.0124,0,0,0,75.9536,1,0,1,4,7
0.0126,0,0,0,72.6188,1,0,1,4,7
0.0128,0,0,0,69.284,1,0,1,4,7
0.013,0,0,0,65.9493,1,0,1,4,7
0.0132,0,0,0,62.6147,1,0,1,4,7
0.0134,0,0,0,59.2802,1,0,1,4,7
0.0136,0,0,0,55.9457,1,0,1,4,7
0.0138,0,0,0,52.6113,1,0,1,4,7
0.014,0,0,0,49.2769,1,0,1,4,7
0.0142,0,0,0,45.9426,1,0,1,4,7
0.0144,0,0,0,42.6084,1,0,1,4,7
0.0146,0,0,0,39.2743,1,0,1,4,7
0.0148,0,0,0,35.9402,1,0,1,4,7
0.015,0,0,0,32.6062,1,0,1,4,7
0.0152,0,0,0,29.2722,1,0,1,4,7
0.0154,0,0,0,25.9383,1,0,1,4,7
0.0156,0,0,0,22.6045,1,0,1,4,7
