"time","valves_eds1","egsTargetGear","valves_eds3","valves_eds2","valves_eds5","valves_eds4","egsGear","egsCarSpeed","valves_eds","valves_mv3","valves_mv2","valves_mv1"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,2.00000000000000E-02,2.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
3.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,4.00000000000000E-02,4.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
4.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,6.00000000000000E-02,6.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
5.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,8.00000000000000E-02,8.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
6.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-01,1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
7.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.20000000000000E-01,1.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
8.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.40000000000000E-01,1.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
9.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,1.60000000000000E-01,1.60000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.80000000000000E-01,1.80000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.10000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.20000000000000E-01,2.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.30000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.40000000000000E-01,2.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.40000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.60000000000000E-01,2.60000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.50000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.80000000000000E-01,2.80000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.60000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,3.00000000000000E-01,3.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.70000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.80000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.90000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,2.00000000000000E-02,2.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,4.00000000000000E-02,4.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.10000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,6.00000000000000E-02,6.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.20000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,8.00000000000000E-02,8.00000000000000E-02,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.30000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-01,1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,-2.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
