"time","Losses","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","uDC"
0.000000,480.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,565.685425
0.000030,798.317171,0.006071,-0.568697,0.562626,287.382126,-565.659876,278.277750,564.693687
0.000136,792.677026,0.041762,-0.606910,0.565148,303.454747,-565.147524,261.692777,561.147483
0.000200,789.427838,0.061467,-1.049624,0.988158,312.237909,-563.009224,250.771315,559.008312
0.000400,799.313971,0.122746,-6.737914,6.615168,339.563227,-556.380438,216.817211,552.368198
0.000600,827.854757,0.183541,-15.965383,15.781842,366.701599,-549.862170,183.160572,545.831523
0.000800,859.421702,0.243611,-24.855452,24.611841,393.539758,-543.467856,149.928098,539.419475
0.001000,877.955537,0.302721,-29.595112,29.292391,419.940504,-537.160106,117.219602,533.102293
0.001200,867.729111,0.360635,-26.532513,26.171878,445.743636,-530.851845,85.108210,526.800203
0.001400,814.629271,0.417126,-12.272414,11.855288,470.767998,-524.409342,53.641343,520.386263
0.001493,759.841303,0.437870,-0.939541,0.501671,479.591734,-511.492481,31.900747,517.312681
0.001600,744.166761,0.449949,-0.923634,0.473685,483.849077,-495.717493,11.868416,513.748792
0.001800,736.582703,0.491519,-0.935707,0.444189,501.297065,-477.632106,-23.664959,507.074683
0.001886,733.050105,0.508196,-0.938523,0.430327,508.199941,-469.265541,-38.934400,504.203320
0.002000,734.155921,6.450079,-6.848649,0.398569,504.428195,-451.498839,-52.929356,500.415905
0.002200,850.542100,43.872876,-44.214458,0.341581,498.120932,-419.851164,-78.269767,494.033841
0.002400,1111.423780,111.865574,-112.148819,0.283245,492.582676,-387.913926,-104.668750,488.359646
0.002600,1518.130566,205.308882,-205.532673,0.223791,488.177566,-355.984376,-132.193191,483.767701
0.002800,2069.760002,318.466520,-318.629973,0.163454,485.195565,-324.324779,-160.870786,480.559438
0.003000,2757.777318,445.133293,-445.235765,0.102472,483.846207,-293.158930,-190.687276,478.956804
0.003200,3561.843836,578.785197,-578.826282,0.041085,484.253337,-262.669156,-221.584180,479.096692
0.003400,4447.496789,712.742064,-712.721600,-0.020464,486.452482,-232.994282,-253.458199,481.027989
0.003600,5365.949410,840.326405,-840.244473,-0.081932,490.390541,-204.229282,-286.161259,484.710949
0.003800,6256.234253,955.034247,-954.891171,-0.143077,495.925376,-176.424308,-319.501068,490.016441
0.004000,7049.365585,1050.686967,-1050.483310,-0.203657,502.830640,-149.586879,-353.243761,496.730474
