"time","world.frame_b.f[2]","world.frame_b.f[3]","world.frame_b.t[1]","world.frame_b.t[2]","world.frame_b.t[3]","world.g","world.mue","world.driveTrainMechanics3D","world.axisDiameter","world.gravityArrowTail[1]"
0,-112.722,-2.10484,-0.247509,0.315726,-15.4251,9.81,3.986E+14,1,0.0125,0
0.025,-111.966,-12.0325,-1.41496,1.80488,-15.3117,9.81,3.986E+14,1,0.0125,0
0.05,-16.2217,-132.004,-15.6007,19.8006,-0.950086,9.81,3.986E+14,1,0.0125,0
0.075,3674.97,-147.07,-55.2264,22.0605,552.728,9.81,3.986E+14,1,0.0125,0
0.1,-9698.49,1585.19,6.87652,-237.779,-1453.29,9.81,3.986E+14,1,0.0125,0
0.125,5124.36,-1477.53,-64.8572,221.63,770.137,9.81,3.986E+14,1,0.0125,0
0.15,-7176.37,4655.15,-4.16716,-698.273,-1074.97,9.81,3.986E+14,1,0.0125,0
0.175,9867.34,-2999.47,-159.627,449.92,1481.58,9.81,3.986E+14,1,0.0125,0
0.2,-22886.8,-106.63,-0.675888,15.9944,-3431.54,9.81,3.986E+14,1,0.0125,0
0.225,7169,4547.67,103.083,-682.15,1076.83,9.81,3.986E+14,1,0.0125,0
0.25,32395.9,-6155.27,-414.12,923.29,4860.87,9.81,3.986E+14,1,0.0125,0
0.275,-3959.69,-7800.62,-100.003,1170.09,-592.471,9.81,3.986E+14,1,0.0125,0
0.3,-30029.3,-12852,-65.1056,1927.8,-4502.92,9.81,3.986E+14,1,0.0125,0
0.325,-43489.4,-12696.3,-76.1461,1904.44,-6521.93,9.81,3.986E+14,1,0.0125,0
0.35,-45447.3,-16002.1,-89.91,2400.31,-6815.62,9.81,3.986E+14,1,0.0125,0
0.375,-22925.8,-16498.4,-108.022,2474.76,-3437.39,9.81,3.986E+14,1,0.0125,0
0.4,24340.7,-13939.5,-641.591,2090.93,3652.59,9.81,3.986E+14,1,0.0125,0
0.425,70004.7,17158.7,1077.42,-2573.8,10502.2,9.81,3.986E+14,1,0.0125,0
0.45,-68234.8,26138.4,134.435,-3920.77,-10233.7,9.81,3.986E+14,1,0.0125,0
0.475,-20086.1,-22352,-231.635,3352.8,-3011.44,9.81,3.986E+14,1,0.0125,0
0.5,26070.7,20473.4,759.791,-3071,3912.08,9.81,3.986E+14,1,0.0125,0
0.525,-71447,-34339.5,-180.126,5150.93,-10715.6,9.81,3.986E+14,1,0.0125,0
0.55,-46.1043,25561,484.881,-3834.16,-5.43248,9.81,3.986E+14,1,0.0125,0
0.575,37256.8,-27136.1,-1151.35,4070.42,5590.01,9.81,3.986E+14,1,0.0125,0
0.6,-142145,-20688.5,-145.914,3103.28,-21320.3,9.81,3.986E+14,1,0.0125,0
0.625,-68643.6,44251.5,240.696,-6637.72,-10295.1,9.81,3.986E+14,1,0.0125,0
0.65,61654.9,34859.4,1605.7,-5228.92,9249.72,9.81,3.986E+14,1,0.0125,0
0.675,304788,34157.4,2502.09,-5123.61,45719.7,9.81,3.986E+14,1,0.0125,0
0.7,411117,5538.36,420.952,-830.754,61669,9.81,3.986E+14,1,0.0125,0
0.725,347636,39607.9,2901.68,-5941.18,52146.9,9.81,3.986E+14,1,0.0125,0
0.75,78494.5,45816.7,2110.86,-6872.5,11775.7,9.81,3.986E+14,1,0.0125,0
0.775,-104112,66138.9,375.2,-9920.83,-15615.4,9.81,3.986E+14,1,0.0125,0
0.8,-243022,-34328.4,-244.992,5149.26,-36451.8,9.81,3.986E+14,1,0.0125,0
0.825,68099.6,-53765.5,-2239.64,8064.83,10216.4,9.81,3.986E+14,1,0.0125,0
0.85,3.69148,57635.9,1221.55,-8645.39,2.03689,9.81,3.986E+14,1,0.0125,0
0.875,-197610,-89517.4,-481.575,13427.6,-29640.1,9.81,3.986E+14,1,0.0125,0
0.9,85507.6,63519.2,2654.72,-9527.88,12827.6,9.81,3.986E+14,1,0.0125,0
0.925,-93045.9,-82042.2,-720.061,12306.3,-13955.4,9.81,3.986E+14,1,0.0125,0
0.95,-250649,105031,564.252,-15754.7,-37595.8,9.81,3.986E+14,1,0.0125,0
0.975,425330,85980.2,5889.71,-12897,63800.9,9.81,3.986E+14,1,0.0125,0
1,84027.5,-77171.5,-3033.38,11575.7,12605.6,9.81,3.986E+14,1,0.0125,0
1.025,-206684,-115951,-654.314,17392.6,-31001.2,9.81,3.986E+14,1,0.0125,0
1.05,-379354,-103288,-673.368,15493.2,-56901.6,9.81,3.986E+14,1,0.0125,0
1.075,-416297,-84810.7,-587.624,12721.6,-62443,9.81,3.986E+14,1,0.0125,0
1.1,-388231,-128206,-781.506,19230.9,-58233.2,9.81,3.986E+14,1,0.0125,0
1.125,-142850,-121023,-1024.77,18153.4,-21426.1,9.81,3.986E+14,1,0.0125,0
1.15,343661,-116091,-6973.77,17413.6,51550.7,9.81,3.986E+14,1,0.0125,0
1.175,154118,107505,4698.48,-16125.7,23119.1,9.81,3.986E+14,1,0.0125,0
1.2,-530267,63147.3,457.767,-9472.1,-79538.6,9.81,3.986E+14,1,0.0125,0
1.225,146296,-115701,-4861.58,17355.1,21946,9.81,3.986E+14,1,0.0125,0
1.25,-225469,158284,1056.82,-23742.6,-33818.8,9.81,3.986E+14,1,0.0125,0
1.275,61667.5,-122368,-3736.01,18355.2,9251.61,9.81,3.986E+14,1,0.0125,0
1.3,-544583,173527,1069.01,-26029.1,-81686,9.81,3.986E+14,1,0.0125,0
1.325,1.03887E+06,138516,10080,-20777.4,155831,9.81,3.986E+14,1,0.0125,0
1.35,-86091.4,-150386,-2217.57,22557.8,-12912.2,9.81,3.986E+14,1,0.0125,0
1.375,-685273,-81490.9,-592.031,12223.6,-102789,9.81,3.986E+14,1,0.0125,0
1.4,-586653,212234,1237.97,-31835.1,-87996.4,9.81,3.986E+14,1,0.0125,0
1.425,-262722,197693,1436.7,-29654,-39406.8,9.81,3.986E+14,1,0.0125,0
1.45,-175597,186232,1917.92,-27934.8,-26338.1,9.81,3.986E+14,1,0.0125,0
1.475,-353330,224045,1367.52,-33606.8,-52997.9,9.81,3.986E+14,1,0.0125,0
1.5,-757884,198730,1310.82,-29809.5,-113681,9.81,3.986E+14,1,0.0125,0
1.525,-765307,-217756,-1406.56,32663.4,-114795,9.81,3.986E+14,1,0.0125,0
1.55,170087,-178577,-6708.14,26786.6,25514.5,9.81,3.986E+14,1,0.0125,0
1.575,314225,191561,8979.06,-28734.1,47135.3,9.81,3.986E+14,1,0.0125,0
1.6,-923783,-32534.3,-241.082,4880.15,-138566,9.81,3.986E+14,1,0.0125,0
