"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8[1]","Out8[2]","Out9","Out10","Out11","EventIndicator[0]","EventIndicator[1]","Step_Time","Step_Y0","Step_YFinal","SineWave_Amp","SineWave_Bias","SineWave_Freq","SineWave_Phase","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","Step2_Time","Step2_Y0","Step2_YFinal","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Hsin","SineWave3_HCos","SineWave3_PSin","SineWave3_PCos","SineWave4_Amp","SineWave4_Bias","SineWave4_Freq","SineWave4_Phase","Step3_Time","Step3_Y0","Step3_YFinal","SineWave5_Amp","SineWave5_Bias","SineWave5_Freq","SineWave5_Hsin","SineWave5_HCos","SineWave5_PSin","SineWave5_PCos","SineWave7_Amp","SineWave7_Bias","SineWave7_Freq","SineWave7_Hsin","SineWave7_HCos","SineWave7_PSin","SineWave7_PCos","WeightedSampleTime_WtEt","Constant6_Value","Constant4_Value","Constant5_Value"
0,0,0,0,0,12,12,1,0.1,0,0,1,0,0,0,0,0,0,6,-1,-1,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
0.1,0,0.09983341665,1,0,12,12,1,0.1,0,0,1,0,0,0.09983341665,0,0,0.01996668333,6,-0.9,-0.9,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
0.22,0,0.2182296231,2,0,12,12,1,0.1,0,0,1,0,0,0.2182296231,0,0.2182296231,0.03973386616,6,-0.78,-0.78,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
0.4,0,0.3894183423,4,0,12,12,1,0.1,0,0,1,0,0.2955202067,0.3894183423,0,0.2182296231,0.07788366846,6,-0.6,-0.6,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
0.5,0,0.4794255386,5,0,12,12,1,0.1,0,0,1,0,0.2955202067,0.4794255386,0,0.4259394651,0.09588510772,6,-0.5,-0.5,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
0.66,0,0.613116852,7,0,12,12,1,0.1,0,0,1,0,0.5646424734,0.613116852,0,0.613116852,0.1129284947,6,-0.34,-0.34,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
0.8,0,0.7173560909,8,0,12,12,1,0.1,0,0,1,0,0.5646424734,0.7173560909,0,0.613116852,0.1434712182,6,-0.2,-0.2,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
0.9,0,0.7833269096,9,0,12,12,1,0.1,0,0,1,0,0.7833269096,0.7833269096,0,0.7707388789,0.1566653819,6,-0.1,-0.1,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
1.1,1,0.8912073601,10,0,12,12,1,0.1,0,0,1,0,0.7833269096,0.8912073601,1,0.8912073601,0.178241472,6,0.1,0.1,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
1.3,1,0.9635581854,11,0,12,12,1,0.1,0,0,1,0,0.932039086,0.9635581854,1,0.8912073601,0.1927116371,6,0.3,0.3,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
1.4,1,0.98544973,11,0,12,12,1,0.1,0,0,1,0,0.932039086,0.98544973,1,0.9687151001,0.197089946,6,0.4,0.4,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
1.54,1,0.9995258306,11,0,12,12,1,0.1,0,0,1,0,0.9974949866,0.9995258306,1,0.9995258306,0.1994989973,6,0.54,0.54,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
1.7,1,0.9916648105,11,0,12,12,1,0.1,0,0,1,0,0.9974949866,0.9916648105,1,0.9995258306,0.1983329621,6,0.7,0.7,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
1.8,1,0.9738476309,11,0,12,12,1,0.1,0,0,1,0,0.9738476309,0.9738476309,1,0.9821543171,0.1947695262,6,0.8,0.8,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
1.98,1,0.9174379553,11,0,12,12,1,0.1,0,0,1,0,0.9738476309,0.9174379553,1,0.9174379553,0.1892600175,6,0.98,0.98,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
2.1,1,0.8632093666,10,0,12,12,1,0.1,0,0,1,0,0.8632093666,0.8632093666,1,0.9174379553,0.1726418733,6,1.1,1.1,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
2.3,1,0.7457052122,8,0,12,12,1,0.1,0,0,1,0,0.8632093666,0.7457052122,1,0.8084964038,0.1491410424,6,1.3,1.3,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
2.42,1,0.6605812013,7,0,12,12,1,0.1,0,0,1,0,0.6754631806,0.6605812013,1,0.6605812013,0.1350926361,6,1.42,1.42,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12
