"Time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6"
0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,9.983341664682800E-02,0.000000000000000E+00,0.000000000000000E+00
2.000000000000000E-01,9.983341664682800E-03,1.996668332936600E-02,0.000000000000000E+00,9.983341664682800E-03,2.086526724597400E-01,9.983341664682800E-03,9.983341664682800E-03
3.000000000000000E-01,2.985027474418900E-02,5.970054948837800E-02,9.983341664682799E-04,2.985027474418900E-02,3.263688155720000E-01,2.885194057772100E-02,2.785360641125200E-02
4.000000000000000E-01,5.940229541032300E-02,1.188045908206500E-01,3.983361640887200E-03,5.940229541032300E-02,4.529038327765100E-01,5.551876718608300E-02,5.163523896184200E-02
5.000000000000000E-01,9.834412964118799E-02,1.966882592823800E-01,9.923591181919499E-03,9.834412964118799E-02,5.882014123497100E-01,8.890872469833901E-02,7.947331975549100E-02
6.000000000000000E-01,1.462866835016100E-01,2.925733670032200E-01,1.975800414603800E-02,1.462866835016100E-01,7.322384883755100E-01,1.279604060889300E-01,1.096341286762400E-01
7.000000000000000E-01,2.027509308411100E-01,4.055018616822200E-01,3.438667249619900E-02,2.027509308411100E-01,8.850375510557200E-01,1.716286128195400E-01,1.405062947979600E-01
8.000000000000000E-01,2.671726995648800E-01,5.343453991297600E-01,5.466176558031000E-02,2.671726995648800E-01,1.046679709823100E+00,2.188875202613500E-01,1.706023409578200E-01
9.000000000000000E-01,3.389083086548300E-01,6.778166173096700E-01,8.137903553679800E-02,3.389083086548300E-01,1.217318499533400E+00,2.687343773251700E-01,1.985604459955100E-01
1.000000000000000E+00,4.172409996175800E-01,8.344819992351600E-01,1.152698664022800E-01,4.172409996175800E-01,1.397194424667200E+00,3.201936305554000E-01,2.231462614932200E-01
1.100000000000000E+00,5.013880980983700E-01,1.000000000000000E+00,1.569939663640400E-01,5.013880980983700E-01,1.586650242387400E+00,3.723213659806500E-01,2.432546338629300E-01
1.200000000000000E+00,5.905088341045100E-01,1.000000000000000E+00,2.071327761738800E-01,5.905088341045100E-01,1.786146992531900E+00,4.242099653887300E-01,2.579110966729400E-01
1.300000000000000E+00,6.837127427012401E-01,1.000000000000000E+00,2.661836595843300E-01,6.837127427012401E-01,1.996280791235100E+00,4.749928774465800E-01,2.662730121919200E-01
1.400000000000000E+00,7.800685612429600E-01,1.000000000000000E+00,3.345549338544500E-01,7.800685612429600E-01,2.217800414929900E+00,5.238494082436400E-01,2.676302552443200E-01
1.500000000000000E+00,8.786135342418000E-01,1.000000000000000E+00,4.125617899787500E-01,8.786135342418000E-01,2.451625713038500E+00,5.700094404181200E-01,2.614053465944400E-01
1.600000000000000E+00,9.783630329022101E-01,1.000000000000000E+00,5.004231434029300E-01,9.783630329022101E-01,2.698866900779800E+00,6.127579950367200E-01,2.471529571712200E-01
1.700000000000000E+00,1.078320393206400E+00,1.000000000000000E+00,5.982594466931500E-01,1.078320393206400E+00,2.960844798268700E+00,6.514395558371900E-01,2.245587184680300E-01
1.800000000000000E+00,1.177486874251600E+00,1.000000000000000E+00,7.060914860137900E-01,1.177486874251600E+00,3.239112098521300E+00,6.854620812987200E-01,1.934372883458400E-01
1.900000000000000E+00,1.274871637339400E+00,1.000000000000000E+00,8.238401734389500E-01,1.274871637339400E+00,3.535475765182600E+00,7.143006362566700E-01,1.537296351739100E-01
2.000000000000000E+00,1.369501646108200E+00,1.000000000000000E+00,9.513273371728900E-01,1.369501646108200E+00,3.852020680839200E+00,7.375005813997400E-01,1.054995166913200E-01
2.100000000000000E+00,1.460431388790700E+00,1.000000000000000E+00,1.088277501783700E+00,1.460431388790700E+00,4.191134688746300E+00,7.546802659423399E-01,4.892914309394000E-02
