"time","k","x","der(x)"
0.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,-1.00000000000000E+00
1.00000000000000E-01,1.00000000000000E+00,9.04382075008805E-01,-9.04382075008805E-01
2.00000000000000E-01,1.00000000000000E+00,8.17906937597231E-01,-8.17906937597231E-01
3.00000000000000E-01,1.00000000000000E+00,7.39700373388280E-01,-7.39700373388280E-01
4.00000000000000E-01,1.00000000000000E+00,6.68971758569680E-01,-6.68971758569680E-01
5.00000000000000E-01,1.00000000000000E+00,6.05006067137537E-01,-6.05006067137537E-01
6.00000000000000E-01,1.00000000000000E+00,5.47156642390762E-01,-5.47156642390762E-01
7.00000000000000E-01,1.00000000000000E+00,4.94838659600207E-01,-4.94838659600207E-01
8.00000000000000E-01,1.00000000000000E+00,4.47523213763811E-01,-4.47523213763811E-01
9.00000000000000E-01,1.00000000000000E+00,4.04731972678324E-01,-4.04731972678324E-01
1.00000000000000E+00,1.00000000000000E+00,3.66032341273230E-01,-3.66032341273230E-01
