"time","SignalOutput1","SignalInput1"
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0
0.008,0,0
0.009,0,0
0.01,0,0
0.011,0,0
0.012,0,0
0.013,0,0
0.014,0,0
0.015,0,0
0.016,0,0
0.017,0,0
0.018,0,0
0.019,0,0
0.02,2.727821627e-007,0
0.021,3.325178422e-006,0
0.022,1.380134237e-005,0
0.023,3.688345033e-005,0
0.024,7.693524896e-005,0
0.025,0.0001365161574,0
0.026,0.0002163936379,0
0.027,0.0003161117963,0
0.028,0.0004344462935,0
0.029,0.0005695768692,0
0.03,0.0007191447967,0
0.031,0.0008802906912,0
0.032,0.001049695891,0
0.033,0.001223648135,0
0.034,0.001398147731,0
0.035,0.001569060828,0
0.036,0.001732315484,0
0.037,0.001884127159,0
0.038,0.002021234648,0
0.039,0.002141126201,0
0.04,0.00224223748,0
0.041,0.0023241032,0
0.042,0.002387395617,0
0.043,0.002433768305,0
0.044,0.002465641214,0
0.045,0.002486171236,0
0.046,0.002499542068,0
0.047,0.002511497638,0
0.048,0.00252962781,0
0.049,0.002562495837,0
0.05,0.002617533826,0
0.051,0.002699448427,0
0.052,0.002810231729,0
0.053,0.002949667831,0
0.054,0.003115543484,0
0.055,0.003303866265,0
0.056,0.003509214968,0
0.057,0.003725190085,0
0.058,0.00394492029,0
0.059,0.004161577822,0
0.06,0.004368858165,0
0.061,0.004561386798,0
0.062,0.004735026534,0
0.063,0.004887071602,0
0.064,0.005016326979,0
0.065,0.005123082169,0
0.066,0.005208995122,0
0.067,0.005276871809,0
0.068,0.005330324899,0
0.069,0.005373494796,0
0.07,0.005410982229,0
0.071,0.005447879395,0
0.072,0.00548963939,0
0.073,0.005541603521,0
0.074,0.005608328449,0
0.075,0.005693101103,0
0.076,0.005797819363,0
0.077,0.005923028998,0
0.078,0.006067935931,0
0.079,0.006230458866,0
0.08,0.006407369194,0
0.081,0.006594515864,0
0.082,0.006787121987,0
0.083,0.006980131167,0
0.084,0.00716857491,0
0.085,0.007347929198,0
0.086,0.007514429112,0
0.087,0.007665315032,0
0.088,0.007798991685,0
0.089,0.007915090896,0
0.09,0.008014438855,0
0.091,0.00809893578,0
0.092,0.008171348837,0
0.093,0.008235052115,0
0.094,0.00829379565,0
0.095,0.008351514116,0
0.096,0.008412115423,0
0.097,0.008479213414,0
0.098,0.008555848157,0
0.099,0.008644279084,0
0.1,0.008745889882,0
0.101,0.00886116725,0
0.102,0.008989711143,0
0.103,0.009130283246,0
0.104,0.009280901543,0
0.105,0.009438977617,0
0.106,0.009601490328,0
0.107,0.009765186599,0
0.108,0.009926797189,0
0.109,0.01008325305,0
0.11,0.01023188679,0
