"time","'lca@PUMP01'","'x1@INJ01'","'q@INJ01'","'volume@INJ01'","'p1@PUMP01'","'pa@DVALV01'","'sacp@INJ01'"
0,0,1e-009,0,0,2.5,10,50
1.6e-005,0,1e-009,0,0,2.5,10,50
1.6e-005,2.22619e-008,1e-009,-9.8316e-009,-2.62112e-015,2.50013,9.98091,50
3.2e-005,2.22619e-008,1e-009,-9.8316e-009,-2.62112e-015,2.50013,9.98091,50
3.2e-005,5.6932e-008,1e-009,-9.83161e-009,-5.24288e-015,2.50013,9.95805,50
4.8e-005,5.6932e-008,1e-009,-9.83161e-009,-5.24288e-015,2.50013,9.95805,50
4.8e-005,1.09306e-007,1e-009,-9.83163e-009,-7.86464e-015,2.50005,9.94316,50
6.4e-005,1.09306e-007,1e-009,-9.83163e-009,-7.86464e-015,2.50005,9.94316,50
6.4e-005,1.8468e-007,1e-009,-9.83162e-009,-1.04864e-014,2.50002,9.94439,50
8e-005,1.8468e-007,1e-009,-9.83162e-009,-1.04864e-014,2.50002,9.94439,50
8e-005,2.88348e-007,1e-009,-9.83161e-009,-1.31082e-014,2.50003,9.95317,50
9.6e-005,2.88348e-007,1e-009,-9.83161e-009,-1.31082e-014,2.50003,9.95317,50
9.6e-005,4.25608e-007,1e-009,-9.83162e-009,-1.57299e-014,2.50007,9.9608,50
0.000112,4.25608e-007,1e-009,-9.83162e-009,-1.57299e-014,2.50007,9.9608,50
0.000112,6.01754e-007,1e-009,-9.83161e-009,-1.83517e-014,2.50017,9.96402,50
0.000128,6.01754e-007,1e-009,-9.83161e-009,-1.83517e-014,2.50017,9.96402,50
0.000128,8.22082e-007,1e-009,-9.83176e-009,-2.09735e-014,2.50029,9.96356,50
0.000144,8.22082e-007,1e-009,-9.83176e-009,-2.09735e-014,2.50029,9.96356,50
0.000144,1.09184e-006,1e-009,-9.83161e-009,-2.35952e-014,2.50043,9.96246,50
0.00016,1.09184e-006,1e-009,-9.83161e-009,-2.35952e-014,2.50043,9.96246,50
0.00016,1.41296e-006,1e-009,-9.8316e-009,-2.6217e-014,2.50055,9.96224,50
0.000176,1.41296e-006,1e-009,-9.8316e-009,-2.6217e-014,2.50055,9.96224,50
0.000176,1.78204e-006,1e-009,-9.8316e-009,-2.88387e-014,2.50068,9.96378,50
0.000192,1.78204e-006,1e-009,-9.8316e-009,-2.88387e-014,2.50068,9.96378,50
0.000192,2.19522e-006,1e-009,-9.8316e-009,-3.14605e-014,2.50082,9.96606,50
0.000208,2.19522e-006,1e-009,-9.8316e-009,-3.14605e-014,2.50082,9.96606,50
0.000208,2.64862e-006,1e-009,-9.83159e-009,-3.40823e-014,2.50098,9.96838,50
0.000224,2.64862e-006,1e-009,-9.83159e-009,-3.40823e-014,2.50098,9.96838,50
0.000224,3.13836e-006,1e-009,-9.8316e-009,-3.6704e-014,2.50114,9.97024,50
