"time","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]"
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0001,0.0297526,-0.594173,0.56442,298.05,-565.384,267.334
0.0002,0.0614665,-1.04956,0.988096,312.238,-563.009,250.771
0.0003,0.0921517,-3.20931,3.11716,325.918,-559.684,233.766
0.0004,0.122746,-6.73793,6.61518,339.563,-556.38,216.817
0.0005,0.153219,-11.1519,10.9987,353.162,-553.106,199.943
0.0006,0.183541,-15.9654,15.7819,366.702,-549.862,183.161
0.0007,0.213682,-20.6939,20.4802,380.166,-546.65,166.484
0.0008,0.243611,-24.8559,24.6123,393.54,-543.468,149.928
0.0009,0.273301,-27.9776,27.7043,406.804,-540.307,133.503
0.001,0.302721,-29.5954,29.2927,419.94,-537.16,117.22
0.0011,0.331842,-29.2586,28.9267,432.928,-534.013,101.086
0.0012,0.360635,-26.5328,26.1722,445.744,-530.852,85.1082
0.0013,0.389073,-21.0026,20.6135,458.365,-527.657,69.2922
0.0014,0.417126,-12.2734,11.8562,470.768,-524.409,53.6413
0.0015,0.427721,-0.914697,0.486975,474.404,-504.031,29.627
0.0016,0.449949,-0.923634,0.473686,483.849,-495.717,11.8684
0.0017,0.471219,-0.930638,0.459419,492.816,-486.916,-5.90015
0.0018,0.491519,-0.935708,0.444189,501.297,-477.632,-23.665
0.0019,0.601405,-1.02789,0.426487,507.738,-467.113,-40.6254
0.002,6.45019,-6.84876,0.398569,504.428,-451.499,-52.9293
0.0021,21.0484,-21.4187,0.370258,501.204,-435.731,-65.4728
0.0022,43.8732,-44.2148,0.341581,498.121,-419.851,-78.2697
0.0023,74.352,-74.6646,0.312567,495.231,-403.899,-91.3318
0.0024,111.866,-112.149,0.283245,492.583,-387.914,-104.669
0.0025,155.752,-156.006,0.253643,490.218,-371.931,-118.288
0.0026,205.31,-205.533,0.223791,488.177,-355.984,-132.193
0.0027,259.803,-259.996,0.193718,486.494,-340.106,-146.388
0.0028,318.467,-318.631,0.163454,485.195,-324.325,-160.871
0.0029,380.515,-380.648,0.133028,484.307,-308.668,-175.639
0.003,445.134,-445.237,0.102472,483.846,-293.159,-190.687
0.0031,511.503,-511.575,0.0718137,483.826,-277.82,-206.006
0.0032,578.786,-578.828,0.0410849,484.253,-262.669,-221.584
0.0033,646.146,-646.156,0.0103156,485.13,-247.723,-237.407
0.0034,712.743,-712.723,-0.0204639,486.452,-232.994,-253.458
0.0035,777.745,-777.693,-0.0512232,488.211,-218.494,-269.717
0.0036,840.328,-840.246,-0.0819319,490.391,-204.229,-286.161
0.0037,899.688,-899.576,-0.11256,492.97,-190.205,-302.765
0.0038,955.036,-954.893,-0.143077,495.925,-176.424,-319.501
0.0039,1005.61,-1005.44,-0.173452,499.224,-162.886,-336.338
0.004,1050.69,-1050.48,-0.203657,502.831,-149.587,-353.244
0.0041,1089.56,-1089.33,-0.23366,506.705,-136.522,-370.183
0.0042,1121.58,-1121.32,-0.263433,510.802,-123.684,-387.117
0.0043,1146.13,-1145.84,-0.292946,515.072,-111.063,-404.009
0.0044,1162.64,-1162.31,-0.32217,519.464,-98.6469,-420.817
0.0045,1170.58,-1170.23,-0.351075,523.919,-86.4217,-437.497
0.0046,1169.5,-1169.12,-0.379635,528.38,-74.3722,-454.007
0.0047,1158.98,-1158.58,-0.407819,532.782,-62.4813,-470.301
0.0048,1138.68,-1138.24,-0.435602,537.063,-50.7304,-486.332
0.0049,1108.29,-1107.83,-0.462954,541.154,-39.0999,-502.054
0.005,1067.61,-1067.12,-0.489849,544.988,-27.5691,-517.419
0.0051,1016.45,-1015.93,-0.516262,548.495,-16.1164,-532.378
0.0052,954.725,-954.183,-0.542164,551.604,-4.71972,-546.884
0.0053,883.805,-880.451,-3.35454,554.247,-0.877095,-553.37
0.0054,808.224,-790.244,-17.9798,556.379,-0.772263,-555.607
0.0055,728.362,-683.305,-45.0567,557.972,-0.638248,-557.334
0.0056,644.295,-559.765,-84.5294,558.998,-0.475235,-558.523
0.0057,556.108,-419.765,-136.342,559.429,-0.283423,-559.146
0.0058,463.934,-263.49,-200.444,559.239,-0.0630456,-559.176
0.0059,367.945,-91.1581,-276.787,558.401,0.185629,-558.587
0.006,316.922,-0.203765,-316.718,380.601,176.835,-557.436
0.0061,315.453,-0.173561,-315.28,364.879,191.317,-556.196
0.0062,317.643,-0.143186,-317.5,349.076,205.89,-554.966
0.0063,323.01,-0.11267,-322.898,333.219,220.549,-553.767
0.0064,331.057,-0.0820423,-330.975,317.331,235.288,-552.619
0.0065,341.274,-0.0513338,-341.222,301.435,250.101,-551.536
0.0066,353.136,-0.0205747,-353.116,285.553,264.978,-550.531
0.0067,366.112,0.0102048,-366.122,269.703,279.908,-549.611
0.0068,379.663,0.0409742,-379.704,253.903,294.878,-548.781
0.0069,393.248,0.0717032,-393.32,238.169,309.873,-548.042
0.007,406.328,0.102361,-406.43,222.515,324.876,-547.391
0.0071,418.37,0.132919,-418.502,206.951,339.87,-546.821
0.0072,428.847,0.163345,-429.011,191.489,354.834,-546.324
0.0073,437.247,0.193609,-437.441,176.138,369.747,-545.885
0.0074,443.067,0.223683,-443.291,160.903,384.586,-545.489
0.0075,445.825,0.253536,-446.079,145.79,399.326,-545.116
0.0076,445.061,0.283139,-445.344,130.802,413.941,-544.744
0.0077,440.34,0.312462,-440.653,115.941,428.404,-544.345
0.0078,431.241,0.341477,-431.582,101.208,442.685,-543.893
0.0079,417.389,0.370155,-417.759,86.5998,456.755,-543.355
0.008,398.439,0.398468,-398.838,72.115,470.583,-542.698
0.0081,374.079,0.426387,-374.506,57.7492,484.137,-541.886
0.0082,344.024,0.453886,-344.478,43.4978,497.384,-540.882
0.0083,308.035,0.480937,-308.516,29.3545,510.292,-539.646
0.0084,265.915,0.507513,-266.423,15.3124,522.826,-538.138
0.0085,217.51,0.533588,-218.044,1.36363,534.952,-536.316
0.0086,159.476,7.01321,-166.489,0.152463,533.991,-534.144
0.0087,87.3461,28.6985,-116.045,0.0586476,531.56,-531.618
0.0088,1.08305,65.4898,-66.5729,-0.0644067,528.811,-528.747
0.0089,0.331946,67.3504,-67.6824,-96.9835,525.913,-428.93
0.009,0.302826,76.2653,-76.5682,-110.119,523.065,-412.946
0.0091,0.273407,92.0936,-92.367,-123.453,520.313,-396.86
0.0092,0.243719,114.291,-114.535,-136.991,517.701,-380.71
0.0093,0.21379,142.275,-142.489,-150.739,515.267,-364.529
0.0094,0.18365,175.43,-175.614,-164.699,513.049,-348.349
0.0095,0.153328,213.11,-213.263,-178.873,511.075,-332.202
0.0096,0.122856,254.64,-254.763,-193.259,509.374,-316.115
0.0097,0.092262,299.324,-299.416,-207.852,507.967,-300.115
0.0098,0.0615771,346.444,-346.506,-222.647,506.871,-284.224
0.0099,0.0308315,395.274,-395.305,-237.634,506.099,-268.465
0.01,5.54059e-05,445.075,-445.075,-252.801,505.658,-252.857
0.0101,-0.0307207,495.108,-495.077,-268.135,505.55,-237.415
0.0102,-0.0614665,544.63,-544.569,-283.62,505.773,-222.153
0.0103,-0.0921517,592.901,-592.808,-299.236,506.32,-207.084
0.0104,-0.122746,639.188,-639.065,-314.963,507.179,-192.217
