"Time","iAC_1_","iAC_2_","iAC_3_","Losses","uAC_1_","uAC_2_","uAC_3_","uDC"
0,0,0,0,480,0,0,0,565.6854249
1.00E-11,1.71E-13,-4.71E-05,4.71E-05,480.0000017,0.023568262,-0.047136524,0.023568262,565.6854246
2.10E-10,7.19E-11,-0.000988298,0.000988298,480.0009648,0.494149255,-0.988298402,0.494149147,565.6854179
1.22E-09,1.29E-09,-0.005707195,0.005707194,480.0325031,2.853598375,-5.707194808,2.853596433,565.6853843
3.84E-09,1.25E-08,-0.017806243,0.017806231,480.3168446,8.903127853,-17.806237,8.903109143,565.6852968
8.26E-09,5.69E-08,-0.03763088,0.037630823,481.4156129,18.81546848,-37.63085155,18.81538307,565.6851491
1.47E-08,1.77E-07,-0.065192814,0.065192637,484.249259,32.59649539,-65.19272546,32.59623007,565.6849344
2.33E-08,4.35E-07,-0.09986048,0.099860045,489.9707517,49.93045738,-99.86026278,49.9298054,565.6846469
3.43E-08,9.13E-07,-0.140566897,0.140565984,499.7569825,70.28390497,-140.5664407,70.28253572,565.6842808
4.78E-08,1.71E-06,-0.185939311,0.185937597,514.5704002,92.97051231,-185.9384535,92.96794122,565.683829
6.42E-08,2.96E-06,-0.234400325,0.234397364,534.9391831,117.2016431,-234.3988445,117.1972014,565.6832829
8.37E-08,4.80E-06,-0.28425816,0.284253362,560.7965959,142.1314793,-284.2557611,142.1242818,565.6826308
1.07E-07,7.39E-06,-0.333791924,0.33378453,591.4085266,166.8996593,-333.7882272,166.8885678,565.6818576
1.34E-07,1.09E-05,-0.381333272,0.381322322,625.4032816,190.6721107,-381.3277969,190.6556862,565.6809423
1.67E-07,1.57E-05,-0.425344171,0.425328462,660.9015316,212.6799397,-425.3363161,212.6563764,565.6798562
2.06E-07,2.20E-05,-0.464490239,0.464468253,695.7293163,232.2561123,-464.479246,232.2231338,565.6785577
2.53E-07,3.02E-05,-0.497709756,0.497679547,727.685643,248.8699818,-497.6946515,248.8246697,565.6769845
3.11E-07,4.10E-05,-0.524280055,0.524239046,754.830452,262.160532,-524.2595505,262.0990186,565.6750389
3.85E-07,5.54E-05,-0.543886001,0.543830585,775.7600056,271.9707081,-543.8582927,271.8875846,565.6725559
