"time","spring_length_out"
0,400
0.01,400.49
0.02,401.956
0.03,404.392
0.04,407.79
0.05,412.136
0.06,417.418
0.07,423.618
0.08,430.718
0.09,438.697
0.1,447.53
0.11,457.191
0.12,467.654
0.13,478.888
0.14,490.86
0.15,503.537
0.16,516.884
0.17,530.862
0.18,545.433
0.19,560.557
0.2,576.192
0.21,592.294
0.22,608.819
0.23,625.723
0.24,642.959
0.25,660.481
0.26,678.24
0.27,696.189
0.28,714.28
0.29,732.463
0.3,750.691
0.31,768.913
0.32,787.082
0.33,805.149
0.34,823.066
0.35,840.787
0.36,858.265
0.37,875.453
0.38,892.307
0.39,908.782
0.4,924.836
0.41,940.427
0.42,955.514
0.43,970.059
0.44,984.024
0.45,997.374
0.46,1010.07
0.47,1022.09
0.48,1033.4
0.49,1043.97
0.5,1053.77
0.51,1062.78
0.52,1070.98
0.53,1078.35
0.54,1084.86
0.55,1090.52
0.56,1095.29
0.57,1099.18
0.58,1102.18
0.59,1104.27
0.6,1105.46
0.61,1105.74
0.62,1105.12
0.63,1103.6
0.64,1101.18
0.65,1097.89
0.66,1093.72
0.67,1088.69
0.68,1082.81
0.69,1076.11
0.7,1068.61
0.71,1060.32
0.72,1051.27
0.73,1041.49
0.74,1031
0.75,1019.84
0.76,1008.03
0.77,995.617
0.78,982.624
0.79,969.092
0.8,955.057
0.81,940.559
0.82,925.637
0.83,910.333
0.84,894.688
0.85,878.745
0.86,862.546
0.87,846.137
0.88,829.561
0.89,812.863
0.9,796.088
0.91,779.281
0.92,762.487
0.93,745.75
0.94,729.116
0.95,712.629
0.96,696.331
0.97,680.265
0.98,664.473
0.99,648.998
1,633.879
1.01,619.155
1.02,604.866
1.03,591.048
1.04,577.737
1.05,564.966
1.06,552.768
1.07,541.175
1.08,530.216
1.09,519.917
1.1,510.306
1.11,501.405
1.12,493.236
1.13,485.82
1.14,479.174
1.15,473.314
1.16,468.253
1.17,464.003
1.18,460.572
1.19,457.968
1.2,456.196
1.21,455.258
1.22,455.154
1.23,455.882
1.24,457.439
1.25,459.817
1.26,463.009
1.27,467.004
1.28,471.788
1.29,477.347
1.3,483.664
1.31,490.721
1.32,498.495
1.33,506.966
1.34,516.108
1.35,525.895
1.36,536.3
1.37,547.292
1.38,558.841
1.39,570.916
1.4,583.481
1.41,596.503
1.42,609.945
1.43,623.771
1.44,637.943
1.45,652.421
1.46,667.166
1.47,682.14
1.48,697.3
1.49,712.606
1.5,728.017
1.51,743.491
1.52,758.987
1.53,774.463
1.54,789.877
1.55,805.19
1.56,820.361
1.57,835.349
1.58,850.116
1.59,864.623
1.6,878.831
1.61,892.704
1.62,906.205
1.63,919.3
1.64,931.954
1.65,944.135
1.66,955.811
1.67,966.954
1.68,977.535
1.69,987.526
1.7,996.903
1.71,1005.64
1.72,1013.72
1.73,1021.13
1.74,1027.83
1.75,1033.82
1.76,1039.09
1.77,1043.61
1.78,1047.39
1.79,1050.41
1.8,1052.67
1.81,1054.16
1.82,1054.88
1.83,1054.83
1.84,1054.01
1.85,1052.44
1.86,1050.1
1.87,1047.02
1.88,1043.2
1.89,1038.65
1.9,1033.4
1.91,1027.44
1.92,1020.81
1.93,1013.52
1.94,1005.6
1.95,997.053
1.96,987.922
1.97,978.226
1.98,967.993
1.99,957.252
2,946.033
2.01,934.367
2.02,922.287
2.03,909.825
2.04,897.016
2.05,883.896
2.06,870.499
2.07,856.862
2.08,843.023
2.09,829.018
2.1,814.886
2.11,800.665
2.12,786.392
2.13,772.107
2.14,757.847
2.15,743.65
2.16,729.555
2.17,715.598
2.18,701.815
2.19,688.244
2.2,674.919
2.21,661.875
2.22,649.147
2.23,636.768
2.24,624.77
2.25,613.184
2.26,602.039
2.27,591.364
2.28,581.187
2.29,571.533
2.3,562.426
2.31,553.89
2.32,545.945
2.33,538.612
2.34,531.907
2.35,525.848
2.36,520.449
2.37,515.722
2.38,511.678
2.39,508.326
2.4,505.674
2.41,503.726
2.42,502.485
2.43,501.954
2.44,502.132
2.45,503.016
2.46,504.602
2.47,506.884
2.48,509.854
2.49,513.502
2.5,517.817
2.51,522.786
2.52,528.393
2.53,534.622
2.54,541.454
2.55,548.87
2.56,556.849
2.57,565.367
2.58,574.401
2.59,583.925
2.6,593.912
2.61,604.334
2.62,615.163
2.63,626.369
2.64,637.92
2.65,649.785
2.66,661.932
2.67,674.326
2.68,686.936
2.69,699.726
2.7,712.662
2.71,725.708
2.72,738.831
2.73,751.994
2.74,765.162
2.75,778.3
2.76,791.374
2.77,804.347
2.78,817.187
2.79,829.859
2.8,842.331
2.81,854.569
2.82,866.542
2.83,878.218
2.84,889.566
2.85,900.559
2.86,911.166
2.87,921.361
2.88,931.118
2.89,940.412
2.9,949.219
2.91,957.517
2.92,965.286
2.93,972.506
2.94,979.16
2.95,985.23
2.96,990.703
2.97,995.565
2.98,999.806
2.99,1003.41
3,1006.38
3.01,1008.71
3.02,1010.38
3.03,1011.4
3.04,1011.77
3.05,1011.48
3.06,1010.55
3.07,1008.96
3.08,1006.74
3.09,1003.88
3.1,1000.4
3.11,996.311
3.12,991.619
3.13,986.341
3.14,980.493
3.15,974.091
3.16,967.155
3.17,959.705
3.18,951.761
3.19,943.346
3.2,934.484
3.21,925.199
3.22,915.518
3.23,905.467
3.24,895.075
3.25,884.369
3.26,873.379
3.27,862.136
