"time","   counter","       y_0","       y_1","       y_2"
0,0,0,0,0
0.01,0,1,2,1
0.02,0.0099993,1,2,2
0.03,0.019995,1.0198,2,3
0.04,0.029982,1.0198,2,4
0.05,0.039957,1.0392,2.0342,5
0.06,0.049917,1.0392,2.0342,6
0.07,0.059856,1.0582,2.0342,7
0.08,0.069772,1.0582,2.0342,8
0.09,0.079659,1.0767,2.0568,9
0.1,0.089515,1.0767,2.0568,10
0.11,0.099335,1.0948,2.0568,11
0.12,0.10911,1.0948,2.0568,12
0.13,0.11885,1.1125,2.0679,13
0.14,0.12854,1.1125,2.0679,14
0.15,0.13818,1.1298,2.0679,15
0.16,0.14776,1.1298,2.0679,16
0.17,0.15728,1.1465,2.0676,17
0.18,0.16674,1.1465,2.0676,18
0.19,0.17614,1.1629,2.0676,19
0.2,0.18546,1.1629,2.0676,20
0.21,0.19471,1.1787,2.0563,21
0.22,0.20388,1.1787,2.0563,22
0.23,0.21297,1.1941,2.0563,23
0.24,0.22197,1.1941,2.0563,24
0.25,0.23089,1.209,2.0344,25
0.26,0.23971,1.209,2.0344,26
0.27,0.24844,1.2235,2.0344,27
0.28,0.25707,1.2235,2.0344,28
0.29,0.26559,1.2374,2.0023,29
0.3,0.27401,1.2374,2.0023,30
0.31,0.28232,1.2509,2.0023,31
0.32,0.29052,1.2509,2.0023,32
0.33,0.2986,1.2638,1.9605,33
0.34,0.30656,1.2638,1.9605,34
0.35,0.3144,1.2762,1.9605,35
0.36,0.32211,1.2762,1.9605,36
0.37,0.32969,1.2882,1.9098,37
0.38,0.33714,1.2882,1.9098,38
0.39,0.34446,1.2996,1.9098,39
0.4,0.35164,1.2996,1.9098,40
0.41,0.35868,1.3105,1.8508,41
0.42,0.36557,1.3105,1.8508,42
0.43,0.37232,1.3208,1.8508,43
0.44,0.37892,1.3208,1.8508,44
0.45,0.38537,1.3307,1.7843,45
0.46,0.39166,1.3307,1.7843,46
0.47,0.3978,1.34,1.7843,47
0.48,0.40378,1.34,1.7843,48
0.49,0.4096,1.3488,1.7111,49
0.5,0.41525,1.3488,1.7111,50
0.51,0.42074,1.357,1.7111,51
0.52,0.42605,1.357,1.7111,52
0.53,0.4312,1.3647,1.6322,53
0.54,0.43618,1.3647,1.6322,54
0.55,0.44098,1.3718,1.6322,55
0.56,0.4456,1.3718,1.6322,56
0.57,0.45005,1.3784,1.5484,57
0.58,0.45432,1.3784,1.5484,58
