"time","Piston_body_r_00_2_","Inertia_w"
0.148,0.264103,126.929
0.149,0.252429,133.354
0.15,0.241487,140.08
0.151,0.231523,146.736
0.152,0.222752,152.909
0.153,0.215333,158.247
0.154,0.209358,162.53
0.155,0.20486,165.692
0.156,0.201834,167.766
0.157,0.200258,168.825
0.157601,0.2,168.996
0.157601,0.2,168.996
0.158,0.200114,168.921
0.159,0.201401,168.063
0.16,0.204133,166.233
0.161,0.208335,163.411
0.162,0.214025,159.608
0.163,0.221194,154.924
0.164,0.229787,149.579
0.165,0.239695,143.907
0.166,0.250754,138.296
0.167,0.262763,133.109
0.168,0.275502,128.629
0.169,0.288746,125.043
0.17,0.302279,122.462
0.171,0.315892,120.957
0.172,0.329383,120.584
0.173,0.34255,121.411
0.174,0.355173,123.509
0.175,0.367,126.941
0.176,0.377717,131.682
0.177,0.386916,137.465
0.178,0.394076,143.495
0.179,0.398603,148.243
0.179915,0.4,149.889
0.179915,0.4,149.889
0.18,0.399988,149.878
0.181,0.39804,148.145
0.182,0.392971,144.249
0.183,0.385242,139.68
0.184,0.375374,135.631
0.185,0.363825,132.723
0.186,0.350972,131.207
0.187,0.337124,131.169
0.188,0.322554,132.643
0.189,0.307519,135.652
0.19,0.292293,140.208
0.191,0.277178,146.281
0.192,0.262519,153.718
0.193,0.248698,162.165
0.194,0.236112,171.015
0.195,0.225125,179.482
0.196,0.216012,186.815
0.197,0.208928,192.534
0.198,0.203916,196.495
0.199,0.200953,198.771
0.199978,0.2,199.489
0.199978,0.2,199.489
0.2,0.2,199.489
0.201,0.20104,198.706
0.202,0.20409,196.387
0.203,0.209193,192.477
0.204,0.21638,186.988
0.205,0.225624,180.149
0.206,0.2368,172.483
0.207,0.249675,164.732
0.208,0.263932,157.646
0.209,0.279213,151.809
0.21,0.295154,147.589
0.211,0.311404,145.194
0.212,0.327627,144.769
0.213,0.343476,146.464
0.214,0.35857,150.449
0.215,0.372433,156.845
0.216,0.384422,165.428
0.217,0.393651,174.914
0.218,0.399029,182.112
0.218622,0.4,183.58
0.218622,0.4,183.58
0.219,0.39964,183.112
0.22,0.395346,178.025
0.221,0.386842,170.168
0.222,0.375139,162.774
0.223,0.361132,157.425
0.224,0.345505,154.586
0.225,0.328783,154.309
0.226,0.311404,156.557
0.227,0.293789,161.288
0.228,0.276385,168.403
0.229,0.25969,177.606
0.23,0.244258,188.217
0.231,0.230638,199.118
0.232,0.219294,208.99
0.233,0.210516,216.81
0.234,0.204403,222.165
0.235,0.200926,225.119
0.235851,0.2,225.891
0.235851,0.2,225.891
0.236,0.200028,225.868
0.237,0.201687,224.484
0.238,0.205939,220.891
0.239,0.21285,214.996
0.24,0.222434,206.945
0.241,0.234573,197.4
0.242,0.248972,187.512
0.243,0.265186,178.554
0.244,0.2827,171.506
0.245,0.30099,166.959
0.246,0.319554,165.242
0.247,0.337897,166.613
0.248,0.355476,171.368
0.249,0.371617,179.773
0.25,0.385366,191.528
0.251,0.395344,204.233
0.252,0.39987,211.714
0.252196,0.4,211.948
0.252196,0.4,211.948
0.253,0.397855,208.64
0.254,0.389761,198.358
0.255,0.377084,187.316
0.256,0.361299,179.116
0.257,0.343496,174.693
0.258,0.324457,174.059
0.259,0.304812,177.072
0.26,0.285159,183.585
0.261,0.266137,193.288
0.262,0.248456,205.406
0.263,0.232856,218.456
0.264,0.219979,230.487
0.265,0.210233,239.9
0.266,0.203744,246.056
0.267,0.200465,249.069
0.267547,0.2,249.489
0.267547,0.2,249.489
0.268,0.20032,249.2
0.269,0.203304,246.48
0.27,0.209492,240.746
0.271,0.218951,231.974
0.272,0.231605,220.81
0.273,0.247126,208.79
0.274,0.264951,197.828
0.275,0.284389,189.456
0.276,0.304742,184.571
0.277,0.325335,183.658
0.278,0.345484,187.142
0.279,0.364388,195.502
0.28,0.380944,208.877
0.281,0.39347,225.147
0.282,0.39968,236.328
0.282276,0.4,236.977
0.282276,0.4,236.977
0.283,0.397826,233.089
0.284,0.388429,219.531
0.285,0.373613,205.582
0.286,0.35537,196.048
0.287,0.335083,191.771
0.288,0.313722,192.551
0.289,0.292094,198.112
0.29,0.271003,208.081
0.291,0.251331,221.57
0.292,0.234016,236.692
0.293,0.219891,250.772
0.294,0.209476,261.558
0.295,0.202912,268.216
0.296,0.20012,270.956
0.296256,0.2,271.073
