"time","heatCapacitor.der(T)","heatCapacitor.T","temperatureSensor.port.T","heatCapacitor.der_T","heatingResistor.R","heatingResistor.v","heatingResistor.p.i","heatingResistor.heatPort.Q_flow","heatingResistor.LossPower","thermalConductor.dT","thermalConductor.port_a.Q_flow","thermalConductor.port_b.Q_flow","idealSwitch.s","idealSwitch.v","idealSwitch.LossPower","onOffController.reference","ramp.y","onOffController.u","temperatureSensor.T","logicalNot.y","logicalNot.u","onOffController.y"
0,9.99998,293.15,293.15,9.99998,10,9.99999,0.999999,-9.99998,9.99998,0,0,-0,0.999999,9.99999e-006,9.99998e-006,25,25,20,20,0,1,1
0.02,9.972189207,293.3496682,293.3496682,9.972189207,10.00783013,9.999990008,0.9992166015,-9.992156031,9.992156031,0.1996682402,0.01996682402,-0.01996682402,0.9992166015,9.992166015e-006,9.984338167e-006,25,25,20.19966824,20.19966824,0,1,1
0.04,9.944479708,293.54884,293.54884,9.944479708,10.01564078,9.999990016,0.9984373673,-9.984363705,9.984363705,0.3988399668,0.03988399668,-0.03988399668,0.9984373673,9.984373673e-006,9.968771765e-006,25,25,20.39883997,20.39883997,0,1,1
0.06,9.916859325,293.7474581,293.7474581,9.916859325,10.02342973,9.999990023,0.9976615085,-9.976605132,9.976605132,0.5974580736,0.05974580736,-0.05974580736,0.9976615085,9.976615085e-006,9.953284856e-006,25,25,20.59745807,20.59745807,0,1,1
0.08,9.889328277,293.94552,293.94552,9.889328277,10.03119686,9.999990031,0.9968890219,-9.968880281,9.968880281,0.795520048,0.0795520048,-0.0795520048,0.9968890219,9.968890219e-006,9.93787722e-006,25,25,20.79552005,20.79552005,0,1,1
0.1,9.861885525,294.1430324,294.1430324,9.861885525,10.03894245,9.999990039,0.9961198692,-9.961188769,9.961188769,0.9930324412,0.09930324412,-0.09930324412,0.9961198692,9.961198692e-006,9.922547938e-006,25,25,20.99303244,20.99303244,0,1,1
0.12,9.834530704,294.339997,294.339997,9.834530704,10.04666655,9.999990046,0.995354031,-9.953530402,9.953530402,1.189996982,0.1189996982,-0.1189996982,0.995354031,9.95354031e-006,9.907296469e-006,25,25,21.18999698,21.18999698,0,1,1
0.14,9.807263455,294.5364153,294.5364153,9.807263455,10.05436923,9.999990054,0.9945914882,-9.94590499,9.94590499,1.386415341,0.1386415341,-0.1386415341,0.9945914882,9.945914882e-006,9.892122283e-006,25,25,21.38641534,21.38641534,0,1,1
0.16,9.78008344,294.7322891,294.7322891,9.78008344,10.06205055,9.999990062,0.9938322224,-9.938312347,9.938312347,1.582289068,0.1582289068,-0.1582289068,0.9938322224,9.938322224e-006,9.877024863e-006,25,25,21.58228907,21.58228907,0,1,1
0.18,9.752990305,294.9276198,294.9276198,9.752990305,10.06971058,9.999990069,0.9930762149,-9.930752287,9.930752287,1.777619824,0.1777619824,-0.1777619824,0.9930762149,9.930762149e-006,9.862003686e-006,25,25,21.77761982,21.77761982,0,1,1
