"Time","x","der(x)"
0.000000000000000E+00,1.000000000000000E+00,-1.000000000000000E+00
1.000000000000000E-01,9.048374245511200E-01,-9.048374245511200E-01
2.000000000000000E-01,8.187308331372800E-01,-8.187308331372800E-01
3.000000000000000E-01,7.408183602288499E-01,-7.408183602288499E-01
4.000000000000000E-01,6.703202330235700E-01,-6.703202330235700E-01
5.000000000000000E-01,6.065308838484700E-01,-6.065308838484700E-01
6.000000000000000E-01,5.488118886142400E-01,-5.488118886142400E-01
7.000000000000000E-01,4.965855772639800E-01,-4.965855772639800E-01
8.000000000000000E-01,4.493292522676000E-01,-4.493292522676000E-01
9.000000000000000E-01,4.065699572986800E-01,-4.065699572986800E-01
1.000000000000000E+00,3.678797437372500E-01,-3.678797437372500E-01
