"time","FMU_Interface_OUT0_PrimaryAngle","FMU_Interface_OUT1_SecondaryAngle","FMU_Interface_OUT2_PrimarySpeed","FMU_Interface_OUT3_SecondarySpeed","FMU_Interface_OUT4_PrimaryAcceleration","FMU_Interface_OUT5_SecondaryAcceleration","FMU_Interface_OUT6_PrimaryTorque","FMU_Interface_OUT7_SecondaryTorque","FMU_Interface_OUT8_TorqueFriction","FMU_Interface_OUT9_SpringActualAngle"
0,0,0,0,0,0,0,0,0,0,155
0.1,0,0,0,0,0,0,0,-3.59712E-13,-1.06687E-14,155
0.2,73.30473863,73.31940218,244.4047222,244.4047222,255.9816236,255.9816236,10,-10.54354418,-1.689139417,154.9148436
0.3,293.2614919,293.2908219,488.8461111,488.8461111,255.9816236,255.9816236,10,-11.09465467,-1.094654672,154.8998927
0.4,659.9098232,659.9538208,733.3027778,733.3027778,255.9816236,255.9816236,10,-11.64748892,-6.250085258,154.8851827
0.5,1173.239488,1173.298153,977.7594444,977.7594444,255.9816236,255.9816236,10,-12.19977432,-2.199774318,154.870581
0.6,1833.186323,1833.259654,1222.194722,1222.194722,255.9816236,255.9816236,10,-12.75183806,-2.751838059,154.8558704
0.7,2639.777824,2639.865821,1466.626944,1466.626944,255.9816236,255.9816236,10,-13.30389347,-3.303893468,154.8411391
0.8,3593.072657,3593.175321,1711.071389,1711.071389,255.9816236,255.9816236,10,-13.85681982,-3.856819822,154.8264723
0.9,4693.078156,4693.195487,1955.525,1955.525,255.9816236,255.9816236,10,-14.40976086,-4.409760864,154.8118051
1,5939.744822,5939.87682,2199.975556,2199.975556,255.9816236,255.9816236,10,-14.96269499,-4.962694994,154.7971381
1.1,7366.875194,7380.075194,2200,2200,5.68434E-13,5.68434E-13,-10,124495607.5,124495597.5,-2264.801963
1.2,8686.875194,8700.075194,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
1.3,10006.87519,10020.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
1.4,11326.87519,11340.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
1.5,12646.87519,12660.07519,2200,2200,0,0,10,124495587.5,124495597.5,-2264.801963
1.6,13966.87519,13980.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
1.7,15286.87519,15300.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
1.8,16606.87519,16620.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
1.9,17926.87519,17940.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
2,19246.87519,19260.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
2.1,20569.34615,20580.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
2.2,21891.81742,21900.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
2.3,23214.23931,23220.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
2.4,24536.58762,24540.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
2.5,25858.83888,25860.07519,2200,2200,0,0,-10,124495607.5,124495597.5,-2264.801963
2.6,27180.97061,27180.07519,2200,2200,0,0,-10,124603058.1,124603048.1,-2265.697384
2.7,28502.9615,28500.07519,2200,2200,0,0,-10,124841965.1,124841955.1,-2267.688276
2.8,29824.79167,29820.07519,2200,2200,0,0,-10,125061584.6,125061574.6,-2269.518438
2.9,31146.44281,31140.07519,2200,2200,0,0,-10,125259722.2,125259712.2,-2271.169585
3,32467.89845,32460.07519,2200,2200,0,0,-10,125434398.3,125434388.3,-2272.625219
3.1,33789.14402,33780.07519,2200,2200,0,0,-10,125583867.5,125583857.5,-2273.870796
3.2,35110.1671,35100.07519,2200,2200,0,0,-10,125706636.3,125706626.3,-2274.893869
3.3,36430.95745,36420.07519,2200,2200,0,0,-10,125801478.1,125801468.1,-2275.684218
3.4,37751.50717,37740.07519,2200,2200,0,0,-10,125867445.3,125867435.3,-2276.233944
3.5,39071.81078,39060.07519,2200,2200,0,0,-10,125903878.7,125903868.7,-2276.537556
3.6,40391.86525,40380.07519,2200,2200,0,0,10,125910394.4,125910404.4,-2276.59202
3.7,41711.67002,41700.07519,2200,2200,0,0,10,125886967,125886977,-2276.396792
3.8,43031.22705,43020.07519,2200,2200,0,0,10,125833810.5,125833820.5,-2275.953821
3.9,44350.54076,44340.07519,2200,2200,0,0,10,125751456.2,125751466.2,-2275.267535
4,45669.61802,45660.07519,2200,2200,0,0,10,125640726.9,125640736.9,-2274.344791
4.1,46988.46803,46980.07519,2200,2200,0,0,10,125502728.8,125502738.8,-2273.194807
4.2,48307.1023,48300.07519,2200,2200,0,0,10,125338841,125338851,-2271.829075
4.3,49625.53447,49620.07519,2200,2200,0,0,10,125150700.8,125150710.8,-2270.261241
4.4,50943.7802,50940.07519,2200,2200,0,0,10,124940188.2,124940198.2,-2268.506969
4.5,52261.85701,52260.07519,2200,2200,0,0,10,124709406.5,124709416.5,-2266.583787
4.6,53579.78414,53580.07519,2200,2200,0,0,10,124495587.5,124495597.5,-2264.801963
4.7,54897.58228,54900.07519,2200,2200,0,0,10,124495587.5,124495597.5,-2264.801963
4.8,56215.27344,56220.07519,2200,2200,0,0,10,124495587.5,124495597.5,-2264.801963
4.9,57532.88069,57540.07519,2200,2200,0,0,10,124495587.5,124495597.5,-2264.801963
5,58850.42794,58860.07519,2200,2200,0,0,10,124495587.5,124495597.5,-2264.801963
