"time","Ball1_pos","Ball1_vel","Ball2_pos","Ball2_vel"
0.000000E+000,1.000000E+001,1.500000E+001,1.000000E+001,1.500000E+001
2.000000E-003,1.001500E+001,1.499019E+001,1.001500E+001,1.499019E+001
4.000000E-003,1.004496E+001,1.497057E+001,1.004496E+001,1.497057E+001
6.000000E-003,1.007488E+001,1.495095E+001,1.007488E+001,1.495095E+001
8.000000E-003,1.010476E+001,1.493133E+001,1.010476E+001,1.493133E+001
1.000000E-002,1.013460E+001,1.491171E+001,1.013460E+001,1.491171E+001
1.200000E-002,1.016441E+001,1.489209E+001,1.016441E+001,1.489209E+001
1.400000E-002,1.019417E+001,1.487247E+001,1.019417E+001,1.487247E+001
1.600000E-002,1.022390E+001,1.485285E+001,1.022390E+001,1.485285E+001
1.800000E-002,1.025358E+001,1.483323E+001,1.025358E+001,1.483323E+001
2.000000E-002,1.028323E+001,1.481361E+001,1.028323E+001,1.481361E+001
2.200000E-002,1.031284E+001,1.479399E+001,1.031284E+001,1.479399E+001
2.400000E-002,1.034241E+001,1.477437E+001,1.034241E+001,1.477437E+001
2.600000E-002,1.037193E+001,1.475475E+001,1.037193E+001,1.475475E+001
2.800000E-002,1.040142E+001,1.473513E+001,1.040142E+001,1.473513E+001
3.000000E-002,1.043087E+001,1.471551E+001,1.043087E+001,1.471551E+001
3.200000E-002,1.046029E+001,1.469589E+001,1.046029E+001,1.469589E+001
3.400000E-002,1.048966E+001,1.467627E+001,1.048966E+001,1.467627E+001
3.600000E-002,1.051899E+001,1.465665E+001,1.051899E+001,1.465665E+001
3.800000E-002,1.054829E+001,1.463703E+001,1.054829E+001,1.463703E+001
4.000000E-002,1.057754E+001,1.461741E+001,1.057754E+001,1.461741E+001
4.200000E-002,1.060675E+001,1.459779E+001,1.060675E+001,1.459779E+001
4.400000E-002,1.063593E+001,1.457817E+001,1.063593E+001,1.457817E+001
4.600000E-002,1.066507E+001,1.455855E+001,1.066507E+001,1.455855E+001
4.800000E-002,1.069416E+001,1.453893E+001,1.069416E+001,1.453893E+001
5.000000E-002,1.072322E+001,1.451931E+001,1.072322E+001,1.451931E+001
5.200000E-002,1.075224E+001,1.449969E+001,1.075224E+001,1.449969E+001
5.400000E-002,1.078122E+001,1.448007E+001,1.078122E+001,1.448007E+001
5.600000E-002,1.081016E+001,1.446045E+001,1.081016E+001,1.446045E+001
5.800000E-002,1.083906E+001,1.444083E+001,1.083906E+001,1.444083E+001
6.000000E-002,1.086793E+001,1.442121E+001,1.086793E+001,1.442121E+001
6.200000E-002,1.089675E+001,1.440159E+001,1.089675E+001,1.440159E+001
6.400000E-002,1.092553E+001,1.438197E+001,1.092553E+001,1.438197E+001
6.600000E-002,1.095428E+001,1.436235E+001,1.095428E+001,1.436235E+001
6.800000E-002,1.098298E+001,1.434273E+001,1.098298E+001,1.434273E+001
7.000000E-002,1.101165E+001,1.432311E+001,1.101165E+001,1.432311E+001
7.200000E-002,1.104027E+001,1.430349E+001,1.104027E+001,1.430349E+001
7.400000E-002,1.106886E+001,1.428387E+001,1.106886E+001,1.428387E+001
7.600000E-002,1.109741E+001,1.426425E+001,1.109741E+001,1.426425E+001
7.800000E-002,1.112592E+001,1.424463E+001,1.112592E+001,1.424463E+001
8.000000E-002,1.115439E+001,1.422501E+001,1.115439E+001,1.422501E+001
8.200000E-002,1.118282E+001,1.420539E+001,1.118282E+001,1.420539E+001
8.400000E-002,1.121121E+001,1.418577E+001,1.121121E+001,1.418577E+001
8.600000E-002,1.123956E+001,1.416615E+001,1.123956E+001,1.416615E+001
8.800000E-002,1.126787E+001,1.414653E+001,1.126787E+001,1.414653E+001
9.000000E-002,1.129615E+001,1.412691E+001,1.129615E+001,1.412691E+001
9.200000E-002,1.132438E+001,1.410729E+001,1.132438E+001,1.410729E+001
9.400000E-002,1.135258E+001,1.408767E+001,1.135258E+001,1.408767E+001
9.600000E-002,1.138073E+001,1.406805E+001,1.138073E+001,1.406805E+001
9.800000E-002,1.140885E+001,1.404843E+001,1.140885E+001,1.404843E+001
1.000000E-001,1.143693E+001,1.402881E+001,1.143693E+001,1.402881E+001
1.020000E-001,1.146496E+001,1.400919E+001,1.146496E+001,1.400919E+001
1.040000E-001,1.149296E+001,1.398957E+001,1.149296E+001,1.398957E+001
1.060000E-001,1.152092E+001,1.396995E+001,1.152092E+001,1.396995E+001
1.080000E-001,1.154884E+001,1.395033E+001,1.154884E+001,1.395033E+001
1.100000E-001,1.157672E+001,1.393071E+001,1.157672E+001,1.393071E+001
1.120000E-001,1.160457E+001,1.391109E+001,1.160457E+001,1.391109E+001
1.140000E-001,1.163237E+001,1.389147E+001,1.163237E+001,1.389147E+001
1.160000E-001,1.166013E+001,1.387185E+001,1.166013E+001,1.387185E+001
1.180000E-001,1.168786E+001,1.385223E+001,1.168786E+001,1.385223E+001
1.200000E-001,1.171554E+001,1.383261E+001,1.171554E+001,1.383261E+001
1.220000E-001,1.174319E+001,1.381299E+001,1.174319E+001,1.381299E+001
1.240000E-001,1.177079E+001,1.379337E+001,1.177079E+001,1.379337E+001
1.260000E-001,1.179836E+001,1.377375E+001,1.179836E+001,1.377375E+001
