"time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,1.0000000000000000E+000,0.0000000000000000E+000,4.5000000000000001E-001,0.0000000000000000E+000,3.0000000000000000E+001,0.0000000000000000E+000,3.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+003,4.0000000000000000E+001
1,1.0000000000000000E+000,9.0968947401612388E-001,4.5000000000000001E-001,4.9538567868241795E-001,3.0000000000000000E+001,2.2368898696418363E+001,3.0000000000000000E+000,9.8712409510081789E-001,1.0000000000000000E+003,4.0000000000000000E+001
2,1.0000000000000000E+000,9.5334950078577319E-001,4.5000000000000001E-001,5.2216306081767405E-001,3.0000000000000000E+001,2.2411033418320709E+001,3.0000000000000000E+000,9.7768936130498452E-001,1.0000000000000000E+003,4.0000000000000000E+001
3,1.0000000000000000E+000,9.9252425546030987E-001,4.5000000000000001E-001,5.3485065507779861E-001,3.0000000000000000E+001,2.2447542854307038E+001,3.0000000000000000E+000,9.7087191313591181E-001,1.0000000000000000E+003,4.0000000000000000E+001
4,1.0000000000000000E+000,1.0220086934856616E+000,4.5000000000000001E-001,5.3716077919642502E-001,3.0000000000000000E+001,3.0218986333381736E+001,3.0000000000000000E+000,1.2053756694180875E+000,1.0000000000000000E+003,4.0000000000000000E+001
5,1.0000000000000000E+000,1.0297312117807536E+000,4.5000000000000001E-001,5.3208316547408174E-001,3.0000000000000000E+001,3.0172276446950079E+001,3.0000000000000000E+000,2.1018124453047595E+000,1.0000000000000000E+003,4.0000000000000000E+001
6,1.0000000000000000E+000,1.0224364351186996E+000,4.5000000000000001E-001,5.2269556071564549E-001,3.0000000000000000E+001,3.0095553571950322E+001,3.0000000000000000E+000,3.3497125675434507E+000,1.0000000000000000E+003,4.0000000000000000E+001
7,1.0000000000000000E+000,1.0099400677654382E+000,4.5000000000000001E-001,5.1141050807162747E-001,3.0000000000000000E+001,3.0039383311419886E+001,3.0000000000000000E+000,4.1260495219468449E+000,1.0000000000000000E+003,4.0000000000000000E+001
8,1.0000000000000000E+000,9.9955273959105484E-001,4.5000000000000001E-001,4.9986817237578474E-001,3.0000000000000000E+001,3.0004357763303275E+001,3.0000000000000000E+000,3.8769321332580278E+000,1.0000000000000000E+003,4.0000000000000000E+001
9,1.0000000000000000E+000,9.9435011353050784E-001,4.5000000000000001E-001,4.8903653473937658E-001,3.0000000000000000E+001,2.9986833855626731E+001,3.0000000000000000E+000,3.3589798223544700E+000,1.0000000000000000E+003,4.0000000000000000E+001
10,1.0000000000000000E+000,9.9392886592937690E-001,4.5000000000000001E-001,4.7939879262698115E-001,3.0000000000000000E+001,2.9983373266257150E+001,3.0000000000000000E+000,3.0310332494200094E+000,1.0000000000000000E+003,4.0000000000000000E+001
11,1.0000000000000000E+000,9.9615929279045190E-001,4.5000000000000001E-001,4.7114070879590741E-001,3.0000000000000000E+001,2.9988877394043183E+001,3.0000000000000000E+000,2.8973111363608854E+000,1.0000000000000000E+003,4.0000000000000000E+001
12,1.0000000000000000E+000,9.9883534377744643E-001,4.5000000000000001E-001,4.6428917122234648E-001,3.0000000000000000E+001,2.9996744962870807E+001,3.0000000000000000E+000,2.8887669839402048E+000,1.0000000000000000E+003,4.0000000000000000E+001
13,1.0000000000000000E+000,1.0006282370388673E+000,4.5000000000000001E-001,4.5879088286452507E-001,3.0000000000000000E+001,3.0002160301376666E+001,3.0000000000000000E+000,2.9389290894253248E+000,1.0000000000000000E+003,4.0000000000000000E+001
14,1.0000000000000000E+000,1.0012365886191996E+000,4.5000000000000001E-001,4.5454733915814743E-001,3.0000000000000000E+001,3.0003906722030766E+001,3.0000000000000000E+000,2.9944724850213054E+000,1.0000000000000000E+003,4.0000000000000000E+001
15,1.0000000000000000E+000,1.0010123357470970E+000,4.5000000000000001E-001,4.5142597635745196E-001,3.0000000000000000E+001,3.0003131345583235E+001,3.0000000000000000E+000,3.0260973763292678E+000,1.0000000000000000E+003,4.0000000000000000E+001
16,1.0000000000000000E+000,1.0004809794195921E+000,4.5000000000000001E-001,4.4926817484578108E-001,3.0000000000000000E+001,3.0001480881657368E+001,3.0000000000000000E+000,3.0306469724296883E+000,1.0000000000000000E+003,4.0000000000000000E+001
17,1.0000000000000000E+000,1.0000261384656253E+000,4.5000000000000001E-001,4.4790079240031933E-001,3.0000000000000000E+001,3.0000093936847261E+001,3.0000000000000000E+000,3.0197376881751232E+000,1.0000000000000000E+003,4.0000000000000000E+001
18,1.0000000000000000E+000,9.9979872876041642E-001,4.5000000000000001E-001,4.4715017023394271E-001,3.0000000000000000E+001,2.9999402109156989E+001,3.0000000000000000E+000,3.0061195101445439E+000,1.0000000000000000E+003,4.0000000000000000E+001
