Time,Out1,Out4,Out5,Out2_1,Out2_2,Out3,
0,6.49617e-307,2.68208e-310,2.66188e-310,2.84505e-310,5.43666e-312,2.82484e-310,
0.01,4.99996e-005,4.9833e-005,4.96663e-005,1.66666e-007,4.99996e-005,0.01005,
0.02,0.000199993,0.000198666,0.000197338,1.33331e-006,0.000199993,0.0202,
0.03,0.000449966,0.000445499,0.000441031,4.4998e-006,0.000449966,0.03045,
0.04,0.000799893,0.000789332,0.00077877,1.06658e-005,0.000799893,0.0408,
0.05,0.00124974,0.00122916,0.00120859,2.08307e-005,0.00124974,0.05125,
0.06,0.00179946,0.001764,0.00172854,3.59935e-005,0.00179946,0.0618,
0.07,0.002449,0.00239283,0.00233666,5.71527e-005,0.002449,0.07245,
0.08,0.00319829,0.00311466,0.00303103,8.5306e-005,0.00319829,0.0832,
0.09,0.00404727,0.0039285,0.00380973,0.000121451,0.00404727,0.09405,
0.1,0.00499584,0.00483333,0.00467083,0.000166583,0.00499584,0.105,
0.11,0.0060439,0.00582817,0.00561243,0.000221699,0.0060439,0.11605,
0.12,0.00719136,0.006912,0.00663264,0.000287793,0.00719136,0.1272,
0.13,0.00843811,0.00808384,0.00772956,0.000365857,0.00843811,0.13845,
0.14,0.009784,0.00934267,0.00890134,0.000456885,0.009784,0.1498,
0.15,0.0112289,0.0106875,0.0101461,0.000561868,0.0112289,0.161251,
0.16,0.0127727,0.0121174,0.011462,0.000681793,0.0127727,0.172801,
0.17,0.0144152,0.0136312,0.0128472,0.000817651,0.0144152,0.184451,
0.18,0.0161563,0.015228,0.0142998,0.000970427,0.0161563,0.196202,
0.19,0.0179958,0.0169069,0.015818,0.00114111,0.0179958,0.208052,
0.2,0.0199334,0.0186667,0.0174001,0.00133067,0.0199334,0.220003,
0.21,0.0219691,0.0205066,0.0190441,0.0015401,0.0219691,0.232054,
0.22,0.0241026,0.0224255,0.0207484,0.00177038,0.0241026,0.244204,
0.23,0.0263336,0.0244224,0.0225111,0.00202248,0.0263336,0.256456,
0.24,0.028662,0.0264962,0.0243305,0.00229737,0.028662,0.268807,
0.25,0.0310876,0.0286462,0.0262047,0.00259604,0.0310876,0.281258,
0.26,0.03361,0.0308711,0.0281321,0.00291945,0.03361,0.29381,
0.27,0.0362291,0.03317,0.0301109,0.00326856,0.0362291,0.306462,
0.28,0.0389446,0.035542,0.0321394,0.00364435,0.0389446,0.319215,
0.29,0.0417561,0.037986,0.0342158,0.00404778,0.0417561,0.332068,
0.3,0.0446635,0.040501,0.0363384,0.00447979,0.0446635,0.345021,
0.31,0.0476664,0.043086,0.0385056,0.00494136,0.0476664,0.358075,
0.32,0.0507646,0.0457401,0.0407156,0.00543344,0.0507646,0.371229,
0.33,0.0539577,0.0484622,0.0429667,0.00595697,0.0539577,0.384484,
0.34,0.0572453,0.0512514,0.0452574,0.00651291,0.0572453,0.39784,
0.35,0.0606273,0.0541066,0.0475859,0.00710219,0.0606273,0.411296,
0.36,0.0641032,0.0570269,0.0499505,0.00772577,0.0641032,0.424853,
0.37,0.0676727,0.0600112,0.0523497,0.00838457,0.0676727,0.438511,
0.38,0.0713354,0.0630586,0.0547819,0.00907953,0.0713354,0.45227,
0.39,0.0750909,0.0661681,0.0572453,0.00981159,0.0750909,0.46613,
0.4,0.078939,0.0693387,0.0597384,0.0105817,0.078939,0.480091,
0.41,0.0828792,0.0725694,0.0622596,0.0113907,0.0828792,0.494153,
0.42,0.0869111,0.0758592,0.0648073,0.0122395,0.0869111,0.508317,
0.43,0.0910343,0.0792071,0.0673799,0.0131292,0.0910343,0.522581,
0.44,0.0952483,0.0826121,0.0699759,0.0140605,0.0952483,0.536947,
0.45,0.0995529,0.0860733,0.0725937,0.0150345,0.0995529,0.551415,
0.46,0.103948,0.0895896,0.0752317,0.0160519,0.103948,0.565985,
0.47,0.108432,0.0931601,0.0778885,0.0171137,0.108432,0.580656,
0.48,0.113005,0.0967838,0.0805625,0.0182208,0.113005,0.595429,
0.49,0.117667,0.10046,0.0832523,0.0193741,0.117667,0.610305,
0.5,0.122417,0.104187,0.0859562,0.0205745,0.122417,0.625282,
0.51,0.127255,0.107964,0.0886728,0.0218228,0.127255,0.640362,
0.52,0.132181,0.111791,0.0914007,0.0231199,0.132181,0.655544,
0.53,0.137193,0.115666,0.0941383,0.0244667,0.137193,0.670829,
0.54,0.142291,0.119588,0.0968842,0.025864,0.142291,0.686217,
0.55,0.147475,0.123556,0.099637,0.0273128,0.147475,0.701708,
0.56,0.152745,0.12757,0.102395,0.0288138,0.152745,0.717302,
0.57,0.158099,0.131628,0.105157,0.030368,0.158099,0.732999,
0.58,0.163537,0.13573,0.107922,0.0319761,0.163537,0.7488,
0.59,0.169059,0.139874,0.110688,0.033639,0.169059,0.764704,
0.6,0.174664,0.144059,0.113454,0.0353575,0.174664,0.780713,
0.61,0.180352,0.148285,0.116218,0.0371325,0.180352,0.796825,
0.62,0.186122,0.152551,0.11898,0.0389648,0.186122,0.813042,
0.63,0.191972,0.156855,0.121737,0.0408552,0.191972,0.829364,
0.64,0.197904,0.161196,0.124488,0.0428046,0.197904,0.84579,
0.65,0.203916,0.165574,0.127232,0.0448136,0.203916,0.862322,
0.66,0.210008,0.169988,0.129968,0.0468831,0.210008,0.878958,
0.67,0.216178,0.174436,0.132695,0.049014,0.216178,0.895701,
0.68,0.222427,0.178919,0.13541,0.051207,0.222427,0.912549,
0.69,0.228754,0.183434,0.138113,0.0534628,0.228754,0.929503,
0.7,0.235158,0.18798,0.140803,0.0557823,0.235158,0.946564,
0.71,0.241638,0.192558,0.143478,0.0581662,0.241638,0.963732,
0.72,0.248194,0.197166,0.146137,0.0606153,0.248194,0.981006,
0.73,0.254826,0.201802,0.148779,0.0631304,0.254826,0.998388,
0.74,0.261531,0.206467,0.151402,0.0657121,0.261531,1.01588,
0.75,0.268311,0.211158,0.154005,0.0683612,0.268311,1.03347,
0.76,0.275164,0.215876,0.156588,0.0710786,0.275164,1.05118,
0.77,0.282089,0.220619,0.159148,0.0738648,0.282089,1.069,
0.78,0.289086,0.225386,0.161685,0.0767206,0.289086,1.08692,
0.79,0.296155,0.230176,0.164198,0.0796467,0.296155,1.10495,
0.8,0.303293,0.234989,0.166685,0.0826439,0.303293,1.1231,
0.81,0.310502,0.239823,0.169145,0.0857128,0.310502,1.14135,
0.82,0.317779,0.244678,0.171577,0.0888542,0.317779,1.15971,
0.83,0.325124,0.249552,0.173981,0.0920686,0.325124,1.17819,
0.84,0.332537,0.254445,0.176354,0.0953569,0.332537,1.19677,
0.85,0.340017,0.259356,0.178695,0.0987196,0.340017,1.21547,
0.86,0.347563,0.264284,0.181005,0.102157,0.347563,1.23428,
0.87,0.355173,0.269227,0.18328,0.105671,0.355173,1.25321,
0.88,0.362849,0.274185,0.185522,0.109261,0.362849,1.27224,
0.89,0.370588,0.279158,0.187727,0.112928,0.370588,1.29139,
0.9,0.37839,0.284143,0.189897,0.116673,0.37839,1.31066,
0.91,0.386254,0.289141,0.192028,0.120496,0.386254,1.33004,
0.92,0.39418,0.29415,0.194121,0.124398,0.39418,1.34954,
0.93,0.402166,0.29917,0.196174,0.12838,0.402166,1.36915,
0.94,0.410212,0.304199,0.198186,0.132442,0.410212,1.38888,
0.95,0.418317,0.309237,0.200157,0.136584,0.418317,1.40872,
0.96,0.42648,0.314282,0.202084,0.140808,0.42648,1.42868,
0.97,0.4347,0.319335,0.203969,0.145114,0.4347,1.44877,
0.98,0.442977,0.324393,0.205808,0.149503,0.442977,1.46897,
0.99,0.45131,0.329456,0.207603,0.153974,0.45131,1.48929,
1,0.459698,0.334524,0.20935,0.158529,0.459698,1.50973,
1.01,0.468139,0.339595,0.211051,0.163168,0.468139,1.53029,
1.02,0.476634,0.344668,0.212703,0.167892,0.476634,1.55097,
1.03,0.485181,0.349744,0.214306,0.172701,0.485181,1.57177,
1.04,0.49378,0.354819,0.215859,0.177596,0.49378,1.5927,
1.05,0.502429,0.359895,0.217361,0.182577,0.502429,1.61375,
1.06,0.511128,0.36497,0.218811,0.187645,0.511128,1.63493,
1.07,0.519876,0.370042,0.220209,0.192799,0.519876,1.65623,
1.08,0.528672,0.375112,0.221553,0.198042,0.528672,1.67765,
1.09,0.537515,0.380179,0.222843,0.203373,0.537515,1.69921,
1.1,0.546404,0.385241,0.224078,0.208793,0.546404,1.72089,
1.11,0.555338,0.390298,0.225258,0.214301,0.555338,1.7427,
1.12,0.564318,0.395349,0.22638,0.2199,0.564318,1.76464,
1.13,0.57334,0.400393,0.227445,0.225588,0.57334,1.7867,
1.14,0.582405,0.405429,0.228452,0.231367,0.582405,1.8089,
1.15,0.591513,0.410457,0.229401,0.237236,0.591513,1.83123,
1.16,0.60066,0.415475,0.230289,0.243197,0.60066,1.8537,
1.17,0.609848,0.420483,0.231118,0.249249,0.609848,1.8763,
1.18,0.619075,0.42548,0.231885,0.255394,0.619075,1.89903,
1.19,0.62834,0.430465,0.23259,0.261631,0.62834,1.9219,
1.2,0.637642,0.435438,0.233233,0.267961,0.637642,1.9449,
1.21,0.646981,0.440397,0.233813,0.274384,0.646981,1.96804,
1.22,0.656354,0.445342,0.23433,0.280901,0.656354,1.99132,
1.23,0.665762,0.450272,0.234781,0.287511,0.665762,2.01474,
1.24,0.675204,0.455186,0.235168,0.294216,0.675204,2.0383,
1.25,0.684678,0.460084,0.235489,0.301015,0.684678,2.062,
1.26,0.694183,0.464964,0.235744,0.30791,0.694183,2.08585,
1.27,0.703719,0.469826,0.235932,0.314899,0.703719,2.10984,
1.28,0.713285,0.474669,0.236053,0.321984,0.713285,2.13397,
1.29,0.722879,0.479492,0.236106,0.329165,0.722879,2.15825,
1.3,0.732501,0.484296,0.23609,0.336442,0.732501,2.18268,
1.31,0.74215,0.489077,0.236005,0.343815,0.74215,2.20725,
1.32,0.751825,0.493837,0.23585,0.351285,0.751825,2.23198,
1.33,0.761524,0.498575,0.235626,0.358852,0.761524,2.25686,
1.34,0.771247,0.503289,0.23533,0.366515,0.771247,2.28189,
1.35,0.780993,0.507978,0.234964,0.374277,0.780993,2.30707,
1.36,0.790761,0.512643,0.234525,0.382135,0.790761,2.33241,
1.37,0.80055,0.517283,0.234015,0.390092,0.80055,2.3579,
1.38,0.810359,0.521896,0.233432,0.398146,0.810359,2.38356,
1.39,0.820187,0.526482,0.232776,0.406299,0.820187,2.40937,
1.4,0.830033,0.53104,0.232047,0.41455,0.830033,2.43534,
1.41,0.839896,0.53557,0.231243,0.4229,0.839896,2.46148,
1.42,0.849775,0.54007,0.230366,0.431348,0.849775,2.48777,
1.43,0.859668,0.544541,0.229413,0.439895,0.859668,2.51424,
1.44,0.869576,0.548981,0.228386,0.448542,0.869576,2.54087,
1.45,0.879497,0.55339,0.227283,0.457287,0.879497,2.56766,
1.46,0.88943,0.557767,0.226105,0.466132,0.88943,2.59463,
1.47,0.899374,0.562112,0.22485,0.475076,0.899374,2.62177,
1.48,0.909328,0.566423,0.223519,0.484119,0.909328,2.64908,
1.49,0.919292,0.570701,0.22211,0.493262,0.919292,2.67656,
1.5,0.929263,0.574944,0.220625,0.502505,0.929263,2.70422,
1.51,0.939241,0.579152,0.219062,0.511848,0.939241,2.73206,
1.52,0.949226,0.583324,0.217422,0.52129,0.949226,2.76008,
