"time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_4.s_set.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,1,0.45,30,3,1000,40
1,1,0.45,30,3,1000,40
2,1,0.45,30,3,1000,40
3,1,0.45,30,3,1000,40
4,1,0.45,30,3,1000,40
5,1,0.45,30,3,1000,40
6,1,0.45,30,3,1000,40
7,1,0.45,30,3,1000,40
8,1,0.45,30,3,1000,40
9,1,0.45,30,3,1000,40
10,1,0.45,30,3,1000,40
11,1,0.45,30,3,1000,40
12,1,0.45,30,3,1000,40
13,1,0.45,30,3,1000,40
14,1,0.45,30,3,1000,40
15,1,0.45,30,3,1000,40
16,1,0.45,30,3,1000,40
17,1,0.45,30,3,1000,40
18,1,0.45,30,3,1000,40
19,1,0.45,30,3,1000,40
20,1,0.45,30,3,1000,40
21,1,0.45,30,3,1000,40
22,1,0.45,30,3,1000,40
23,1,0.45,30,3,1000,40
24,1,0.45,30,3,1000,40
25,1,0.45,30,3,1000,40
26,1,0.45,30,3,1000,40
27,1,0.45,30,3,1000,40
28,1,0.45,30,3,1000,40
29,1,0.45,30,3,1000,40
30,1,0.45,30,3,1000,40
31,1,0.45,30,3,1000,40
32,1,0.45,30,3,1000,40
33,1,0.45,30,3,1000,40
34,1,0.45,30,3,1000,40
35,1,0.45,30,3,1000,40
36,1,0.45,30,3,1000,40
37,1,0.45,30,3,1000,40
38,1,0.45,30,3,1000,40
39,1,0.45,30,3,1000,40
40,1,0.45,30,3,1000,40
41,1,0.45,30,3,1000,40
42,1,0.45,30,3,1000,40
43,1,0.45,30,3,1000,40
44,1,0.45,30,3,1000,40
45,1,0.45,30,3,1000,40
46,1,0.45,30,3,1000,40
47,1,0.45,30,3,1000,40
48,1,0.45,30,3,1000,40
49,1,0.45,30,3,1000,40
50,0.95,0.45,30,3,1000,40
51,0.95,0.45,30,3,1000,40
52,0.95,0.45,30,3,1000,40
53,0.95,0.45,30,3,1000,40
54,0.95,0.45,30,3,1000,40
55,0.95,0.45,30,3,1000,40
56,0.95,0.45,30,3,1000,40
57,0.95,0.45,30,3,1000,40
58,0.95,0.45,30,3,1000,40
