"time","iAC1@modelica_icon","iAC2@modelica_icon","iAC3@modelica_icon","uAC1@modelica_icon","uAC2@modelica_icon","uAC3@modelica_icon"
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5e-06,0.00100141,-0.566185,0.565184,283.593,-565.685,282.091
1e-05,0.00202745,-0.566696,0.564669,284.362,-565.683,281.321
1.5e-05,0.00305348,-0.567206,0.564153,285.13,-565.679,280.55
2e-05,0.00407951,-0.567714,0.563635,285.897,-565.674,279.778
2.5e-05,0.00510552,-0.568221,0.563115,286.663,-565.668,279.005
3e-05,0.00614308,-0.568749,0.562606,287.413,-565.645,278.232
3.5e-05,0.00782268,-0.570561,0.562738,288.17,-565.627,277.458
4e-05,0.00951825,-0.572402,0.562884,288.934,-565.617,276.683
4.5e-05,0.0112124,-0.57424,0.563027,289.698,-565.605,275.908
5e-05,0.0129051,-0.576073,0.563168,290.461,-565.592,275.131
5.5e-05,0.0145964,-0.577902,0.563306,291.223,-565.577,274.355
6e-05,0.0162862,-0.579727,0.563441,291.984,-565.561,273.577
6.5e-05,0.0179746,-0.581548,0.563573,292.745,-565.544,272.799
7e-05,0.0196616,-0.583364,0.563702,293.505,-565.525,272.02
7.5e-05,0.0213471,-0.585176,0.563829,294.264,-565.505,271.241
8e-05,0.0230311,-0.586984,0.563953,295.023,-565.484,270.461
8.5e-05,0.0247137,-0.588788,0.564074,295.781,-565.461,269.68
9e-05,0.0263948,-0.590587,0.564192,296.538,-565.436,268.899
9.5e-05,0.0280745,-0.592382,0.564308,297.294,-565.411,268.117
0.0001,0.0297527,-0.594173,0.56442,298.05,-565.383,267.334
0.000105,0.0314294,-0.59596,0.56453,298.805,-565.355,266.55
0.00011,0.0331047,-0.597742,0.564637,299.559,-565.325,265.766
0.000115,0.0347785,-0.59952,0.564742,300.312,-565.294,264.982
0.00012,0.0364508,-0.601294,0.564843,301.065,-565.261,264.196
0.000125,0.0381216,-0.603064,0.564942,301.817,-565.227,263.41
0.00013,0.0397909,-0.604829,0.565038,302.568,-565.191,262.624
0.000135,0.0414587,-0.60659,0.565131,303.318,-565.155,261.836
0.00014,0.0430244,-0.610051,0.567026,304.018,-565.011,260.993
0.000145,0.0445619,-0.618728,0.574166,304.703,-564.844,260.141
0.00015,0.0460993,-0.632674,0.586575,305.388,-564.677,259.289
0.000155,0.0476366,-0.651831,0.604194,306.073,-564.51,258.437
0.00016,0.0491738,-0.676139,0.626966,306.759,-564.343,257.585
0.000165,0.0507108,-0.705541,0.65483,307.444,-564.177,256.733
0.00017,0.0522478,-0.739977,0.687729,308.129,-564.01,255.881
0.000175,0.0537846,-0.779388,0.725603,308.814,-563.843,255.029
0.00018,0.0553213,-0.823715,0.768394,309.499,-563.676,254.177
0.000185,0.0568578,-0.872899,0.816041,310.184,-563.509,253.326
0.00019,0.0583942,-0.926881,0.868487,310.868,-563.343,252.474
0.000195,0.0599304,-0.985601,0.925671,311.553,-563.176,251.623
0.0002,0.0614665,-1.049,0.987535,312.238,-563.009,250.771
0.000205,0.0630025,-1.11702,1.05402,312.923,-562.843,249.92
0.00021,0.0645383,-1.1896,1.12506,313.607,-562.676,249.069
0.000215,0.0660739,-1.26668,1.20061,314.292,-562.509,248.218
0.00022,0.0676094,-1.34821,1.2806,314.976,-562.343,247.367
0.000225,0.0691447,-1.43411,1.36497,315.661,-562.176,246.516
0.00023,0.0706798,-1.52434,1.45366,316.345,-562.01,245.665
0.000235,0.0722148,-1.61884,1.54662,317.029,-561.843,244.814
0.00024,0.0737496,-1.71753,1.64378,317.713,-561.677,243.964
0.000245,0.0752842,-1.82037,1.74509,318.397,-561.511,243.113
0.00025,0.0768186,-1.9273,1.85048,319.082,-561.344,242.263
0.000255,0.0783528,-2.03824,1.95989,319.765,-561.178,241.413
0.00026,0.0798868,-2.15316,2.07327,320.449,-561.012,240.562
0.000265,0.0814207,-2.27197,2.19055,321.133,-560.846,239.712
0.00027,0.0829543,-2.39463,2.31168,321.817,-560.68,238.863
0.000275,0.0844877,-2.52108,2.43659,322.501,-560.514,238.013
0.00028,0.086021,-2.65125,2.56523,323.184,-560.347,237.163
0.000285,0.087554,-2.78508,2.69753,323.868,-560.182,236.314
0.00029,0.0890868,-2.92252,2.83344,324.551,-560.016,235.464
0.000295,0.0906193,-3.06351,2.97289,325.235,-559.85,234.615
0.0003,0.0921517,-3.20798,3.11582,325.918,-559.684,233.766
0.000305,0.0936838,-3.35587,3.26218,326.601,-559.518,232.917
0.00031,0.0952157,-3.50712,3.41191,327.284,-559.352,232.068
0.000315,0.0967474,-3.66168,3.56494,327.967,-559.187,231.22
0.00032,0.0982788,-3.81949,3.72121,328.65,-559.021,230.371
0.000325,0.0998099,-3.98047,3.88066,329.333,-558.856,229.523
0.00033,0.101341,-4.14458,4.04324,330.016,-558.69,228.675
0.000335,0.102872,-4.31175,4.20888,330.698,-558.525,227.827
0.00034,0.104402,-4.48192,4.37752,331.381,-558.359,226.979
0.000345,0.105932,-4.65503,4.5491,332.063,-558.194,226.131
0.00035,0.107462,-4.83103,4.72357,332.746,-558.029,225.283
0.000355,0.108992,-5.00984,4.90085,333.428,-557.864,224.436
0.00036,0.110521,-5.19142,5.08089,334.11,-557.699,223.589
0.000365,0.11205,-5.37569,5.26364,334.792,-557.534,222.742
0.00037,0.113579,-5.5626,5.44902,335.474,-557.369,221.895
0.000375,0.115108,-5.75209,5.63698,336.156,-557.204,221.048
0.00038,0.116636,-5.9441,5.82746,336.837,-557.039,220.202
0.000385,0.118164,-6.13856,6.0204,337.519,-556.874,219.355
0.00039,0.119691,-6.33542,6.21573,338.201,-556.71,218.509
0.000395,0.121219,-6.53462,6.4134,338.882,-556.545,217.663
0.0004,0.122746,-6.73609,6.61335,339.563,-556.38,216.817
0.000405,0.124273,-6.93978,6.81551,340.244,-556.216,215.972
0.00041,0.125799,-7.14562,7.01982,340.925,-556.052,215.126
0.000415,0.127325,-7.35355,7.22623,341.606,-555.887,214.281
0.00042,0.128851,-7.56352,7.43466,342.287,-555.723,213.436
0.000425,0.130377,-7.77545,7.64507,342.968,-555.559,212.591
0.00043,0.131902,-7.9893,7.8574,343.648,-555.395,211.746
0.000435,0.133427,-8.20499,8.07157,344.329,-555.231,210.902
0.00044,0.134951,-8.42248,8.28753,345.009,-555.067,210.058
0.000445,0.136476,-8.64169,8.50522,345.689,-554.903,209.214
0.00045,0.137999,-8.86258,8.72458,346.369,-554.739,208.37
0.000455,0.139523,-9.08506,8.94554,347.049,-554.575,207.526
0.00046,0.141046,-9.3091,9.16805,347.729,-554.412,206.683
0.000465,0.142569,-9.53462,9.39205,348.409,-554.248,205.84
0.00047,0.144092,-9.76156,9.61747,349.088,-554.085,204.997
0.000475,0.145614,-9.98987,9.84426,349.768,-553.921,204.154
0.00048,0.147135,-10.2195,10.0723,350.447,-553.758,203.311
0.000485,0.148657,-10.4503,10.3017,351.126,-553.595,202.469
0.00049,0.150178,-10.6824,10.5322,351.805,-553.432,201.627
0.000495,0.151699,-10.9155,10.7638,352.484,-553.269,200.785
0.0005,0.153219,-11.1497,10.9965,353.162,-553.106,199.943
0.000505,0.154739,-11.3849,11.2302,353.841,-552.943,199.102
