      "time","Y_body1_rot_ang","Y_body2_rot_ang"
         0,         0,         0
      0.01,0.52300281,-0.52249298
      0.02,0.52121388,-0.51917287
      0.03,0.51822885,-0.51363033
      0.04,0.51404313,-0.50585348
      0.05,0.50865002,-0.49582489
      0.06,0.50203989,-0.48351948
      0.07,0.49420551,-0.4689184
      0.08,0.48513513,-0.45199071
      0.09,0.47481775,-0.43270705
       0.1, 0.4632453,-0.41104526
      0.11, 0.4504086,-0.38697906
      0.12,0.43630353,-0.3604941
      0.13,0.42093193,-0.33158846
      0.14,0.40430357,-0.30027886
      0.15,0.38644228,-0.26661266
      0.16,0.36738831,-0.23067444
      0.17,0.34720096,-0.19259159
      0.18,0.32596958,-0.15255864
      0.19,0.30381193,-0.11083401
       0.2,0.28087785,-0.06774823
      0.21,0.25734388,-0.023691894
      0.22,0.23340812,0.020895699
      0.23,0.20928184,0.065545327
      0.24,0.18517443,0.10979134
      0.25,0.16128215,0.15319699
      0.26,0.13777903,0.19537478
      0.27,0.11481057, 0.2360008
      0.28,0.092491544,0.27481978
      0.29,0.070909059,0.31163864
       0.3,0.050125712,0.34631957
      0.31,0.030183666,0.37877122
      0.32,0.011108742,0.40893976
      0.33,-0.0070839894,0.43679641
      0.34,-0.024388262,0.46233341
      0.35,-0.040803012,0.48555596
      0.36,-0.056329658,0.50647619
      0.37,-0.070971014,0.52511068
      0.38,-0.084730012,0.54147772
      0.39,-0.097608932,0.55559537
       0.4,-0.10960854,0.56747985
      0.41,-0.12072836,0.57714545
      0.42,-0.1309653,0.58460223
      0.43,-0.14031426,0.58985661
      0.44,-0.14876767,0.59291054
      0.45,-0.15631633,0.59376289
      0.46,-0.1629477,0.59240613
      0.47,-0.16864706,0.58882836
      0.48,-0.17339815,0.58301444
      0.49,-0.17718148, 0.5749425
       0.5,-0.17997565,0.56458647
      0.51,-0.18175801,0.55191722
      0.52,-0.1825032,0.53689945
      0.53,-0.18218459,0.51949463
      0.54,-0.1807752, 0.4996626
      0.55,-0.17824797,0.47736206
      0.56,-0.17457671,0.45255267
      0.57,-0.16973809,0.42519891
      0.58,-0.16371285,0.39527299
      0.59,-0.15649016,0.36276368
       0.6,-0.1480703,0.32768249
      0.61,-0.13847031,0.29007577
      0.62,-0.12773071,0.25003934
      0.63,-0.11592019,0.20772902
      0.64,-0.10314275,0.16337626
      0.65,-0.089540229,  0.117294
      0.66,-0.075296538,0.069886065
      0.67,-0.060630516,0.02163199
      0.68,-0.045786237,-0.02693385
      0.69,-0.031016742,-0.07525752
       0.7,-0.016566877,-0.12280276
      0.71,-0.0026548662,-0.16909095
      0.72,0.010534553,-0.21371596
      0.73,0.02285938,-0.25636395
      0.74,0.034216599,-0.29680507
      0.75,0.044537977,-0.33488405
      0.76,0.05378504,-0.37050911
      0.77,0.061941132,-0.40363466
      0.78,0.069007023,-0.43425165
      0.79,0.074994676,-0.46237411
       0.8,0.07992374,-0.48803163
      0.81,0.083818668,-0.51126322
      0.82,0.086706423,-0.53211243
      0.83,0.088614853,-0.5506241
      0.84,0.089571729,-0.5668423
      0.85,0.08960421,-0.58080947
      0.86,0.088737745,-0.59256401
      0.87,0.086995852,-0.60214014
      0.88,0.084400276,-0.60956835
      0.89,0.080970641,-0.61487474
       0.9,0.07672425,-0.61808072
      0.91,0.071676006,-0.61920299
      0.92,0.065838673,-0.61825412
      0.93,0.059222232,-0.6152414
      0.94,0.05183417,-0.61016753
      0.95,0.043679564,-0.60303086
      0.96,0.034761184,-0.59382563
      0.97,0.025079568,-0.58254226
      0.98,0.014633118,-0.56916755
      0.99,0.0034182709,-0.55368509
         1,-0.0085701966,-0.53607598
      1.01,-0.021338726,-0.51631977
      1.02,-0.034894355,-0.49439585
      1.03,-0.049243995,-0.47028501
      1.04,-0.064392966,-0.44397262
      1.05,-0.080343571,-0.41545175
      1.06,-0.097092795,-0.38472816
      1.07,-0.11462976,-0.35182585
      1.08,-0.13293217,-0.31679483
      1.09,-0.15196238,-0.27971966
       1.1,-0.17166281,-0.24072944
      1.11,-0.19195169,-0.20000715
      1.12,-0.21271936,-0.15779759
      1.13,-0.23382673,-0.11441061
      1.14,-0.25510657,-0.070218091
      1.15,-0.27636879,-0.025642106
      1.16,-0.29740908,0.018864378
      1.17,-0.31802193,0.06284629
      1.18,-0.33801173,0.10587118
      1.19,-0.35720402,0.14755395
       1.2,-0.3754518,0.18757084
      1.21,-0.39263881,0.22566643
      1.22,-0.40867793,0.26164998
      1.23,-0.42350798, 0.2953882
      1.24,-0.43708887,0.32679429
      1.25,-0.44939739,0.35581853
      1.26,-0.46042302,0.38243878
      1.27,-0.47016464,0.40665324
      1.28,-0.47862746,0.42847344
      1.29,-0.48582067,0.44791898
       1.3,-0.49175571,0.46501371
      1.31,-0.49644495,0.47978271
      1.32,-0.49990067,0.49224996
      1.33,-0.50213439,0.50243698
      1.34,-0.50315649,0.51036186
      1.35,-0.50297593,0.51603866
      1.36,-0.50159997,0.51947693
      1.37,-0.49903409,0.52068139
      1.38,-0.49528182,0.51965176
      1.39,-0.49034474,0.51638273
       1.4,-0.48422252,0.51086412
      1.41,-0.47691292,0.50308103
      1.42,-0.46841199,0.49301424
      1.43,-0.45871421,0.48064077
      1.44,-0.44781282, 0.4659346
      1.45,-0.43570026,0.44886791
      1.46,-0.42236889,0.42941263
      1.47,-0.40781195,0.40754286
      1.48,-0.39202492,0.38323798
      1.49,-0.37500736,0.35648694
       1.5,-0.35676544, 0.3272939
      1.51,-0.33731503,0.29568547
      1.52,-0.31668568,0.26171948
      1.53,-0.29492508,0.22549523
      1.54,-0.27210391,0.18716424
      1.55,-0.24832026,0.14694017
      1.56,-0.22370262,0.10510556
      1.57,-0.19841036,0.062012745
      1.58,-0.17263041,0.018076442
      1.59,-0.14656981,-0.026243138
       1.6,-0.12044453,-0.070465227
      1.61,-0.094466645,-0.11411758
      1.62,-0.068832045,-0.15676399
      1.63,-0.043711332,-0.19802497
      1.64,-0.019245093,-0.23758858
      1.65,0.0044564914,-0.27521158
      1.66,0.027310939,-0.31071362
      1.67,0.049259179,-0.34396791
      1.68,0.070260854,-0.37489081
      1.69,0.090290058,-0.40343248
       1.7,0.10933195,-0.4295693
      1.71,0.12737886,-0.45329527
      1.72,0.14442815,-0.47461713
      1.73,0.16047925,-0.49354771
      1.74,0.17553302,-0.51010453
      1.75,0.18958985,-0.52430524
      1.76,0.20264979,-0.53616807
      1.77,0.21471122,-0.5457085
      1.78,0.22577087,-0.55293928
      1.79,0.23582352,-0.55786966
       1.8,0.24486187,-0.56050483
      1.81,0.25287638,-0.56084551
      1.82, 0.2598553,-0.55888779
      1.83, 0.2657847,-0.55462305
      1.84,0.27064859,-0.54803796
      1.85,  0.274429,-0.53911463
      1.86,0.27710615,-0.52783072
      1.87,0.27865871,-0.5141599
      1.88, 0.2790642,-0.49807244
      1.89, 0.2782994,-0.47953606
       1.9,0.27634128,-0.45851775
      1.91,0.27316797,-0.43498572
      1.92,0.26876026,-0.40891257
      1.93,0.26310381,-0.38027997
      1.94, 0.2561917,-0.34908422
      1.95,0.24802812,-0.31534423
      1.96, 0.2386328,-0.27911115
      1.97,0.22804646,-0.24048046
      1.98,0.21633654,-0.19960449
      1.99,0.20360275,-0.15670487
