"time","DCMotor_angle","DCMotot_speed","controller_output"
0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
1.0000000000000001E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
2.0000000000000001E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
2.9999999999999999E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
4.0000000000000002E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
5.0000000000000000E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
5.9999999999999998E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
7.0000000000000007E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
8.0000000000000004E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
9.0000000000000002E-01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
1.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
1.1000000000000001E+00,1.3793922979508499E-02,2.8462540111752171E-01,-3.6197617704919884E+02
1.2000000000000000E+00,5.4398284772833094E-02,5.1838746690412185E-01,-2.9297038272028192E+02
1.3000000000000000E+00,1.1590796612646671E-01,7.0249774438526114E-01,-2.3772148550732294E+02
1.4000000000000001E+00,1.9327836956913497E-01,8.3572342865215343E-01,-1.9306379556551701E+02
1.5000000000000000E+00,2.8153413618809892E-01,9.2084238564916243E-01,-1.5699125879850720E+02
1.6000000000000001E+00,3.7611046680287530E-01,9.6299052437838106E-01,-1.2787842534747807E+02
1.7000000000000000E+00,4.7300892494678809E-01,9.6822446018467900E-01,-1.0439687910689199E+02
1.8000000000000000E+00,5.6885212191196988E-01,9.4284403343746914E-01,-8.5462220233943214E+01
1.9000000000000001E+00,6.6088884087120547E-01,8.9303629855219258E-01,-7.0190821846710918E+01
2.0000000000000000E+00,7.4697147365145822E-01,8.2466235831328882E-01,-5.7864187902768705E+01
2.1000000000000001E+00,8.2551619553559352E-01,7.4311972085717304E-01,-4.7899541183152323E+01
2.2000000000000002E+00,8.9545191615152353E-01,6.5325337636475167E-01,-3.9825529720375016E+01
2.3000000000000003E+00,9.5616220327676027E-01,5.5930327465210194E-01,-3.3262144586984164E+01
2.3999999999999999E+00,1.0074234422274193E+00,4.6488102759856187E-01,-2.7904109330360335E+01
2.5000000000000000E+00,1.0493418824322518E+00,3.7297051587503294E-01,-2.3507137422050796E+01
2.6000000000000001E+00,1.0822917322984000E+00,2.8594782729946616E-01,-1.9876564333621900E+01
2.7000000000000002E+00,1.1068560277174899E+00,2.0561636792070190E-01,-1.6857950025841930E+01
