"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2"
0,0,0,0,0,12,12,1,0,0,0,1,0,0,0,0
0.01,0,0.01,0,0,12,12,1,0,0,0,1,0,0,0.01,0
0.02,0,0.019999,0,0,12,12,1,0,0,0,1,0,0,0.019999,0
0.03,0,0.029996,0,0,12,12,1,0,0,0,1,0,0,0.029996,0
0.04,0,0.039989,0,0,12,12,1,0,0,0,1,0,0,0.039989,0
0.05,0,0.049979,0,0,12,12,1,0,0,0,1,0,0,0.049979,0
0.06,0,0.059964,0,0,12,12,1,0,0,0,1,0,0,0.059964,0
0.07,0,0.069943,0,0,12,12,1,0,0,0,1,0,0,0.069943,0
0.08,0,0.079915,0,0,12,12,1,0,0,0,1,0,0,0.079915,0
0.09,0,0.089879,1,0,12,12,1,0,0,0,1,0,0,0.089879,0
0.1,0,0.099833,1,0,12,12,1,0,0,0,1,0,0,0.099833,0
0.11,0,0.109778,1,0,12,12,1,0,0,0,1,0,0,0.109778,0
0.12,0,0.119712,1,0,12,12,1,0,0,0,1,0,0,0.119712,0
0.13,0,0.129634,1,0,12,12,1,0,0,0,1,0,0,0.129634,0
0.14,0,0.139543,1,0,12,12,1,0,0,0,1,0,0,0.139543,0
0.15,0,0.149438,1,0,12,12,1,0,0,0,1,0,0,0.149438,0
0.16,0,0.159318,1,0,12,12,1,0,0,0,1,0,0,0.159318,0
0.17,0,0.169182,2,0,12,12,1,0,0,0,1,0,0,0.169182,0
0.18,0,0.17903,2,0,12,12,1,0,0,0,1,0,0,0.17903,0
0.19,0,0.188859,2,0,12,12,1,0,0,0,1,0,0,0.188859,0
0.2,0,0.198669,2,0,12,12,1,0,0,0,1,0,0,0.198669,0
0.21,0,0.20846,2,0,12,12,1,0,0,0,1,0,0,0.20846,0
0.22,0,0.21823,2,0,12,12,1,0,0,0,1,0,0,0.21823,0
0.23,0,0.227978,2,0,12,12,1,0,0,0,1,0,0,0.227978,0
0.24,0,0.237703,2,0,12,12,1,0,0,0,1,0,0,0.237703,0
0.25,0,0.247404,2,0,12,12,1,0,0,0,1,0,0,0.247404,0
0.26,0,0.257081,3,0,12,12,1,0,0,0,1,0,0,0.257081,0
0.27,0,0.266731,3,0,12,12,1,0,0,0,1,0,0,0.266731,0
0.28,0,0.276356,3,0,12,12,1,0,0,0,1,0,0,0.276356,0
0.29,0,0.285952,3,0,12,12,1,0,0,0,1,0,0,0.285952,0
0.3,0,0.29552,3,0,12,12,1,0,0,0,1,0,0,0.29552,0
0.31,0,0.305059,3,0,12,12,1,0,0,0,1,0,0.29552,0.305059,0
0.32,0,0.314567,3,0,12,12,1,0,0,0,1,0,0.29552,0.314567,0
0.33,0,0.324043,3,0,12,12,1,0,0,0,1,0,0.29552,0.324043,0
0.34,0,0.333487,4,0,12,12,1,0,0,0,1,0,0.29552,0.333487,0
0.35,0,0.342898,4,0,12,12,1,0,0,0,1,0,0.29552,0.342898,0
0.36,0,0.352274,4,0,12,12,1,0,0,0,1,0,0.29552,0.352274,0
0.37,0,0.361615,4,0,12,12,1,0,0,0,1,0,0.29552,0.361615,0
0.38,0,0.37092,4,0,12,12,1,0,0,0,1,0,0.29552,0.37092,0
0.39,0,0.380188,4,0,12,12,1,0,0,0,1,0,0.29552,0.380188,0
0.4,0,0.389418,4,0,12,12,1,0,0,0,1,0,0.29552,0.389418,0
0.41,0,0.398609,4,0,12,12,1,0,0,0,1,0,0.29552,0.398609,0
0.42,0,0.40776,4,0,12,12,1,0,0,0,1,0,0.29552,0.40776,0
0.43,0,0.416871,5,0,12,12,1,0,0,0,1,0,0.29552,0.416871,0
0.44,0,0.425939,5,0,12,12,1,0,0,0,1,0,0.29552,0.425939,0
0.45,0,0.434966,5,0,12,12,1,0,0,0,1,0,0.29552,0.434966,0
0.46,0,0.443948,5,0,12,12,1,0,0,0,1,0,0.29552,0.443948,0
0.47,0,0.452886,5,0,12,12,1,0,0,0,1,0,0.29552,0.452886,0
0.48,0,0.461779,5,0,12,12,1,0,0,0,1,0,0.29552,0.461779,0
0.49,0,0.470626,5,0,12,12,1,0,0,0,1,0,0.29552,0.470626,0
0.5,0,0.479426,5,0,12,12,1,0,0,0,1,0,0.29552,0.479426,0
0.51,0,0.488177,5,0,12,12,1,0,0,0,1,0,0.29552,0.488177,0
0.52,0,0.49688,5,0,12,12,1,0,0,0,1,0,0.29552,0.49688,0
0.53,0,0.505533,6,0,12,12,1,0,0,0,1,0,0.29552,0.505533,0
0.54,0,0.514136,6,0,12,12,1,0,0,0,1,0,0.29552,0.514136,0
0.55,0,0.522687,6,0,12,12,1,0,0,0,1,0,0.29552,0.522687,0
0.56,0,0.531186,6,0,12,12,1,0,0,0,1,0,0.29552,0.531186,0
0.57,0,0.539632,6,0,12,12,1,0,0,0,1,0,0.29552,0.539632,0
0.58,0,0.548024,6,0,12,12,1,0,0,0,1,0,0.29552,0.548024,0
0.59,0,0.556361,6,0,12,12,1,0,0,0,1,0,0.29552,0.556361,0
0.6,0,0.564642,6,0,12,12,1,0,0,0,1,0,0.29552,0.564642,0
0.61,0,0.572867,6,0,12,12,1,0,0,0,1,0,0.564642,0.572867,0
0.62,0,0.581035,6,0,12,12,1,0,0,0,1,0,0.564642,0.581035,0
0.63,0,0.589145,7,0,12,12,1,0,0,0,1,0,0.564642,0.589145,0
0.64,0,0.597195,7,0,12,12,1,0,0,0,1,0,0.564642,0.597195,0
0.65,0,0.605186,7,0,12,12,1,0,0,0,1,0,0.564642,0.605186,0
0.66,0,0.613117,7,0,12,12,1,0,0,0,1,0,0.564642,0.613117,0
0.67,0,0.620986,7,0,12,12,1,0,0,0,1,0,0.564642,0.620986,0
0.68,0,0.628793,7,0,12,12,1,0,0,0,1,0,0.564642,0.628793,0
0.69,0,0.636537,7,0,12,12,1,0,0,0,1,0,0.564642,0.636537,0
0.7,0,0.644218,7,0,12,12,1,0,0,0,1,0,0.564642,0.644218,0
0.71,0,0.651834,7,0,12,12,1,0,0,0,1,0,0.564642,0.651834,0
0.72,0,0.659385,7,0,12,12,1,0,0,0,1,0,0.564642,0.659385,0
0.73,0,0.66687,8,0,12,12,1,0,0,0,1,0,0.564642,0.66687,0
