"time","J1.w","J2.w","J3.w","J4.w"
0.3409,7.10182,3.30626,3.08976e-34,0
0.344,7.04352,3.33444,3.08976e-34,0
0.3471,6.9847,3.36257,3.08976e-34,0
0.3502,6.92566,3.39066,3.08976e-34,0
0.3533,6.86669,3.41869,3.08976e-34,0
0.3564,6.80808,3.44667,3.08976e-34,0
0.3595,6.75012,3.47459,3.08976e-34,0
0.3626,6.69311,3.50247,3.08976e-34,0
0.3657,6.63731,3.53029,3.08976e-34,0
0.3688,6.583,3.55806,3.08976e-34,0
0.3719,6.53042,3.58577,3.08976e-34,0
0.375,6.4798,3.61343,3.08976e-34,0
0.3781,6.43138,3.64104,3.08976e-34,0
0.3812,6.38534,3.66859,3.08976e-34,0
0.3843,6.34186,3.69608,3.08976e-34,0
0.3874,6.3011,3.72352,3.08976e-34,0
0.3905,6.26318,3.7509,3.08976e-34,0
0.3936,6.22819,3.77823,3.08976e-34,0
0.3967,6.19622,3.80549,3.08976e-34,0
0.3998,6.16731,3.8327,3.46862e-34,0
0.4029,6.14152,3.83085,0.029,0
0.406,6.11879,3.82695,0.06,0
0.4091,6.09908,3.82298,0.091,0
0.4122,6.08233,3.81895,0.122,0
0.4153,6.06843,3.81487,0.153,0
0.4184,6.05727,3.81072,0.184,0
0.4215,6.04869,3.80652,0.215,0
0.4246,6.04252,3.80225,0.246,0
0.4277,6.03857,3.79792,0.277,0
0.4308,6.03663,3.79353,0.308,0
0.4339,6.03645,3.78908,0.339,0
0.437,6.03779,3.78457,0.37,0
0.4401,6.04039,3.77999,0.401,0
0.4432,6.04397,3.77535,0.432,0
0.4463,6.04825,3.77064,0.463,0
0.4494,6.05294,3.76587,0.494,0
0.4525,6.05775,3.76104,0.525,0
0.4556,6.06238,3.75614,0.556,0
0.4587,6.06654,3.75118,0.587,0
0.4618,6.06995,3.74615,0.618,0
0.4649,6.07232,3.74105,0.649,0
0.468,6.0734,3.73589,0.68,0
0.4711,6.07293,3.73066,0.711,0
0.4742,6.07066,3.72536,0.742,0
0.4773,6.06638,3.72,0.773,0
0.4804,6.05988,3.71457,0.804,0
0.4835,6.05099,3.70907,0.835,0
0.4866,6.03954,3.7035,0.866,0
0.4897,6.0254,3.69786,0.897,0
0.4928,6.00848,3.69215,0.928,0
0.4959,5.98868,3.68637,0.959,0
0.499,5.96596,3.68052,0.99,0
0.5021,5.94029,3.6746,1.021,0
0.5052,5.91169,3.66861,1.052,0
0.5083,5.88018,3.66255,1.083,0
0.5114,5.84584,3.65642,1.114,0
0.5145,5.80874,3.65021,1.145,0
0.5176,5.769,3.64393,1.176,0
0.5207,5.72677,3.63758,1.207,0
0.5238,5.68222,3.63115,1.238,0
0.5269,5.63554,3.62465,1.269,0
0.53,5.58693,3.61808,1.3,0
0.5331,5.53662,3.61143,1.331,0
0.5362,5.48487,3.60471,1.362,0
0.5393,5.43193,3.59791,1.393,0
0.5424,5.37807,3.59103,1.424,0
0.5455,5.32358,3.58408,1.455,0
0.5486,5.26875,3.57706,1.486,0
0.5517,5.21387,3.56995,1.517,0
0.5548,5.15923,3.56277,1.548,0
0.5579,5.10512,3.55552,1.579,0
0.561,5.05184,3.54818,1.61,0
0.5641,4.99966,3.54077,1.641,0
0.5672,4.94886,3.53327,1.672,0
0.5703,4.89969,3.5257,1.703,0
0.5734,4.85241,3.51805,1.734,0
0.5765,4.80722,3.51032,1.765,0
0.5796,4.76436,3.50251,1.796,0
0.5827,4.72399,3.49462,1.827,0
0.5858,4.68629,3.48665,1.858,0
0.5889,4.65139,3.4786,1.889,0
0.592,4.61942,3.47046,1.92,0
0.5951,4.59044,3.46225,1.951,0
0.5982,4.56453,3.45395,1.982,0
0.6013,4.54172,3.44557,2.013,0
0.6044,4.522,3.43711,2.044,0
0.6075,4.50535,3.42856,2.075,0
0.6106,4.49172,3.41993,2.106,0
0.6137,4.48102,3.41122,2.137,0
0.6168,4.47315,3.40242,2.168,0
0.6199,4.46796,3.39354,2.199,0
0.623,4.4653,3.38458,2.23,0
0.6261,4.46499,3.37553,2.261,0
0.6292,4.46681,3.36639,2.292,0
0.6323,4.47055,3.35717,2.323,0
0.6354,4.47597,3.34786,2.354,0
0.6385,4.4828,3.33846,2.385,0
0.6416,4.49079,3.32898,2.416,0
0.6447,4.49964,3.31941,2.447,0
0.6478,4.50907,3.30976,2.478,0
0.6509,4.5188,3.30001,2.509,0
0.654,4.52853,3.29018,2.54,0
0.6571,4.53795,3.28026,2.571,0
0.6602,4.5468,3.27025,2.602,0
0.6633,4.55478,3.26015,2.633,0
0.6664,4.56162,3.24996,2.664,0
0.6695,4.56707,3.23969,2.695,0
0.6726,4.57086,3.22932,2.726,0
0.6757,4.57277,3.21886,2.757,0
0.6788,4.57259,3.20831,2.788,0
0.6819,4.57013,3.19767,2.819,0
0.685,4.56521,3.18694,2.85,0
0.6881,4.5577,3.17612,2.881,0
0.6912,4.54746,3.16521,2.912,0
0.6943,4.53442,3.1542,2.943,0
0.6974,4.5185,3.14311,2.974,0
0.7005,4.49966,3.13191,3.005,0
0.7036,4.4779,3.12063,3.036,0
0.7067,4.45324,3.10925,3.067,0
0.7098,4.42572,3.09789,3.09789,0
0.7129,4.39547,3.10761,3.10761,0
0.716,4.36254,3.11728,3.11728,0
0.7191,4.32706,3.1269,3.1269,0
0.7222,4.28918,3.13648,3.13648,0
0.7253,4.24909,3.14601,3.14601,0
0.7284,4.20698,3.15549,3.15549,0
0.7315,4.16307,3.16493,3.16493,0
0.7346,4.1176,3.17431,3.17431,0
0.7377,4.07083,3.18365,3.18365,0
0.7408,4.02301,3.19294,3.19294,0
0.7439,3.97443,3.20218,3.20218,0
0.747,3.92538,3.21137,3.21137,0
0.7501,3.87613,3.22051,3.22051,0
0.7532,3.827,3.22961,3.22961,0
0.7563,3.77826,3.23865,3.23865,0
0.7594,3.73022,3.24765,3.24765,0
0.7625,3.68315,3.2566,3.2566,0
0.7656,3.63734,3.2655,3.2655,0
0.7687,3.59305,3.27434,3.27434,0
0.7718,3.55052,3.28314,3.28314,0
0.7749,3.51001,3.29189,3.29189,0
0.778,3.47172,3.30059,3.30059,0
0.7811,3.43585,3.30924,3.30924,0
0.7842,3.40259,3.31784,3.31784,0
0.7873,3.37208,3.32639,3.32639,0
0.7904,3.34445,3.33489,3.33489,0
0.7935,3.3355,3.3355,3.3355,0
0.7966,3.33392,3.33392,3.33392,0
0.7997,3.33333,3.33333,3.33333,0
0.8028,3.33375,3.33375,3.33375,0
0.8059,3.33518,3.33518,3.33518,0
0.809,3.33759,3.33759,3.33759,0
0.8121,3.34097,3.34097,3.34097,0
0.8152,3.34527,3.34527,3.34527,0
0.8183,3.35048,3.35048,3.35048,0
0.8214,3.35652,3.35652,3.35652,0
0.8245,3.36335,3.36335,3.36335,0
0.8276,3.3709,3.3709,3.3709,0
0.8307,3.37911,3.37911,3.37911,0
0.8338,3.38964,3.387,3.387,0
0.8369,3.40198,3.39472,3.39472,0
0.84,3.41562,3.4024,3.4024,0
0.8431,3.43029,3.41002,3.41002,0
0.8462,3.44571,3.41758,3.41758,0
0.8493,3.4616,3.4251,3.4251,0
0.8524,3.47765,3.43256,3.43256,0
0.8555,3.49357,3.43997,3.43997,0
0.8586,3.50908,3.44733,3.44733,0
0.8617,3.52388,3.45463,3.45463,0
0.8648,3.5377,3.46188,3.46188,0
0.8679,3.55028,3.46908,3.46908,0
