"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0.00048,1.439270411e-005,1e-009,-9.83168609e-009,-7.865227711e-014,2.503705148,9.984941464,49.99999999
0.00049,1.496802943e-005,1e-009,-9.831714026e-009,-8.029089562e-014,2.503845124,9.98529743,49.99999999
0.0005,1.555398723e-005,1e-009,-9.831748947e-009,-8.192951855e-014,2.503986837,9.985648893,49.99999999
0.00051,1.615051374e-005,1e-009,-9.831769899e-009,-8.356814681e-014,2.50413024,9.985996485,49.99999999
0.00052,1.675754519e-005,1e-009,-9.831811803e-009,-8.520678146e-014,2.504275288,9.986340647,49.99999999
0.00053,1.737501783e-005,1e-009,-9.831860691e-009,-8.684542371e-014,2.504421934,9.986681644,49.99999999
0.00054,1.800286787e-005,1e-009,-9.831923548e-009,-8.848407493e-014,2.504570134,9.987019571,49.99999999
0.00055,1.864103157e-005,1e-009,-9.83197942e-009,-9.01227367e-014,2.504719843,9.987354371,49.99999999
0.00056,1.928944612e-005,1e-009,-9.832056244e-009,-9.176141075e-014,2.504871148,9.987685856,49.99999999
0.00057,1.994807817e-005,1e-009,-9.832147037e-009,-9.340009902e-014,2.50502465,9.988013722,49.99999999
0.00058,2.061692838e-005,1e-009,-9.832244813e-009,-9.503880366e-014,2.505180569,9.98833757,49.99999999
0.00059,2.129599932e-005,1e-009,-9.832356558e-009,-9.667752705e-014,2.50533891,9.988656923,49.99999999
0.0006,2.198529355e-005,1e-009,-9.832489255e-009,-9.831627175e-014,2.505499675,9.988971259,49.99999999
0.00061,2.268481364e-005,1e-009,-9.832649888e-009,-9.995504058e-014,2.505662866,9.989280016,49.99999999
0.00062,2.339456214e-005,1e-009,-9.832803537e-009,-1.015938366e-013,2.505828484,9.989582626,49.99999999
0.00063,2.411454164e-005,1e-009,-9.832992106e-009,-1.032326629e-013,2.505996532,9.989878529,49.99999999
0.00064,2.484475469e-005,1e-009,-9.833208611e-009,-1.04871523e-013,2.506167012,9.990167188,49.99999999
0.00065,2.558520385e-005,1e-009,-9.833425116e-009,-1.065104205e-013,2.506339925,9.990448112,49.99999999
0.00066,2.633589168e-005,1e-009,-9.833683526e-009,-1.081493592e-013,2.506515272,9.990720865,49.99999999
0.00067,2.709682077e-005,1e-009,-9.833948919e-009,-1.097883429e-013,2.506693056,9.990985078,49.99999999
0.00068,2.786799366e-005,1e-009,-9.834256217e-009,-1.114273758e-013,2.506873279,9.991240463,49.99999999
0.00069,2.864941292e-005,1e-009,-9.834577483e-009,-1.130664618e-013,2.507055942,9.991486808,49.99999999
0.0007,2.944108258e-005,1e-009,-9.834926685e-009,-1.147056053e-013,2.507241219,9.991723997,49.99999999
0.00071,3.024303278e-005,1e-009,-9.835296839e-009,-1.163448104e-013,2.507429713,9.991952001,49.99999999
0.00072,3.105531629e-005,1e-009,-9.835701914e-009,-1.179840811e-013,2.507621623,9.99217088,49.99999999
0.00073,3.187798662e-005,1e-009,-9.836120956e-009,-1.196234216e-013,2.507816989,9.992380782,49.99999999
0.00074,3.271109728e-005,1e-009,-9.836567935e-009,-1.212628357e-013,2.508015848,9.992581942,49.99999999
0.00075,3.355470177e-005,1e-009,-9.837035865e-009,-1.229023272e-013,2.50821824,9.992774659,49.99999999
0.00076,3.44088536e-005,1e-009,-9.837524748e-009,-1.245418996e-013,2.508424204,9.9929593,49.99999999
0.00077,3.527360627e-005,1e-009,-9.838034583e-009,-1.261815561e-013,2.508633776,9.993136304,49.99999999
0.00078,3.61490133e-005,1e-009,-9.838558386e-009,-1.278212995e-013,2.508846997,9.99330615,49.99999999
0.00079,3.703512819e-005,1e-009,-9.839096157e-009,-1.294611324e-013,2.509063906,9.993469356,49.99999999
