"Time","axle position","speedVal","rotation","cycleEnd"
0.000,0,0,0,1
0.081,0,0,0,1
0.181,0,0,0,1
0.281,0,0,0,1
0.381,0,0,0,1
0.481,0,0,0,1
0.581,0,0,0,1
0.681,0,0,0,1
0.781,0,0,0,1
0.881,0,0,0,1
0.981,0,0,0,1
1.081,0,0,0,1
1.181,0,0,0,1
1.281,0,0,0,1
1.381,0,0,0,1
1.481,0,0,0,1
1.581,0,0,0,1
1.681,0,0,0,1
1.781,0,0,0,1
1.881,0,0,0,1
1.981,0,0,0,1
2.081,0,0,0,1
2.181,0,0,0,1
2.281,0,0,0,1
2.381,0,0,0,1
2.481,0,0,0,1
2.581,0,0,0,1
2.681,0,0,0,1
2.781,0,0,0,1
2.881,0,0,0,1
2.981,0,0,0,1
3.081,0,0,0,1
3.181,0,0,0,1
3.281,0,0,0,1
3.381,0,0,0,1
3.481,0,0,0,1
3.581,0,0,0,1
3.681,0,0,0,1
3.781,0,0,0,1
3.881,0,0,0,1
3.981,0,0,0,1
4.081,0,0,0,1
4.181,0,0,0,1
4.281,0,0,0,1
4.381,0,0,0,1
4.481,0,0,0,1
4.581,0,0,0,1
4.681,0,0,0,1
4.781,0,0,0,1
4.881,0,0,0,1
4.981,0,0,0,0
5.081,0,0,0,0
5.181,0,0,0,0
5.281,0,0,0,0
5.381,0,0,0,0
5.481,0,0,0,0
5.581,0,0,0,0
5.681,0,0,0,0
5.781,0,0,0,0
5.881,0,0,0,0
5.981,0,0,0,0
6.081,10,500,1,0
6.181,30,1500,1,0
6.281,50,2500,1,0
6.381,70,3500,1,0
6.481,80,4500,1,0
6.581,90,5000,1,0
6.681,100,5000,1,0
6.781,95,5000,1,0
6.881,75,5000,1,0
6.981,55,5000,1,0
7.081,35,5000,1,0
7.181,25,4500,0,0
7.281,15,3500,0,0
7.381,5,2500,0,0
7.481,0,1500,0,0
7.581,0,500,0,0
7.681,0,0,0,0
7.781,0,0,0,0
7.881,0,0,0,0
7.981,0,0,0,0
8.081,0,0,0,0
8.181,0,0,0,0
8.281,0,0,0,0
8.381,0,0,0,0
8.481,0,0,0,0
8.581,0,0,0,1
8.681,0,0,0,1
8.781,0,0,0,1
8.881,0,0,0,1
8.981,0,0,0,1
9.081,0,0,0,0
9.181,0,0,0,0
9.281,0,0,0,0
9.381,0,0,0,0
9.481,0,0,0,0
9.581,0,0,0,0
9.681,0,0,0,0
9.781,0,0,0,0
9.881,0,0,0,0
9.981,0,0,0,0
10.081,0,0,0,0
10.181,10,500,1,0
10.281,30,1500,1,0
10.381,50,2500,1,0
10.481,70,3500,1,0
10.581,80,4500,1,0
10.681,90,5000,1,0
10.781,100,5000,1,0
10.881,95,5000,1,0
10.981,75,5000,1,0
11.081,55,5000,1,0
11.181,35,5000,1,0
11.281,25,4500,0,0
11.381,15,3500,0,0
11.481,5,2500,0,0
11.581,0,1500,0,0
11.681,0,500,0,0
11.781,0,0,0,0
11.881,0,0,0,0
11.981,0,0,0,0
12.081,0,0,0,0
