"time","wall.RAT","room.energy","room.Tisurf","wall.Tosurf","OAT","fanspeed","valveopen","room.Awall","room.LWT","room.RATinit","room.cAir","room.cWater","room.eps","room.hAir","room.mdotat","room.mdotwt","room.rohAir","room.vAir","wall.TisurfInit","wall.TosurfInit","wall.aWall","wall.cWall","wall.hi","wall.ho","wall.lWall","wall.lambda_Wall","wall.rhoWall","RAT","room.DT","room.EWT","room.Qin","room.Qout","room.SAT","room.fs","room.mdota","room.mdotw","room.vo","wall.C","wall.R","room.der(RAT)","room.der(energy)","wall.der(Tisurf)","wall.der(Tosurf)"
0,16,0,16,10,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.48576,28.38172686,0.48576,0,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.328903654e-006,0.48576,-0.0008902573758,-0.0115561681
0.0005,16,0.00024288,15.99999955,9.999994222,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.4856530096,28.38172686,0.48576,0.0001069904114,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.328610959e-006,0.48576,-0.0008902580284,-0.01155616012
0.001,16,0.00048576,15.99999911,9.999988444,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.4855460191,28.38172686,0.48576,0.0002139808979,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.328318262e-006,0.48576,-0.000890258681,-0.01155615213
0.0015,16,0.0007286399999,15.99999866,9.999982666,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.4854390285,28.38172686,0.48576,0.000320971412,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.328025566e-006,0.48576,-0.0008902593336,-0.01155614415
0.002,16,0.0009715199999,15.99999822,9.999976888,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.485332038,28.38172686,0.4857599999,0.000427961956,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.32773287e-006,0.4857599999,-0.0008902599862,-0.01155613617
0.0025,16,0.0012144,15.99999777,9.99997111,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.4852250474,28.38172686,0.4857599999,0.0005349525286,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.327440174e-006,0.4857599999,-0.0008902606388,-0.01155612819
0.003,16,0.00145728,15.99999733,9.999965332,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.4851180568,28.38172686,0.4857599999,0.0006419431293,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.327147477e-006,0.4857599999,-0.0008902612915,-0.0115561202
0.0035,16,0.00170016,15.99999688,9.999959554,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16,0.4850110659,28.38172686,0.4857599999,0.0007489339768,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.32685478e-006,0.4857599999,-0.0008902619441,-0.01155611222
0.004,16.00000001,0.00194304,15.99999644,9.999953776,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,0.484904075,28.38172686,0.4857599999,0.0008559249156,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.326562083e-006,0.4857599999,-0.0008902625967,-0.01155610424
0.0045,16.00000001,0.00218592,15.99999599,9.999947997,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,0.484797084,28.38172686,0.4857599999,0.0009629158932,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.326269385e-006,0.4857599999,-0.0008902632493,-0.01155609625
0.005,16.00000001,0.002428799999,15.99999555,9.999942219,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,0.484690093,28.38172686,0.4857599999,0.001069906909,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.325976688e-006,0.4857599999,-0.0008902639019,-0.01155608827
0.0055,16.00000001,0.002671679999,15.9999951,9.999936441,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,0.4845831019,28.38172686,0.4857599999,0.001176897963,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.32568399e-006,0.4857599999,-0.0008902645545,-0.01155608029
0.006,16.00000001,0.002914559999,15.99999466,9.999930663,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,0.4844761108,28.38172686,0.4857599998,0.001283889055,25.6,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.325391292e-006,0.4857599998,-0.0008902652071,-0.01155607231
0.0065,16.00000001,0.003157439999,15.99999421,9.999924885,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,0.4843691196,28.38172686,0.4857599998,0.001390880186,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.325098594e-006,0.4857599998,-0.0008902658597,-0.01155606432
0.007,16.00000001,0.003400319999,15.99999377,9.999919107,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000001,0.4842621285,28.38172686,0.4857599998,0.001497871355,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872,1.324805896e-006,0.4857599998,-0.0008902665123,-0.01155605634
