"time","J1.phi","J1.w","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0.54,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.55,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.56,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.57,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.58,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.59,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.6,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.61,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.62,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.63,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.64,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.65,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.66,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.67,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.68,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.69,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.7,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.71,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.72,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.73,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.74,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.75,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.76,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.77,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.78,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.79,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.8,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.81,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.82,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.83,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.84,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.85,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.86,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.87,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.88,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.89,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.9,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.91,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.92,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.93,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.94,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
0.95,3.34394,6.16562,0.4,-2.56053,-2.33116,-0.783405,-3.83445,0,0,0.2
