"Time","x_0","x_1","x_2","y_0","y_1","y_2"
0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-02,4.999916700000000E-01,3.999733300000000E-01,1.499993800000000E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
2.000000000000000E-02,9.999333300000000E-01,7.997866800000000E-01,2.999950000000000E-01,1.999833332221600E-01,0.000000000000000E+00,0.000000000000000E+00
3.000000000000000E-02,1.499775000000000E+00,1.199280100000000E+00,4.499831300000000E-01,7.997333582220399E-01,1.799720010000000E+00,0.000000000000000E+00
4.000000000000000E-02,1.999466700000000E+00,1.598293900000000E+00,5.999600000000000E-01,1.798650311977500E+00,1.799720010000000E+00,0.000000000000000E+00
5.000000000000000E-02,2.498958500000000E+00,1.996668300000000E+00,7.499218800000000E-01,3.195735429863100E+00,3.597760600000000E+00,4.197720600000000E+00
6.000000000000000E-02,2.998200300000000E+00,2.394244100000000E+00,8.998650100000000E-01,4.989591219965600E+00,3.597760600000000E+00,4.197720600000000E+00
7.000000000000001E-02,3.497142400000000E+00,2.790862300000000E+00,1.049785600000000E+00,7.178423378893200E+00,5.392444400000000E+00,4.197720600000000E+00
8.000000000000000E-02,3.995734700000000E+00,3.186364100000000E+00,1.199680000000000E+00,9.760042881891501E+00,5.392444400000000E+00,4.197720600000000E+00
9.000000000000000E-02,4.493927500000000E+00,3.580591500000000E+00,1.349544400000000E+00,1.273186560120400E+01,7.182098800000000E+00,8.381778799999999E+00
1.000000000000000E-01,4.991670800000000E+00,3.973386600000000E+00,1.499375100000000E+00,1.609091860811600E+01,7.182098800000000E+00,8.381778799999999E+00
1.100000000000000E-01,5.488915000000000E+00,4.364592500000000E+00,1.649168300000000E+00,1.983383786833100E+01,8.965057399999999E+00,8.381778799999999E+00
