"time",	"der(x0)",	"der(x1)",	"mu",	"x0",	"x1"
0,	0,	-2,	1,	2,	0
0.1,	-0.174908,	-1.472768,	1,	1.991687,	-0.174908
0.2,	-0.304035,	-1.094486,	1,	1.968069,	-0.304035
0.3,	-0.401103,	-0.83534,	1,	1.933081,	-0.401103
0.4,	-0.476629,	-0.664519,	1,	1.88943,	-0.476629
0.5,	-0.538253,	-0.557017,	1,	1.838905,	-0.538253
0.6,	-0.591419,	-0.494649,	1,	1.782635,	-0.591419
0.7,	-0.640026,	-0.465033,	1,	1.721281,	-0.640026
0.8,	-0.686945,	-0.460177,	1,	1.655163,	-0.686945
0.9,	-0.734408,	-0.475279,	1,	1.584346,	-0.734408
1,	-0.784277,	-0.507842,	1,	1.508688,	-0.784277
1.1,	-0.838248,	-0.557084,	1,	1.427872,	-0.838248
1.2,	-0.898006,	-0.623557,	1,	1.341413,	-0.898006
1.3,	-0.965338,	-0.708899,	1,	1.248653,	-0.965338
1.4,	-1.042236,	-0.815629,	1,	1.148746,	-1.042236
1.5,	-1.130966,	-0.94685,	1,	1.040638,	-1.130966
1.6,	-1.234099,	-1.105696,	1,	0.92303,	-1.234099
1.7,	-1.354459,	-1.294147,	1,	0.794358,	-1.354459
1.8,	-1.494891,	-1.510676,	1,	0.652769,	-1.494891
1.9,	-1.657706,	-1.745791,	1,	0.496145,	-1.657706
2,	-1.843518,	-1.974338,	1,	0.322197,	-1.843518
2.1,	-2.049124,	-2.143896,	1,	0.128727,	-2.049124
2.2,	-2.264104,	-2.161564,	1,	-0.085852,	-2.264104
2.3,	-2.466429,	-1.889734,	1,	-0.3216,	-2.466429
2.4,	-2.619083,	-1.175283,	1,	-0.575714,	-2.619083
2.5,	-2.672581,	0.059036,	1,	-0.841064,	-2.672581
2.6,	-2.579434,	1.678372,	1,	-1.105485,	-2.579434
2.7,	-2.319688,	3.28032,	1,	-1.353078,	-2.319688
2.8,	-1.921074,	4.370221,	1,	-1.568014,	-1.921074
2.9,	-1.452131,	4.679897,	1,	-1.739266,	-1.452131
3,	-0.989529,	4.309485,	1,	-1.863339,	-0.989529
3.1,	-0.586777,	3.57323,	1,	-1.943542,	-0.586777
3.2,	-0.264824,	2.76785,	1,	-1.987051,	-0.264824
3.3,	-0.020658,	2.06409,	1,	-2.001954,	-0.020658
3.4,	0.159837,	1.518841,	1,	-1.995441,	0.159837
3.5,	0.292866,	1.125796,	1,	-1.973142,	0.292866
3.6,	0.392526,	0.855662,	1,	-1.939145,	0.392526
3.7,	0.469694,	0.67702,	1,	-1.896271,	0.469694
3.8,	0.532291,	0.564018,	1,	-1.846391,	0.532291
3.9,	0.585957,	0.497732,	1,	-1.790692,	0.585957
4,	0.634723,	0.46521,	1,	-1.729875,	0.634723
4.1,	0.681543,	0.458055,	1,	-1.664289,	0.681543
4.2,	0.728692,	0.471173,	1,	-1.594024,	0.728692
4.3,	0.778055,	0.501857,	1,	-1.518959,	0.778055
4.4,	0.831331,	0.549161,	1,	-1.438796,	0.831331
4.5,	0.890192,	0.613504,	1,	-1.353067,	0.890192
4.6,	0.956402,	0.696415,	1,	-1.261136,	0.956402
4.7,	1.031917,	0.800321,	1,	-1.162184,	1.031917
4.8,	1.118964,	0.928284,	1,	-1.05518,	1.118964
4.9,	1.220074,	1.083489,	1,	-0.938861,	1.220074
5,	1.338045,	1.26817,	1,	-0.811696,	1.338045
5.1,	1.475742,	1.481449,	1,	-0.671869,	1.475742
5.2,	1.635593,	1.715216,	1,	-0.517291,	1.635593
