      "time",    "UI_pos","Y_Total_Force"
         0,         0,         0
      0.01,0.0099998333,9.9999999e-037
      0.02,0.019998667,0.099998333
      0.03, 0.0299955,0.19998667
      0.04,0.039989334,  0.299955
      0.05,0.049979169,0.39989334
      0.06,0.059964006,0.49979169
      0.07,0.069942847,0.59964006
      0.08,0.079914694,0.69942847
      0.09,0.089878549,0.79914694
       0.1,0.099833417,0.89878549
      0.11, 0.1097783,0.99833417
      0.12,0.11971221,  1.097783
      0.13,0.12963414, 1.1971221
      0.14,0.13954311, 1.2963414
      0.15,0.14943813, 1.3954311
      0.16,0.15931821, 1.4943813
      0.17,0.16918235, 1.5931821
      0.18,0.17902957, 1.6918235
      0.19,0.18885889, 1.7902957
       0.2,0.19866933, 1.8885889
      0.21, 0.2084599, 1.9866933
      0.22,0.21822962,  2.084599
      0.23,0.22797752, 2.1822962
      0.24,0.23770263, 2.2797752
      0.25,0.24740396, 2.3770263
      0.26,0.25708055, 2.4740396
      0.27,0.26673144, 2.5708055
      0.28,0.27635565, 2.6673144
      0.29,0.28595223, 2.7635565
       0.3,0.29552021, 2.8595223
      0.31,0.30505864, 2.9552021
      0.32,0.31456656, 3.0505864
      0.33,0.32404303, 3.1456656
      0.34,0.33348709, 3.2404303
      0.35,0.34289781, 3.3348709
      0.36,0.35227423, 3.4289781
      0.37,0.36161543, 3.5227423
      0.38,0.37092047, 3.6161543
      0.39,0.38018842, 3.7092047
       0.4,0.38941834, 3.8018842
      0.41,0.39860933, 3.8941834
      0.42,0.40776045, 3.9860933
      0.43, 0.4168708, 4.0776045
      0.44,0.42593947,  4.168708
      0.45,0.43496553, 4.2593947
      0.46,0.44394811, 4.3496553
      0.47,0.45288629, 4.4394811
      0.48,0.46177918, 4.5288629
      0.49,0.47062589, 4.6177918
       0.5,0.47942554, 4.7062589
      0.51,0.48817725, 4.7942554
      0.52,0.49688014, 4.8817725
      0.53,0.50553334, 4.9688014
      0.54,0.51413599, 5.0553334
      0.55,0.52268723, 5.1413599
      0.56, 0.5311862, 5.2268723
      0.57,0.53963205,  5.311862
      0.58,0.54802394, 5.3963205
      0.59,0.55636102, 5.4802394
       0.6,0.56464247, 5.5636102
      0.61,0.57286746, 5.6464247
      0.62,0.58103516, 5.7286746
      0.63,0.58914476, 5.8103516
      0.64,0.59719544, 5.8914476
      0.65,0.60518641, 5.9719544
      0.66,0.61311685, 6.0518641
      0.67,0.62098599, 6.1311685
      0.68,0.62879302, 6.2098599
      0.69,0.63653718, 6.2879302
       0.7,0.64421769, 6.3653718
      0.71,0.65183377, 6.4421769
      0.72,0.65938467, 6.5183377
      0.73,0.66686964, 6.5938467
      0.74,0.67428791, 6.6686964
      0.75,0.68163876, 6.7428791
      0.76,0.68892145, 6.8163876
      0.77,0.69613524, 6.8892145
      0.78,0.70327942, 6.9613524
      0.79,0.71035327, 7.0327942
       0.8,0.71735609, 7.1035327
      0.81,0.72428717, 7.1735609
      0.82,0.73114583, 7.2428717
      0.83,0.73793137, 7.3114583
      0.84,0.74464312, 7.3793137
      0.85,0.75128041, 7.4464312
      0.86,0.75784256, 7.5128041
      0.87,0.76432894, 7.5784256
      0.88,0.77073888, 7.6432894
      0.89,0.77707175, 7.7073888
       0.9,0.78332691, 7.7707175
      0.91,0.78950374, 7.8332691
      0.92,0.79560162, 7.8950374
      0.93,0.80161994, 7.9560162
      0.94, 0.8075581, 8.0161994
      0.95, 0.8134155,  8.075581
      0.96,0.81919157,  8.134155
      0.97,0.82488571, 8.1919157
      0.98,0.83049737, 8.2488571
      0.99,0.83602598, 8.3049737
         1,0.84147098, 8.3602598
      1.01,0.84683184, 8.4147098
      1.02,0.85210802, 8.4683184
      1.03,0.85729899, 8.5210802
      1.04,0.86240423, 8.5729899
      1.05,0.86742323, 8.6240423
      1.06,0.87235548, 8.6742323
      1.07, 0.8772005, 8.7235548
      1.08,0.88195781,  8.772005
      1.09,0.88662691, 8.8195781
       1.1,0.89120736, 8.8662691
      1.11,0.89569869, 8.9120736
      1.12,0.90010044, 8.9569869
      1.13,0.90441219, 9.0010044
      1.14, 0.9086335, 9.0441219
      1.15,0.91276394,  9.086335
      1.16,0.91680311, 9.1276394
      1.17, 0.9207506, 9.1680311
      1.18,0.92460601,  9.207506
      1.19,0.92836897, 9.2460601
       1.2,0.93203909, 9.2836897
      1.21,  0.935616, 9.3203909
      1.22,0.93909936,   9.35616
      1.23, 0.9424888, 9.3909936
      1.24,  0.945784,  9.424888
      1.25,0.94898462,   9.45784
      1.26,0.95209034, 9.4898462
      1.27,0.95510086, 9.5209034
      1.28,0.95801586, 9.5510086
      1.29,0.96083506, 9.5801586
       1.3,0.96355819, 9.6083506
      1.31,0.96618495, 9.6355819
      1.32, 0.9687151, 9.6618495
      1.33,0.97114838,  9.687151
      1.34,0.97348454, 9.7114838
      1.35,0.97572336, 9.7348454
      1.36, 0.9778646, 9.7572336
      1.37,0.97990806,  9.778646
      1.38,0.98185353, 9.7990806
      1.39,0.98370081, 9.8185353
       1.4,0.98544973, 9.8370081
      1.41, 0.9871001, 9.8544973
      1.42,0.98865176,  9.871001
      1.43,0.99010456, 9.8865176
      1.44,0.99145835, 9.9010456
      1.45,0.99271299, 9.9145835
      1.46,0.99386836, 9.9271299
      1.47,0.99492435, 9.9386836
      1.48,0.99588084, 9.9492435
      1.49,0.99673775, 9.9588084
       1.5,0.99749499, 9.9673775
      1.51,0.99815247, 9.9749499
      1.52,0.99871014, 9.9815247
      1.53,0.99916795, 9.9871014
      1.54,0.99952583, 9.9916795
      1.55,0.99978376, 9.9952583
      1.56,0.99994172, 9.9978376
      1.57,0.99999968, 9.9994172
      1.58,0.99995765, 9.9999968
      1.59,0.99981562, 9.9995765
       1.6, 0.9995736, 9.9981562
      1.61,0.99923163,  9.995736
      1.62,0.99878974, 9.9923163
      1.63,0.99824797, 9.9878974
      1.64,0.99760638, 9.9824797
      1.65,0.99686503, 9.9760638
      1.66,0.99602399, 9.9686503
      1.67,0.99508335, 9.9602399
      1.68, 0.9940432, 9.9508335
      1.69,0.99290365,  9.940432
       1.7,0.99166481, 9.9290365
      1.71, 0.9903268, 9.9166481
      1.72,0.98888977,  9.903268
      1.73,0.98735384, 9.8888977
      1.74,0.98571918, 9.8735384
      1.75,0.98398595, 9.8571918
      1.76,0.98215432, 9.8398595
      1.77,0.98022447, 9.8215432
      1.78,0.97819661, 9.8022447
      1.79,0.97607092, 9.7819661
       1.8,0.97384763, 9.7607092
      1.81,0.97152696, 9.7384763
      1.82,0.96910913, 9.7152696
      1.83,0.96659439, 9.6910913
      1.84,  0.963983, 9.6659439
      1.85, 0.9612752,   9.63983
      1.86,0.95847128,  9.612752
      1.87,0.95557152, 9.5847128
      1.88,0.95257619, 9.5557152
      1.89,0.94948561, 9.5257619
       1.9,0.94630009, 9.4948561
      1.91,0.94301993, 9.4630009
      1.92,0.93964547, 9.4301993
      1.93,0.93617705, 9.3964547
      1.94,0.93261501, 9.3617705
      1.95,0.92895972, 9.3261501
      1.96,0.92521152, 9.2895972
      1.97,0.92137081, 9.2521152
      1.98,0.91743796, 9.2137081
      1.99,0.91341336, 9.1743796
         2,0.90929743, 9.1341336
      2.01,0.90509056, 9.0929743
      2.02,0.90079319, 9.0509056
      2.03,0.89640574, 9.0079319
      2.04,0.89192865, 8.9640574
      2.05,0.88736237, 8.9192865
      2.06,0.88270735, 8.8736237
      2.07,0.87796406, 8.8270735
      2.08,0.87313298, 8.7796406
      2.09,0.86821458, 8.7313298
       2.1,0.86320937, 8.6821458
      2.11,0.85811783, 8.6320937
      2.12,0.85294048, 8.5811783
      2.13,0.84767784, 8.5294048
      2.14,0.84233043, 8.4767784
      2.15,0.83689879, 8.4233043
      2.16,0.83138346, 8.3689879
      2.17,0.82578499, 8.3138346
      2.18,0.82010395, 8.2578499
      2.19,0.81434089, 8.2010395
       2.2, 0.8084964, 8.1434089
      2.21,0.80257107,  8.084964
      2.22,0.79656547, 8.0257107
      2.23,0.79048022, 7.9656547
      2.24,0.78431593, 7.9048022
      2.25, 0.7780732, 7.8431593
      2.26,0.77175266,  7.780732
      2.27,0.76535495, 7.7175266
      2.28,0.75888071, 7.6535495
      2.29,0.75233058, 7.5888071
       2.3,0.74570521, 7.5233058
      2.31,0.73900528, 7.4570521
      2.32,0.73223144, 7.3900528
      2.33,0.72538439, 7.3223144
      2.34,0.71846479, 7.2538439
      2.35,0.71147335, 7.1846479
      2.36,0.70441077, 7.1147335
      2.37,0.69727774, 7.0441077
      2.38,0.69007498, 6.9727774
      2.39,0.68280322, 6.9007498
       2.4,0.67546318, 6.8280322
      2.41,0.66805559, 6.7546318
      2.42, 0.6605812, 6.6805559
      2.43,0.65304075,  6.605812
      2.44,  0.645435, 6.5304075
      2.45, 0.6377647,   6.45435
      2.46,0.63003063,  6.377647
      2.47,0.62223356, 6.3003063
      2.48,0.61437426, 6.2223356
      2.49,0.60645352, 6.1437426
       2.5,0.59847214, 6.0645352
      2.51,0.59043092, 5.9847214
      2.52,0.58233065, 5.9043092
      2.53,0.57417215, 5.8233065
      2.54,0.56595623, 5.7417215
      2.55,0.55768372, 5.6595623
      2.56,0.54935544, 5.5768372
      2.57,0.54097222, 5.4935544
      2.58,0.53253491, 5.4097222
      2.59,0.52404434, 5.3253491
       2.6,0.51550137, 5.2404434
      2.61,0.50690685, 5.1550137
      2.62,0.49826164, 5.0690685
      2.63,0.48956661, 4.9826164
      2.64,0.48082261, 4.8956661
      2.65,0.47203054, 4.8082261
      2.66,0.46319126, 4.7203054
      2.67,0.45430567, 4.6319126
      2.68,0.44537464, 4.5430567
      2.69,0.43639908, 4.4537464
       2.7,0.42737988, 4.3639908
      2.71,0.41831794, 4.2737988
      2.72,0.40921417, 4.1831794
      2.73,0.40006948, 4.0921417
      2.74,0.39088478, 4.0006948
      2.75,0.38166099, 3.9088478
      2.76,0.37239904, 3.8166099
      2.77,0.36309985, 3.7239904
      2.78,0.35376435, 3.6309985
      2.79,0.34439347, 3.5376435
