Time,Circle_SWC_output_Coords.x,Circle_SWC_output_Coords.y
0,0,0
0.1,0.54,0.84
0.2,-0.42,0.9
0.3,-0.99,0.14
0.4,-0.66,-0.76
0.5,0.28,-0.96
0.6,0.96,-0.28
0.7,0.75,0.65
0.8,-0.15,0.98
0.9,-0.92,0.41
1,-0.84,-0.55
1.1,0,-1
1.2,0.84,-0.54
1.3,0.9,0.42
1.4,0.13,0.99
1.5,-0.76,0.65
1.6,-0.96,-0.29
1.7,-0.28,-0.97
1.8,0.66,-0.76
1.9,0.98,0.14
2,0.4,0.91
2.1,-0.55,0.83
2.2,-1,-0.01
2.3,-0.54,-0.85
2.4,0.42,-0.91
2.5,0.99,-0.14
2.6,0.64,0.76
2.7,-0.3,0.95
2.8,-0.97,0.27
2.9,-0.75,-0.67
3,0.15,-0.99
3.1,0.91,-0.41
3.2,0.83,0.55
3.3,-0.02,0.99
3.4,-0.85,0.52
3.5,-0.91,-0.43
3.6,-0.13,-1
3.7,0.76,-0.65
3.8,0.95,0.29
3.9,0.26,0.96
4,-0.67,0.74
