"Time","x","der(x)"
0.000000000000000E+00,1.000000000000000E+00,-1.000000000000000E+00
1.000000000000000E-01,9.043820750088000E-01,-9.043820750088000E-01
2.000000000000000E-01,8.179069375972300E-01,-8.179069375972300E-01
3.000000000000000E-01,7.397003733882800E-01,-7.397003733882800E-01
4.000000000000000E-01,6.689717585696801E-01,-6.689717585696801E-01
5.000000000000000E-01,6.050060671375400E-01,-6.050060671375400E-01
6.000000000000000E-01,5.471566423907600E-01,-5.471566423907600E-01
7.000000000000000E-01,4.948386596002100E-01,-4.948386596002100E-01
8.000000000000000E-01,4.475232137638100E-01,-4.475232137638100E-01
9.000000000000000E-01,4.047319726783200E-01,-4.047319726783200E-01
1.000000000000000E+00,3.660323412732300E-01,-3.660323412732300E-01
