"time",	"der(h)",	"der(v)",	"e",	"g",	"h",	"v"
3.54,	-0.020431,	-9.81,	0.7,	9.81,	0.002499,	-0.020431
3.55,	-0.118531,	-9.81,	0.7,	9.81,	0.002295,	-0.118531
3.56,	-0.216631,	-9.81,	0.7,	9.81,	0.00111,	-0.216631
3.57,	-0.314731,	-9.81,	0.7,	9.81,	-0.001057,	-0.314731
3.58,	0.122212,	-9.81,	0.7,	9.81,	0.001146,	0.122212
3.59,	0.024112,	-9.81,	0.7,	9.81,	0.002369,	0.024112
3.6,	-0.073988,	-9.81,	0.7,	9.81,	0.00261,	-0.073988
3.61,	-0.172088,	-9.81,	0.7,	9.81,	0.00187,	-0.172088
3.62,	-0.270188,	-9.81,	0.7,	9.81,	0.000149,	-0.270188
3.63,	-0.368288,	-9.81,	0.7,	9.81,	-0.002553,	-0.368288
3.64,	0.159702,	-9.81,	0.7,	9.81,	2.5E-05,	0.159702
3.65,	0.061602,	-9.81,	0.7,	9.81,	0.001622,	0.061602
3.66,	-0.036498,	-9.81,	0.7,	9.81,	0.002238,	-0.036498
3.67,	-0.134598,	-9.81,	0.7,	9.81,	0.001873,	-0.134598
3.68,	-0.232698,	-9.81,	0.7,	9.81,	0.000527,	-0.232698
3.69,	-0.330798,	-9.81,	0.7,	9.81,	-0.0018,	-0.330798
3.7,	0.133459,	-9.81,	0.7,	9.81,	0.000516,	0.133459
3.71,	0.035359,	-9.81,	0.7,	9.81,	0.00185,	0.035359
3.72,	-0.062741,	-9.81,	0.7,	9.81,	0.002204,	-0.062741
3.73,	-0.160841,	-9.81,	0.7,	9.81,	0.001576,	-0.160841
3.74,	-0.258941,	-9.81,	0.7,	9.81,	-3.2E-05,	-0.258941
3.75,	0.083159,	-9.81,	0.7,	9.81,	0.001781,	0.083159
3.76,	-0.014941,	-9.81,	0.7,	9.81,	0.002612,	-0.014941
3.77,	-0.113041,	-9.81,	0.7,	9.81,	0.002463,	-0.113041
3.78,	-0.211141,	-9.81,	0.7,	9.81,	0.001332,	-0.211141
3.79,	-0.309241,	-9.81,	0.7,	9.81,	-0.000779,	-0.309241
3.8,	0.118369,	-9.81,	0.7,	9.81,	0.001386,	0.118369
3.81,	0.020269,	-9.81,	0.7,	9.81,	0.002569,	0.020269
3.82,	-0.077831,	-9.81,	0.7,	9.81,	0.002772,	-0.077831
3.83,	-0.175931,	-9.81,	0.7,	9.81,	0.001994,	-0.175931
3.84,	-0.274031,	-9.81,	0.7,	9.81,	0.000234,	-0.274031
3.85,	-0.372131,	-9.81,	0.7,	9.81,	-0.002506,	-0.372131
3.86,	0.162392,	-9.81,	0.7,	9.81,	9.9E-05,	0.162392
3.87,	0.064292,	-9.81,	0.7,	9.81,	0.001723,	0.064292
3.88,	-0.033808,	-9.81,	0.7,	9.81,	0.002366,	-0.033808
3.89,	-0.131908,	-9.81,	0.7,	9.81,	0.002028,	-0.131908
3.9,	-0.230008,	-9.81,	0.7,	9.81,	0.000709,	-0.230008
3.91,	-0.328108,	-9.81,	0.7,	9.81,	-0.001591,	-0.328108
3.92,	0.131576,	-9.81,	0.7,	9.81,	0.000705,	0.131576
3.93,	0.033476,	-9.81,	0.7,	9.81,	0.002021,	0.033476
3.94,	-0.064624,	-9.81,	0.7,	9.81,	0.002356,	-0.064624
3.95,	-0.162724,	-9.81,	0.7,	9.81,	0.00171,	-0.162724
3.96,	-0.260824,	-9.81,	0.7,	9.81,	8.2E-05,	-0.260824
3.97,	-0.358924,	-9.81,	0.7,	9.81,	-0.002526,	-0.358924
3.98,	0.153147,	-9.81,	0.7,	9.81,	-1.3E-05,	0.153147
3.99,	0.055047,	-9.81,	0.7,	9.81,	0.001518,	0.055047
4,	-0.043053,	-9.81,	0.7,	9.81,	0.002069,	-0.043053
4.01,	-0.141153,	-9.81,	0.7,	9.81,	0.001638,	-0.141153
