"time",	"der(h)",	"der(v)",	"e",	"g",	"h",	"v"
0.81,	-0.27468,	-9.81,	0.7,	9.81,	0.506557,	-0.27468
0.82,	-0.37278,	-9.81,	0.7,	9.81,	0.50381,	-0.37278
0.83,	-0.47088,	-9.81,	0.7,	9.81,	0.500082,	-0.47088
0.84,	-0.56898,	-9.81,	0.7,	9.81,	0.495374,	-0.56898
0.85,	-0.66708,	-9.81,	0.7,	9.81,	0.489684,	-0.66708
0.86,	-0.76518,	-9.81,	0.7,	9.81,	0.483013,	-0.76518
0.87,	-0.86328,	-9.81,	0.7,	9.81,	0.475361,	-0.86328
0.88,	-0.96138,	-9.81,	0.7,	9.81,	0.466728,	-0.96138
0.89,	-1.05948,	-9.81,	0.7,	9.81,	0.457115,	-1.05948
0.9,	-1.15758,	-9.81,	0.7,	9.81,	0.44652,	-1.15758
0.91,	-1.25568,	-9.81,	0.7,	9.81,	0.434944,	-1.25568
0.92,	-1.35378,	-9.81,	0.7,	9.81,	0.422387,	-1.35378
0.93,	-1.45188,	-9.81,	0.7,	9.81,	0.408849,	-1.45188
0.94,	-1.54998,	-9.81,	0.7,	9.81,	0.394331,	-1.54998
0.95,	-1.64808,	-9.81,	0.7,	9.81,	0.378831,	-1.64808
0.96,	-1.74618,	-9.81,	0.7,	9.81,	0.36235,	-1.74618
0.97,	-1.84428,	-9.81,	0.7,	9.81,	0.344888,	-1.84428
0.98,	-1.94238,	-9.81,	0.7,	9.81,	0.326445,	-1.94238
0.99,	-2.04048,	-9.81,	0.7,	9.81,	0.307022,	-2.04048
1,	-2.13858,	-9.81,	0.7,	9.81,	0.286617,	-2.13858
1.01,	-2.23668,	-9.81,	0.7,	9.81,	0.265231,	-2.23668
1.02,	-2.33478,	-9.81,	0.7,	9.81,	0.242864,	-2.33478
1.03,	-2.43288,	-9.81,	0.7,	9.81,	0.219516,	-2.43288
1.04,	-2.53098,	-9.81,	0.7,	9.81,	0.195188,	-2.53098
1.05,	-2.62908,	-9.81,	0.7,	9.81,	0.169878,	-2.62908
1.06,	-2.72718,	-9.81,	0.7,	9.81,	0.143587,	-2.72718
1.07,	-2.82528,	-9.81,	0.7,	9.81,	0.116315,	-2.82528
1.08,	-2.92338,	-9.81,	0.7,	9.81,	0.088062,	-2.92338
1.09,	-3.02148,	-9.81,	0.7,	9.81,	0.058829,	-3.02148
1.1,	-3.11958,	-9.81,	0.7,	9.81,	0.028614,	-3.11958
1.11,	-3.21768,	-9.81,	0.7,	9.81,	-0.002582,	-3.21768
1.12,	2.154276,	-9.81,	0.7,	9.81,	0.019942,	2.154276
1.13,	2.056176,	-9.81,	0.7,	9.81,	0.041485,	2.056176
1.14,	1.958076,	-9.81,	0.7,	9.81,	0.062046,	1.958076
1.15,	1.859976,	-9.81,	0.7,	9.81,	0.081627,	1.859976
1.16,	1.761876,	-9.81,	0.7,	9.81,	0.100227,	1.761876
1.17,	1.663776,	-9.81,	0.7,	9.81,	0.117846,	1.663776
1.18,	1.565676,	-9.81,	0.7,	9.81,	0.134483,	1.565676
1.19,	1.467576,	-9.81,	0.7,	9.81,	0.15014,	1.467576
1.2,	1.369476,	-9.81,	0.7,	9.81,	0.164816,	1.369476
1.21,	1.271376,	-9.81,	0.7,	9.81,	0.178511,	1.271376
1.22,	1.173276,	-9.81,	0.7,	9.81,	0.191224,	1.173276
1.23,	1.075176,	-9.81,	0.7,	9.81,	0.202957,	1.075176
1.24,	0.977076,	-9.81,	0.7,	9.81,	0.213709,	0.977076
1.25,	0.878976,	-9.81,	0.7,	9.81,	0.22348,	0.878976
1.26,	0.780876,	-9.81,	0.7,	9.81,	0.232269,	0.780876
1.27,	0.682776,	-9.81,	0.7,	9.81,	0.240078,	0.682776
1.28,	0.584676,	-9.81,	0.7,	9.81,	0.246906,	0.584676
1.29,	0.486576,	-9.81,	0.7,	9.81,	0.252753,	0.486576
1.3,	0.388476,	-9.81,	0.7,	9.81,	0.257618,	0.388476
1.31,	0.290376,	-9.81,	0.7,	9.81,	0.261503,	0.290376
1.32,	0.192276,	-9.81,	0.7,	9.81,	0.264407,	0.192276
1.33,	0.094176,	-9.81,	0.7,	9.81,	0.26633,	0.094176
1.34,	-0.003924,	-9.81,	0.7,	9.81,	0.267271,	-0.003924
1.35,	-0.102024,	-9.81,	0.7,	9.81,	0.267232,	-0.102024
1.36,	-0.200124,	-9.81,	0.7,	9.81,	0.266212,	-0.200124
1.37,	-0.298224,	-9.81,	0.7,	9.81,	0.264211,	-0.298224
1.38,	-0.396324,	-9.81,	0.7,	9.81,	0.261229,	-0.396324
1.39,	-0.494424,	-9.81,	0.7,	9.81,	0.257265,	-0.494424
1.4,	-0.592524,	-9.81,	0.7,	9.81,	0.252321,	-0.592524
1.41,	-0.690624,	-9.81,	0.7,	9.81,	0.246396,	-0.690624
1.42,	-0.788724,	-9.81,	0.7,	9.81,	0.23949,	-0.788724
1.43,	-0.886824,	-9.81,	0.7,	9.81,	0.231602,	-0.886824
1.44,	-0.984924,	-9.81,	0.7,	9.81,	0.222734,	-0.984924
1.45,	-1.083024,	-9.81,	0.7,	9.81,	0.212885,	-1.083024
1.46,	-1.181124,	-9.81,	0.7,	9.81,	0.202055,	-1.181124
1.47,	-1.279224,	-9.81,	0.7,	9.81,	0.190243,	-1.279224
1.48,	-1.377324,	-9.81,	0.7,	9.81,	0.177451,	-1.377324
1.49,	-1.475424,	-9.81,	0.7,	9.81,	0.163678,	-1.475424
1.5,	-1.573524,	-9.81,	0.7,	9.81,	0.148924,	-1.573524
1.51,	-1.671624,	-9.81,	0.7,	9.81,	0.133188,	-1.671624
1.52,	-1.769724,	-9.81,	0.7,	9.81,	0.116472,	-1.769724
1.53,	-1.867824,	-9.81,	0.7,	9.81,	0.098775,	-1.867824
1.54,	-1.965924,	-9.81,	0.7,	9.81,	0.080097,	-1.965924
1.55,	-2.064024,	-9.81,	0.7,	9.81,	0.060437,	-2.064024
1.56,	-2.162124,	-9.81,	0.7,	9.81,	0.039797,	-2.162124
1.57,	-2.260224,	-9.81,	0.7,	9.81,	0.018176,	-2.260224
1.58,	-2.358324,	-9.81,	0.7,	9.81,	-0.004426,	-2.358324
1.59,	1.552727,	-9.81,	0.7,	9.81,	0.012082,	1.552727
1.6,	1.454627,	-9.81,	0.7,	9.81,	0.027609,	1.454627
1.61,	1.356527,	-9.81,	0.7,	9.81,	0.042156,	1.356527
1.62,	1.258427,	-9.81,	0.7,	9.81,	0.055721,	1.258427
1.63,	1.160327,	-9.81,	0.7,	9.81,	0.068305,	1.160327
1.64,	1.062227,	-9.81,	0.7,	9.81,	0.079908,	1.062227
1.65,	0.964127,	-9.81,	0.7,	9.81,	0.090531,	0.964127
1.66,	0.866027,	-9.81,	0.7,	9.81,	0.100172,	0.866027
1.67,	0.767927,	-9.81,	0.7,	9.81,	0.108832,	0.767927
1.68,	0.669827,	-9.81,	0.7,	9.81,	0.116511,	0.669827
1.69,	0.571727,	-9.81,	0.7,	9.81,	0.12321,	0.571727
1.7,	0.473627,	-9.81,	0.7,	9.81,	0.128927,	0.473627
1.71,	0.375527,	-9.81,	0.7,	9.81,	0.133663,	0.375527
1.72,	0.277427,	-9.81,	0.7,	9.81,	0.137418,	0.277427
1.73,	0.179327,	-9.81,	0.7,	9.81,	0.140193,	0.179327
1.74,	0.081227,	-9.81,	0.7,	9.81,	0.141986,	0.081227
1.75,	-0.016873,	-9.81,	0.7,	9.81,	0.142798,	-0.016873
1.76,	-0.114973,	-9.81,	0.7,	9.81,	0.14263,	-0.114973
1.77,	-0.213073,	-9.81,	0.7,	9.81,	0.14148,	-0.213073
1.78,	-0.311173,	-9.81,	0.7,	9.81,	0.139349,	-0.311173
1.79,	-0.409273,	-9.81,	0.7,	9.81,	0.136237,	-0.409273
1.8,	-0.507373,	-9.81,	0.7,	9.81,	0.132145,	-0.507373
1.81,	-0.605473,	-9.81,	0.7,	9.81,	0.127071,	-0.605473
1.82,	-0.703573,	-9.81,	0.7,	9.81,	0.121016,	-0.703573
1.83,	-0.801673,	-9.81,	0.7,	9.81,	0.11398,	-0.801673
1.84,	-0.899773,	-9.81,	0.7,	9.81,	0.105964,	-0.899773
1.85,	-0.997873,	-9.81,	0.7,	9.81,	0.096966,	-0.997873
1.86,	-1.095973,	-9.81,	0.7,	9.81,	0.086987,	-1.095973
1.87,	-1.194073,	-9.81,	0.7,	9.81,	0.076027,	-1.194073
1.88,	-1.292173,	-9.81,	0.7,	9.81,	0.064087,	-1.292173
1.89,	-1.390273,	-9.81,	0.7,	9.81,	0.051165,	-1.390273
1.9,	-1.488373,	-9.81,	0.7,	9.81,	0.037262,	-1.488373
1.91,	-1.586473,	-9.81,	0.7,	9.81,	0.022379,	-1.586473
1.92,	-1.684573,	-9.81,	0.7,	9.81,	0.006514,	-1.684573
1.93,	-1.782673,	-9.81,	0.7,	9.81,	-0.010332,	-1.782673
1.94,	1.149771,	-9.81,	0.7,	9.81,	0.002147,	1.149771
1.95,	1.051671,	-9.81,	0.7,	9.81,	0.013645,	1.051671
1.96,	0.953571,	-9.81,	0.7,	9.81,	0.024161,	0.953571
1.97,	0.855471,	-9.81,	0.7,	9.81,	0.033697,	0.855471
1.98,	0.757371,	-9.81,	0.7,	9.81,	0.042252,	0.757371
1.99,	0.659271,	-9.81,	0.7,	9.81,	0.049825,	0.659271
2,	0.561171,	-9.81,	0.7,	9.81,	0.056418,	0.561171
2.01,	0.463071,	-9.81,	0.7,	9.81,	0.06203,	0.463071
2.02,	0.364971,	-9.81,	0.7,	9.81,	0.066661,	0.364971
2.03,	0.266871,	-9.81,	0.7,	9.81,	0.07031,	0.266871
2.04,	0.168771,	-9.81,	0.7,	9.81,	0.072979,	0.168771
2.05,	0.070671,	-9.81,	0.7,	9.81,	0.074667,	0.070671
2.06,	-0.027429,	-9.81,	0.7,	9.81,	0.075373,	-0.027429
2.07,	-0.125529,	-9.81,	0.7,	9.81,	0.075099,	-0.125529
