"time","accelPedal","k15","prnd","nAtIn","nAtOut"
0,0,1,0,0,0
0.01,0,1,0,-9.3051269e-062,4.7832501e-064
0.02,0,1,0,-9.978955e-062,8.5781988e-064
0.03,0,1,0,-1.2148035e-061,5.0722952e-064
0.04,0,1,0,-1.2715386e-061,8.3143539e-064
0.05,0,1,0,-1.2596581e-061,5.253801e-064
0.06,0,1,0,-1.2326313e-061,-1.4402082e-064
0.07,0,1,0,-1.2311671e-061,-1.8196543e-064
0.08,0,1,0,-1.3145963e-061,-2.879109e-063
0.09,0,1,0,-1.056274e-061,-4.6937083e-065
0.1,0,1,0,-9.6449672e-062,-1.1132322e-064
0.11,0,1,0,-1.5372242e-061,-4.6309458e-063
0.12,0,1,0,-2.6755279e-061,2.6153229e-063
0.13,0,1,0,-3.0329694e-061,1.8604544e-063
0.14,0,1,0,-2.9522997e-061,1.7899616e-063
0.15,0,1,0,-2.9811918e-061,-1.6486662e-063
0.16,0,0,0,-3.3983738e-061,-9.2970872e-065
0.17,0,1,0,0.51638569,5.618143e-011
0.18,0,1,0,4.3312791,-5.5118587e-012
0.19,0,1,0,15.8137,-4.5354761e-012
0.2,0,1,0,37.551216,-4.149371e-013
0.21,0,1,0,68.960004,3.0326829e-013
0.22,0,1,0,105.8394,-6.8887414e-013
0.23,0,1,0,142.77275,-2.0276061e-013
0.24,0,1,0,177.01058,7.8210137e-014
0.25,0,1,0,208.97837,-2.1079924e-013
0.26,0,1,0,238.73201,-2.4463183e-014
0.27,0,1,0,266.81558,2.1737022e-014
0.28,0,1,0,293.49651,1.9210871e-014
0.29,0,1,0,318.78878,2.4330154e-014
0.3,0,1,0,342.72994,2.9067765e-014
0.31,0,1,3,365.43555,2.5334049e-014
0.32,0,1,3,124.96871,17.961608
0.33,0,1,3,-26.57826,-17.472745
0.34,0,1,3,-13.0474,-8.5774573
0.35,0,1,3,0.40373701,0.2654197
0.36,0,1,3,3.8409677,2.5250806
0.37,0,1,3,4.4898388,2.9516533
0.38,0,1,3,4.7333794,3.1117586
0.39,0,1,3,4.9678838,3.2659236
0.4,0,1,3,5.2151044,3.4284482
0.41,0,1,3,5.4663384,3.5936114
0.42,0,1,3,5.7181503,3.7591543
0.43,0,1,3,5.9699726,3.9247042
0.44,7,1,3,6.2216604,4.0901656
0.45,7,1,3,6.4732142,4.255539
0.46,17,1,3,6.7246489,4.420834
0.47,33,1,3,7.2087065,4.7390571
0.48,51,1,3,8.3279526,5.4748577
0.49,69,1,3,10.317414,6.7802754
0.5,85,1,3,38.006599,5.706696
0.51,99,1,3,118.07686,4.9068528
0.52,100,1,3,291.1653,3.2365899
0.53,100,1,3,542.14967,4.584397
0.54,100,1,3,849.19683,5.0584707
0.55,100,1,3,1182.827,5.2217492
0.56,100,1,3,1519.2847,5.2755008
0.57,100,1,3,1846.6739,5.2904608
0.58,100,1,3,2151.751,5.2915302
0.59,100,1,3,2407.2217,5.2877153
0.6,100,1,3,2645.2365,5.282151
0.61,100,1,3,2876.5563,5.2759657
0.62,100,1,3,3100.3731,5.2695736
0.63,100,1,3,3314.5467,5.2631051
0.64,100,1,3,3518.7824,5.2566191
0.65,100,1,3,3713.7268,5.2501306
0.66,100,1,3,3899.2057,5.2436459
0.67,100,1,3,4072.6072,5.2371679
0.68,100,1,3,4232.0418,5.2306974
0.69,100,1,3,4378.0947,5.2242347
0.7,100,1,3,4511.9886,5.21778
0.71,100,1,3,4634.7972,5.2113331
0.72,100,1,3,4747.4411,5.2048943
0.73,100,1,3,4850.7694,5.1984633
0.74,100,1,3,4945.5602,5.1920404
0.75,100,1,3,5032.5247,5.1856253
0.76,100,1,3,5112.3122,5.1792182
0.77,100,1,3,5185.5234,5.172819
0.78,100,1,3,5252.6995,5.1664277
0.79,100,1,3,5314.3364,5.1600443
0.8,100,1,3,5370.8892,5.1536688
0.81,100,1,3,5422.7774,5.1473012
0.82,100,1,3,5470.3859,5.1409414
0.83,100,1,3,5514.0683,5.1345895
0.84,100,1,3,5554.1481,5.1282455
0.85,100,1,3,5590.9225,5.1219093
0.86,100,1,3,5624.664,5.1155809
0.87,100,1,3,5655.623,5.1092603
0.88,100,1,3,5684.0288,5.1029476
0.89,100,1,3,5710.092,5.0966426
0.9,100,1,3,5734.0057,5.0903454
0.91,100,1,3,5755.9473,5.0840561
0.92,100,1,3,5776.079,5.0777744
0.93,100,1,3,5794.5505,5.0715006
0.94,100,1,3,5811.4983,5.0652345
0.95,100,1,3,5827.0485,5.0589761
0.96,100,1,3,5841.3158,5.0527255
0.97,100,1,3,5854.4066,5.0464826
0.98,100,1,3,5866.4172,5.0402474
0.99,100,1,3,5877.4375,5.03402
1,100,1,3,5887.5482,5.0278002
1.01,100,1,3,5896.8249,5.0215881
1.02,100,1,3,5905.3364,5.0153837
1.03,100,1,3,5913.1482,5.0091869
1.04,100,1,3,5920.315,5.0029978
1.05,100,1,3,5889.7336,14.701993
1.06,100,1,3,5830.8864,17.772013
1.07,100,1,3,5746.2571,20.29112
1.08,100,1,3,5637.798,23.017109
1.09,100,1,3,5507.2627,26.220055
1.1,100,1,3,5356.2017,29.992252
1.11,100,1,3,5185.9601,34.332834
1.12,100,1,3,4997.8944,39.349249
1.13,100,1,3,4919.2901,18.452699
1.14,100,1,3,4841.4575,37.895529
1.15,100,1,3,4747.8064,47.965551
1.16,100,1,3,4643.8409,55.018012
1.17,100,1,3,4530.7515,61.381839
1.18,100,1,3,4409.215,67.845871
1.19,100,1,3,4279.6301,74.609421
1.2,100,1,3,4142.4708,81.785028
1.21,100,1,3,3998.1045,89.397133
1.22,100,1,3,3846.8172,97.453488
1.23,100,1,3,3689.2971,106.00728
1.24,100,1,3,3526.7705,115.02798
1.25,100,1,3,3356.995,124.30272
1.26,100,1,3,3177.3164,132.6877
1.27,100,1,3,2998.8296,135.12266
1.28,100,1,3,2827.5355,142.1887
