"time","Main.heatCapacitor.T","Main.TAmb","Main.TDif","outputs[1]","outputs[2]","internal time","ControlledTemperature_r(2)","Main.heatingResistor.heatPort.Q_flow","Main.idealSwitch.p.i","Main.idealSwitch.s","Main.idealSwitch.v","Main.onOffController.y","ControlledTemperature_r(10)","ControlledTemperature_r(11)","ControlledTemperature_r(12)","ControlledTemperature_r(13)","ControlledTemperature_r(16)","ControlledTemperature_r(17)","ControlledTemperature_r(18)","ControlledTemperature_r(19)","ControlledTemperature_r(20)","ControlledTemperature_r(21)","ControlledTemperature_r(22)","ControlledTemperature_r(23)","ControlledTemperature_r(24)","ControlledTemperature_r(25)","ControlledTemperature_r(26)","ControlledTemperature_r(27)","ControlledTemperature_r(28)","ControlledTemperature_r(29)","ControlledTemperature_r(30)","ControlledTemperature_r(31)","_HiddenStates.der(x[0])"
0,293.15,293.15,2,25,20,0,9.99998,-9.99998,0.999999,0.999999,9.99999e-006,1,1,1,1,1,9.99998,293.15,25,-9.99998,0.999999,0.999999,9.99999e-006,20,1,1,1,1,1,1,1,0.01464396852,9.99998
0.02004008016,293.3500948,293.15,2,25,20.20009482,0.02004008016,9.972129846,-9.992139328,0.9992149312,0.9992149312,9.992149312e-006,1,1,1,1,1,9.972129846,293.3500948,25,-9.992139328,0.9992149312,0.9992149312,9.992149312e-006,20.20009482,1,1,1,1,1,0.9899799599,0.99749499,0.01391142294,9.972129846
0.04008016032,293.5496565,293.15,2,25,20.39965653,0.04008016032,9.94436613,-9.984331783,0.9984341752,0.9984341752,9.984341752e-006,1,1,1,1,1,9.94436613,293.5496565,25,-9.984331783,0.9984341752,0.9984341752,9.984341752e-006,20.39965653,1,1,1,1,1,0.9799599198,0.99498998,0.01318082912,9.94436613
0.06012024048,293.7486648,293.15,2,25,20.59866482,0.06012024048,9.916691548,-9.97655803,0.9976567983,0.9976567983,9.976567983e-006,1,1,1,1,1,9.916691548,293.7486648,25,-9.97655803,0.9976567983,0.9976567983,9.976567983e-006,20.59866482,1,1,1,1,1,0.9699398798,0.9924849699,0.01245226133,9.916691548
0.08016032064,293.9471203,293.15,2,25,20.79712031,0.08016032064,9.889105886,-9.968817917,0.9968827854,0.9968827854,9.968827854e-006,1,1,1,1,1,9.889105886,293.9471203,25,-9.968817917,0.9968827854,0.9968827854,9.968827854e-006,20.79712031,1,1,1,1,1,0.9599198397,0.9899799599,0.01172571735,9.889105886
0.1002004008,294.1450289,293.15,2,25,20.99502894,0.1002004008,9.861608189,-9.961111083,0.9961121005,0.9961121005,9.961121005e-006,1,1,1,1,1,9.861608189,294.1450289,25,-9.961111083,0.9961121005,0.9961121005,9.961121005e-006,20.99502894,1,1,1,1,1,0.9498997996,0.9874749499,0.01100117541,9.861608189
0.120240481,294.3423918,293.15,2,25,21.19239184,0.120240481,9.834198173,-9.953437358,0.9953447265,0.9953447265,9.953447265e-006,1,1,1,1,1,9.834198173,294.3423918,25,-9.953437358,0.9953447265,0.9953447265,9.953447265e-006,21.19239184,1,1,1,1,1,0.9398797595,0.9849699399,0.01027863136,9.834198173
0.1402805611,294.5392057,293.15,2,25,21.38920569,0.1402805611,9.806876177,-9.945796746,0.9945806638,0.9945806638,9.945806638e-006,1,1,1,1,1,9.806876177,294.5392057,25,-9.945796746,0.9945806638,0.9945806638,9.945806638e-006,21.38920569,1,1,1,1,1,0.9298597194,0.9824649299,0.009558097412,9.806876177
0.1603206413,294.7354705,293.15,2,25,21.58547048,0.1603206413,9.779642073,-9.938189122,0.9938198998,0.9938198998,9.938198998e-006,1,1,1,1,1,9.779642073,294.7354705,25,-9.938189122,0.9938198998,0.9938198998,9.938198998e-006,21.58547048,1,1,1,1,1,0.9198396794,0.9799599198,0.008839573556,9.779642073
0.1803607214,294.9311862,293.15,2,25,21.78118622,0.1803607214,9.752495739,-9.930614361,0.9930624222,0.9930624222,9.930624222e-006,1,1,1,1,1,9.752495739,294.9311862,25,-9.930614361,0.9930624222,0.9930624222,9.930624222e-006,21.78118622,1,1,1,1,1,0.9098196393,0.9774549098,0.008123059794,9.752495739
0.2004008016,295.1263616,293.15,2,25,21.9763616,0.2004008016,9.725435843,-9.923072003,0.992308185,0.992308185,9.92308185e-006,1,1,1,1,1,9.725435843,295.1263616,25,-9.923072003,0.992308185,0.992308185,9.92308185e-006,21.9763616,1,1,1,1,1,0.8997995992,0.9749498998,0.007408524259,9.725435843
0.2204408818,295.3209938,293.15,2,25,22.17099383,0.2204408818,9.698462652,-9.915562035,0.9915571867,0.9915571867,9.915571867e-006,1,1,1,1,1,9.698462652,295.3209938,25,-9.915562035,0.9915571867,0.9915571867,9.915571867e-006,22.17099383,1,1,1,1,1,0.8897795591,0.9724448898,0.006695977177,9.698462652
0.2404809619,295.5150855,293.15,2,25,22.36508549,0.2404809619,9.671575689,-9.908084238,0.9908094055,0.9908094055,9.908094055e-006,1,1,1,1,1,9.671575689,295.5150855,25,-9.908084238,0.9908094055,0.9908094055,9.908094055e-006,22.36508549,1,1,1,1,1,0.879759519,0.9699398798,0.005985409148,9.671575689
0.2605210421,295.7086408,293.15,2,25,22.55864076,0.2605210421,9.644774253,-9.900638329,0.9900648131,0.9900648131,9.900648131e-006,1,1,1,1,1,9.644774253,295.7086408,25,-9.900638329,0.9900648131,0.9900648131,9.900648131e-006,22.55864076,1,1,1,1,1,0.869739479,0.9674348697,0.005276804831,9.644774253
0.2805611222,295.9016571,293.15,2,25,22.75165711,0.2805611222,9.618058577,-9.893224288,0.9893234076,0.9893234076,9.893234076e-006,1,1,1,1,1,9.618058577,295.9016571,25,-9.893224288,0.9893234076,0.9893234076,9.893234076e-006,22.75165711,1,1,1,1,1,0.8597194389,0.9649298597,0.00457017349,9.618058577
0.3006012024,296.0941417,293.15,2,25,22.94414171,0.3006012024,9.591427552,-9.885841723,0.9885851496,0.9885851496,9.885851496e-006,1,1,1,1,1,9.591427552,296.0941417,25,-9.885841723,0.9885851496,0.9885851496,9.885851496e-006,22.94414171,1,1,1,1,1,0.8496993988,0.9624248497,0.003865488894,9.591427552
0.3206412826,296.2860921,293.15,2,25,23.13609205,0.3206412826,9.564881407,-9.878490612,0.9878500371,0.9878500371,9.878500371e-006,1,1,1,1,1,9.564881407,296.2860921,25,-9.878490612,0.9878500371,0.9878500371,9.878500371e-006,23.13609205,1,1,1,1,1,0.8396793587,0.9599198397,0.003162760196,9.564881407
0.3406813627,296.4775111,293.15,2,25,23.32751115,0.3406813627,9.538419611,-9.871170726,0.987118047,0.987118047,9.87118047e-006,1,1,1,1,1,9.538419611,296.4775111,25,-9.871170726,0.987118047,0.987118047,9.87118047e-006,23.32751115,1,1,1,1,1,0.8296593186,0.9574148297,0.002461976395,9.538419611
