    "time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
         0,         0,         1,         0,         0,      0.45,         0,         0,        30,         0,         0,         3,         0,      1000,        40
         1,      0.02,         1,0.90968947, 15.082348,      0.45,0.49538568,         0,        30, 22.368899,         0,         3, 0.9871241,      1000,        40
         2,      0.02,         1, 0.9533495, 26.723307,      0.45,0.52216306,         0,        30, 22.411033,         0,         3,0.97768936,      1000,        40
         3,      0.02,         1,0.99252426, 35.300029,      0.45,0.53485066,         0,        30, 22.447543,         0,         3,0.97087191,      1000,        40
         4,0.33608282,         1, 1.0220087, 41.198472,      0.45,0.53716078, 28.218975,        30, 30.218986,         0,         3, 1.2053757,      1000,        40
         5,0.68844364,         1, 1.0297312, 44.781272,      0.45,0.53208317, 44.023655,        30, 30.172276,         0,         3, 2.1018124,      1000,        40
         6,0.88466283,         1, 1.0224364, 46.623147,      0.45,0.52269556, 49.623856,        30, 30.095554, 3.9223822,         3, 3.3497126,      1000,        40
         7, 0.9222522,         1, 1.0099401, 47.265511,      0.45,0.51141051, 50.563041,        30, 30.039383, 19.914945,         3, 4.1260495,      1000,        40
         8,0.86216147,         1,0.99955274,   47.1395,      0.45,0.49986817, 49.087369,        30, 30.004358,  28.06394,         3, 3.8769321,      1000,        40
         9,0.77508805,         1,0.99435011,  46.55203,      0.45,0.48903653, 46.762183,        30, 29.986834, 28.979044,         3, 3.3589798,      1000,        40
        10, 0.7090557,         1,0.99392887, 45.707144,      0.45,0.47939879, 44.826811,        30, 29.983373, 27.463935,         3, 3.0310332,      1000,        40
        11, 0.6806017,         1,0.99615929, 44.738822,      0.45,0.47114071, 43.942507,        30, 29.988877, 25.634668,         3, 2.8973111,      1000,        40
        12,0.68268762,         1,0.99883534,  43.73924,      0.45,0.46428917, 44.016063,        30, 29.996745, 24.404118,         3,  2.888767,      1000,        40
        13,0.69893311,         1, 1.0006282, 42.775611,      0.45,0.45879088, 44.533533,        30,  30.00216, 24.020464,         3, 2.9389291,      1000,        40
        14,0.71523871,         1, 1.0012366, 41.896744,      0.45,0.45454734, 45.039219,        30, 30.003907, 24.254995,         3, 2.9944725,      1000,        40
        15,0.72470909,         1, 1.0010123, 41.134313,      0.45,0.45142598, 45.327363,        30, 30.003131, 24.698739,         3, 3.0260974,      1000,        40
        16,0.72692244,         1,  1.000481, 40.503423,      0.45,0.44926817, 45.394343,        30, 30.001481, 25.046661,         3,  3.030647,      1000,        40
        17,0.72474994,         1, 1.0000261, 40.004788,      0.45,0.44790079,  45.32943,        30, 30.000094, 25.196428,         3, 3.0197377,      1000,        40
        18,0.72140725,         1,0.99979873, 39.628534,      0.45,0.44715017, 45.229198,        30, 29.999402, 25.187861,         3, 3.0061195,      1000,        40
        19,0.71890313,         1,0.99977476, 39.358662,      0.45,0.44685628, 45.154173,        30, 29.999327,  25.10697,         3, 2.9969837,      1000,        40
        20,0.71783903,         1,  0.999857, 39.176643,      0.45,0.44688013,  45.12275,        30, 29.999575, 25.025087,         3, 2.9938335,      1000,        40
        21,0.71789252,         1,0.99995496,  39.06421,      0.45,0.44710902, 45.125195,        30, 29.999872, 24.976658,         3, 2.9948722,      1000,        40
        22,0.71844363,         1, 1.0000193, 39.004789,      0.45, 0.4474558, 45.142621,        30, 30.000066, 24.964312,         3,  2.997491,      1000,        40
        23,0.71899284,         1,  1.000041, 38.984127,      0.45,0.44785618, 45.159839,        30, 30.000131, 24.974237,         3, 2.9997763,      1000,        40
        24,0.71930674,         1, 1.0000336, 38.990405,      0.45,0.44826486, 45.169802,        30, 30.000107, 24.990551,         3,  3.000952,      1000,        40
        25,0.71937422,         1, 1.0000156, 39.014091,      0.45,0.44865166,  45.17222,        30, 30.000051, 25.003069,         3, 3.0011118,      1000,        40
        26,0.71929284,         1, 1.0000001, 39.047731,      0.45,0.44899815,  45.17008,        30, 30.000004, 25.008561,         3,  3.000723,      1000,        40
        27,0.71917069,         1,0.99999226, 39.085708,      0.45,0.44929472, 45.166674,        30,  29.99998, 25.008401,         3, 3.0002338,      1000,        40
        28,0.71907669,         1,0.99999141, 39.123978,      0.45,0.44953825, 45.164095,        30, 29.999977, 25.005581,         3,    2.9999,      1000,        40
        29,0.71903258,         1,0.99999428, 39.159831,      0.45,0.44973022, 45.163003,        30, 29.999985, 25.002641,         3, 2.9997797,      1000,        40
        30,0.71902836,         1,0.99999779,  39.19164,      0.45, 0.4498751, 45.163094,        30, 29.999996,  25.00085,         3,  2.999812,      1000,        40
        31,0.71904292,         1, 1.0000002, 39.218614,      0.45,0.44997907, 45.163727,        30, 30.000003, 25.000341,         3, 2.9999042,      1000,        40
        32,0.71905859,         1,  1.000001,  39.24057,      0.45,0.45004903, 45.164369,        30, 30.000005, 25.000647,         3, 2.9999869,      1000,        40
        33,0.71906664,         1, 1.0000008, 39.257735,      0.45,0.45009183, 45.164759,        30, 30.000004, 25.001205,         3, 3.0000309,      1000,        40
        34,0.71906631,         1, 1.0000003, 39.270598,      0.45,0.45011394, 45.164877,        30, 30.000002, 25.001642,         3, 3.0000384,      1000,        40
        35, 0.7190608,         1,0.99999973, 39.279755,      0.45,0.45012085, 45.164822,        30,        30, 25.001835,         3, 3.0000253,      1000,        40
        36,0.71905392,         1,0.99999946, 39.285853,      0.45,0.45011728, 45.164713,        30, 29.999999, 25.001822,         3, 3.0000076,      1000,        40
        37,0.71904823,         1,0.99999945, 39.289524,      0.45,0.45010703, 45.164629,        30, 29.999999, 25.001707,         3, 2.9999952,      1000,        40
        38, 0.7190446,         1,0.99999958, 39.291349,      0.45,0.45009308, 45.164597,        30,        30, 25.001585,         3, 2.9999905,      1000,        40
        39,0.71904272,         1,0.99999973, 39.291834,      0.45,0.45007762, 45.164609,        30,        30, 25.001505,         3, 2.9999916,      1000,        40
        40,0.71904178,         1,0.99999985, 39.291406,      0.45,0.45006222, 45.164642,        30,        30, 25.001474,         3, 2.9999952,      1000,        40
        41, 0.7190411,         1, 0.9999999, 39.290405,      0.45,0.45004789, 45.164674,        30,        30, 25.001476,         3, 2.9999985,      1000,        40
