"time","x","der(x)"
0,1,-1
0.001,0.999,-0.999
0.002,0.9980009,-0.9980009
0.003,0.9970028,-0.9970028
0.004,0.9960057,-0.9960057
0.005,0.9950096,-0.9950096
0.006,0.9940145,-0.9940145
0.007,0.99302036,-0.99302036
0.008,0.9920273,-0.9920273
0.009,0.99103516,-0.99103516
0.01,0.990044,-0.990044
0.011,0.98905385,-0.98905385
0.012,0.9880647,-0.9880647
0.013,0.9870766,-0.9870766
0.014,0.9860894,-0.9860894
0.015,0.9851032,-0.9851032
0.016,0.984118,-0.984118
0.017,0.9831338,-0.9831338
0.018,0.98215055,-0.98215055
0.019,0.9811683,-0.9811683
0.02,0.98018706,-0.98018706
0.021,0.97920674,-0.97920674
0.022,0.97822744,-0.97822744
0.023,0.97724915,-0.97724915
0.024,0.9762718,-0.9762718
0.025,0.9752954,-0.9752954
0.026,0.97432005,-0.97432005
0.027,0.97334564,-0.97334564
0.028,0.9723722,-0.9723722
0.029,0.9713997,-0.9713997
0.03,0.9704282,-0.9704282
0.031,0.9694577,-0.9694577
0.032,0.96848816,-0.96848816
0.033,0.9675195,-0.9675195
0.034,0.96655196,-0.96655196
0.035,0.9655853,-0.9655853
0.036,0.96461964,-0.96461964
0.037,0.9636549,-0.9636549
0.038,0.9626911,-0.9626911
0.039,0.96172833,-0.96172833
0.04,0.96076655,-0.96076655
0.041,0.95980567,-0.95980567
0.042,0.9588458,-0.9588458
0.043,0.9578868,-0.9578868
0.044,0.95692885,-0.95692885
0.045,0.95597184,-0.95597184
0.046,0.9550158,-0.9550158
0.047,0.9540607,-0.9540607
0.048,0.9531065,-0.9531065
0.049,0.9521533,-0.9521533
0.05,0.9512011,-0.9512011
0.051,0.9502498,-0.9502498
0.052,0.9492994,-0.9492994
0.053,0.94835,-0.94835
0.054,0.9474016,-0.9474016
0.055,0.9464541,-0.9464541
0.056,0.9455075,-0.9455075
0.057,0.94456196,-0.94456196
0.058,0.9436173,-0.9436173
0.059,0.94267356,-0.94267356
0.06,0.9417308,-0.9417308
0.061,0.940789,-0.940789
0.062,0.9398481,-0.9398481
0.063,0.93890816,-0.93890816
0.064,0.93796915,-0.93796915
0.065,0.9370311,-0.9370311
0.066,0.936094,-0.936094
0.067,0.9351578,-0.9351578
0.068,0.9342225,-0.9342225
0.069,0.9332882,-0.9332882
0.07,0.93235487,-0.93235487
0.071,0.9314224,-0.9314224
0.072,0.9304909,-0.9304909
0.073,0.9295603,-0.9295603
0.074,0.92863065,-0.92863065
0.075,0.92770195,-0.92770195
0.076,0.92677414,-0.92677414
0.077,0.9258473,-0.9258473
0.078,0.92492133,-0.92492133
0.079,0.9239963,-0.9239963
0.08,0.9230722,-0.9230722
0.081,0.92214906,-0.92214906
0.082,0.92122686,-0.92122686
0.083,0.92030555,-0.92030555
0.084,0.91938514,-0.91938514
0.085,0.9184657,-0.9184657
0.086,0.9175471,-0.9175471
0.087,0.91662943,-0.91662943
0.088,0.9157127,-0.9157127
0.089,0.91479695,-0.91479695
0.09,0.9138821,-0.9138821
0.091,0.9129681,-0.9129681
0.092,0.912055,-0.912055
0.093,0.9111429,-0.9111429
0.094,0.91023165,-0.91023165
0.095,0.9093213,-0.9093213
0.096,0.9084119,-0.9084119
0.097,0.9075034,-0.9075034
0.098,0.9065958,-0.9065958
0.099,0.9056891,-0.9056891
0.1,0.90478337,-0.90478337
0.101,0.9038785,-0.9038785
0.102,0.90297455,-0.90297455
0.103,0.9020715,-0.9020715
0.104,0.9011693,-0.9011693
0.105,0.900268,-0.900268
0.106,0.8993677,-0.8993677
0.107,0.89846826,-0.89846826
0.108,0.89756966,-0.89756966
0.109,0.896672,-0.896672
0.11,0.89577526,-0.89577526
0.111,0.8948794,-0.8948794
0.112,0.89398444,-0.89398444
0.113,0.89309037,-0.89309037
0.114,0.8921972,-0.8921972
0.115,0.8913049,-0.8913049
0.116,0.8904135,-0.8904135
0.117,0.88952297,-0.88952297
0.118,0.8886334,-0.8886334
0.119,0.88774467,-0.88774467
0.12,0.88685685,-0.88685685
0.121,0.8859699,-0.8859699
0.122,0.88508385,-0.88508385
0.123,0.88419867,-0.88419867
0.124,0.8833144,-0.8833144
0.125,0.882431,-0.882431
0.126,0.88154846,-0.88154846
0.127,0.88066685,-0.88066685
0.128,0.8797861,-0.8797861
0.129,0.8789062,-0.8789062
0.13,0.8780272,-0.8780272
0.131,0.8771491,-0.8771491
0.132,0.87627184,-0.87627184
0.133,0.8753955,-0.8753955
0.134,0.87452,-0.87452
0.135,0.8736454,-0.8736454
0.136,0.8727717,-0.8727717
0.137,0.87189883,-0.87189883
0.138,0.8710268,-0.8710268
0.139,0.87015575,-0.87015575
0.14,0.86928546,-0.86928546
0.141,0.86841613,-0.86841613
0.142,0.86754763,-0.86754763
0.143,0.86667997,-0.86667997
0.144,0.8658132,-0.8658132
0.145,0.8649473,-0.8649473
0.146,0.8640823,-0.8640823
0.147,0.8632181,-0.8632181
0.148,0.8623548,-0.8623548
0.149,0.8614924,-0.8614924
0.15,0.8606308,-0.8606308
0.151,0.85977006,-0.85977006
0.152,0.85891026,-0.85891026
0.153,0.85805124,-0.85805124
0.154,0.8571931,-0.8571931
0.155,0.8563358,-0.8563358
0.156,0.8554794,-0.8554794
0.157,0.85462385,-0.85462385
0.158,0.8537691,-0.8537691
0.159,0.8529153,-0.8529153
0.16,0.8520623,-0.8520623
0.161,0.8512101,-0.8512101
0.162,0.85035884,-0.85035884
0.163,0.8495084,-0.8495084
0.164,0.8486588,-0.8486588
0.165,0.8478101,-0.8478101
0.166,0.84696215,-0.84696215
0.167,0.8461151,-0.8461151
0.168,0.8452689,-0.8452689
0.169,0.8444236,-0.8444236
0.17,0.84357905,-0.84357905
0.171,0.8427354,-0.8427354
0.172,0.8418926,-0.8418926
0.173,0.8410506,-0.8410506
0.174,0.8402095,-0.8402095
0.175,0.8393692,-0.8393692
0.176,0.83852977,-0.83852977
0.177,0.8376911,-0.8376911
0.178,0.8368534,-0.8368534
0.179,0.8360164,-0.8360164
0.18,0.83518034,-0.83518034
0.181,0.83434504,-0.83434504
0.182,0.83351064,-0.83351064
0.183,0.83267707,-0.83267707
0.184,0.8318443,-0.8318443
0.185,0.83101237,-0.83101237
0.186,0.83018124,-0.83018124
0.187,0.829351,-0.829351
0.188,0.82852155,-0.82852155
0.189,0.827693,-0.827693
0.19,0.8268652,-0.8268652
0.191,0.82603824,-0.82603824
0.192,0.8252121,-0.8252121
0.193,0.82438684,-0.82438684
0.194,0.8235624,-0.8235624
0.195,0.8227387,-0.8227387
0.196,0.8219159,-0.8219159
0.197,0.8210939,-0.8210939
0.198,0.82027274,-0.82027274
0.199,0.8194524,-0.8194524
0.2,0.81863284,-0.81863284
0.201,0.8178141,-0.8178141
0.202,0.8169962,-0.8169962
0.203,0.81617916,-0.81617916
0.204,0.81536293,-0.81536293
0.205,0.8145475,-0.8145475
0.206,0.81373286,-0.81373286
0.207,0.812919,-0.812919
0.208,0.812106,-0.812106
0.209,0.81129384,-0.81129384
0.21,0.81048244,-0.81048244
0.211,0.8096719,-0.8096719
0.212,0.80886215,-0.80886215
0.213,0.8080532,-0.8080532
0.214,0.8072451,-0.8072451
0.215,0.80643773,-0.80643773
0.216,0.8056312,-0.8056312
0.217,0.80482554,-0.80482554
0.218,0.80402064,-0.80402064
0.219,0.8032165,-0.8032165
0.22,0.8024132,-0.8024132
0.221,0.8016107,-0.8016107
0.222,0.800809,-0.800809
0.223,0.8000082,-0.8000082
0.224,0.79920805,-0.79920805
0.225,0.7984088,-0.7984088
0.226,0.7976103,-0.7976103
0.227,0.7968126,-0.7968126
0.228,0.79601574,-0.79601574
0.229,0.7952196,-0.7952196
0.23,0.79442436,-0.79442436
0.231,0.7936298,-0.7936298
0.232,0.7928361,-0.7928361
0.233,0.7920432,-0.7920432
0.234,0.79125106,-0.79125106
0.235,0.79045975,-0.79045975
0.236,0.7896692,-0.7896692
0.237,0.78887945,-0.78887945
0.238,0.7880905,-0.7880905
0.239,0.7873024,-0.7873024
0.24,0.786515,-0.786515
0.241,0.7857284,-0.7857284
0.242,0.78494257,-0.78494257
0.243,0.7841576,-0.7841576
0.244,0.7833733,-0.7833733
0.245,0.78258985,-0.78258985
0.246,0.7818072,-0.7818072
0.247,0.7810253,-0.7810253
0.248,0.78024423,-0.78024423
0.249,0.7794639,-0.7794639
0.25,0.7786844,-0.7786844
0.251,0.7779056,-0.7779056
0.252,0.7771276,-0.7771276
0.253,0.77635044,-0.77635044
0.254,0.77557397,-0.77557397
0.255,0.77479833,-0.77479833
0.256,0.7740235,-0.7740235
0.257,0.7732494,-0.7732494
0.258,0.772476,-0.772476
0.259,0.7717035,-0.7717035
0.26,0.7709317,-0.7709317
0.261,0.7701607,-0.7701607
0.262,0.76939046,-0.76939046
0.263,0.76862097,-0.76862097
0.264,0.7678523,-0.7678523
0.265,0.76708436,-0.76708436
0.266,0.7663172,-0.7663172
0.267,0.7655508,-0.7655508
0.268,0.7647852,-0.7647852
0.269,0.7640203,-0.7640203
0.27,0.76325625,-0.76325625
0.271,0.7624929,-0.7624929
0.272,0.7617303,-0.7617303
0.273,0.7609685,-0.7609685
0.274,0.7602075,-0.7602075
0.275,0.7594472,-0.7594472
0.276,0.7586877,-0.7586877
0.277,0.7579289,-0.7579289
0.278,0.7571709,-0.7571709
0.279,0.7564137,-0.7564137
0.28,0.7556572,-0.7556572
0.281,0.75490147,-0.75490147
0.282,0.75414646,-0.75414646
0.283,0.7533923,-0.7533923
0.284,0.7526388,-0.7526388
0.285,0.75188607,-0.75188607
0.286,0.7511341,-0.7511341
0.287,0.7503829,-0.7503829
0.288,0.7496325,-0.7496325
0.289,0.7488828,-0.7488828
0.29,0.7481338,-0.7481338
0.291,0.74738556,-0.74738556
0.292,0.7466381,-0.7466381
0.293,0.7458914,-0.7458914
0.294,0.74514544,-0.74514544
0.295,0.74440026,-0.74440026
0.296,0.74365574,-0.74365574
0.297,0.74291205,-0.74291205
0.298,0.742169,-0.742169
0.299,0.7414268,-0.7414268
0.3,0.7406853,-0.7406853
0.301,0.7399446,-0.7399446
0.302,0.7392045,-0.7392045
0.303,0.73846525,-0.73846525
0.304,0.73772675,-0.73772675
0.305,0.7369889,-0.7369889
0.306,0.73625183,-0.73625183
0.307,0.73551553,-0.73551553
0.308,0.73477995,-0.73477995
0.309,0.7340451,-0.7340451
0.31,0.733311,-0.733311
0.311,0.7325776,-0.7325776
0.312,0.73184496,-0.73184496
0.313,0.731113,-0.731113
0.314,0.73038185,-0.73038185
0.315,0.7296514,-0.7296514
0.316,0.72892165,-0.72892165
0.317,0.7281927,-0.7281927
0.318,0.72746444,-0.72746444
0.319,0.7267369,-0.7267369
0.32,0.7260101,-0.7260101
0.321,0.725284,-0.725284
0.322,0.72455865,-0.72455865
0.323,0.723834,-0.723834
0.324,0.7231101,-0.7231101
0.325,0.7223869,-0.7223869
0.326,0.7216644,-0.7216644
0.327,0.72094274,-0.72094274
0.328,0.7202217,-0.7202217
0.329,0.71950144,-0.71950144
0.33,0.7187818,-0.7187818
0.331,0.718063,-0.718063
0.332,0.7173449,-0.7173449
0.333,0.7166274,-0.7166274
0.334,0.71591073,-0.71591073
0.335,0.71519476,-0.71519476
0.336,0.7144795,-0.7144795
0.337,0.71376497,-0.71376497
0.338,0.71305114,-0.71305114
0.339,0.712338,-0.712338
0.34,0.7116256,-0.7116256
0.341,0.7109139,-0.7109139
0.342,0.71020293,-0.71020293
0.343,0.7094926,-0.7094926
0.344,0.7087831,-0.7087831
0.345,0.7080742,-0.7080742
0.346,0.70736605,-0.70736605
0.347,0.70665866,-0.70665866
0.348,0.7059519,-0.7059519
0.349,0.7052459,-0.7052459
0.35,0.70454055,-0.70454055
0.351,0.70383596,-0.70383596
0.352,0.7031321,-0.7031321
0.353,0.7024289,-0.7024289
0.354,0.7017264,-0.7017264
0.355,0.7010246,-0.7010246
0.356,0.70032346,-0.70032346
0.357,0.6996231,-0.6996231
0.358,0.6989234,-0.6989234
0.359,0.6982244,-0.6982244
0.36,0.6975261,-0.6975261
0.361,0.6968285,-0.6968285
0.362,0.69613165,-0.69613165
0.363,0.6954354,-0.6954354
