"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6","ContinuousState[0]","ContinuousState[1]","ContinuousState[2]","ContinuousState[3]","ContinuousState[4]","ContinuousState[5]","ContinuousState[6]","ContinuousState[7]","EventIndicator[0]","EventIndicator[1]","EventIndicator[2]","Integrator_IC","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","IntegratorLimited_IC","IntegratorLimited_UpperSat","IntegratorLimited_LowerSat","SineWave2_Amp","SineWave2_Bias","SineWave2_Freq","SineWave2_Phase","IntegratorSecondOrder_ICX","IntegratorSecondOrder_ICDXDT","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Phase","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","StateSpace_A","StateSpace_C","StateSpace_D","StateSpace_X0","TransferFcn_A","TransferFcn_C","SineWave8_Amp","SineWave8_Bias","SineWave8_Freq","SineWave8_Phase","ZeroPole_A[0]","ZeroPole_A[1]","ZeroPole_C[0]","ZeroPole_C[1]","SineWave12_Amp","SineWave12_Bias","SineWave12_Freq","SineWave12_Phase"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.1,0,0,0,0,0.09983341665,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.2,0.009983341665,0.01996668333,0,0.009983341665,0.2086526725,0.009983341665,0.009983341665,0.009983341665,0.01996668333,0,0.009983341665,0.009983341665,0.009983341665,0.009983341665,0,-0.9800333167,0.01996668333,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.3,0.02985027474,0.05970054949,0.0009983341665,0.02985027474,0.3263688156,0.02885194058,0.02785360641,0.02985027474,0.05970054949,0.0009983341665,0.02985027474,0.03084860891,0.02885194058,0.02885194058,0.0009983341665,-0.9402994505,0.05970054949,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.4,0.05940229541,0.1188045908,0.003983361641,0.05940229541,0.4529038328,0.05551876719,0.05163523896,0.05940229541,0.1188045908,0.003983361641,0.05940229541,0.06348549047,0.05551876719,0.05551876719,0.003883528224,-0.8811954092,0.1188045908,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.5,0.09834412964,0.1966882593,0.009923591182,0.09834412964,0.5882014123,0.0889087247,0.07947331976,0.09834412964,0.1966882593,0.009923591182,0.09834412964,0.1087758737,0.0889087247,0.0889087247,0.009435404943,-0.8033117407,0.1966882593,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.6,0.1462866835,0.292573367,0.01975800415,0.1462866835,0.7322384884,0.1279604061,0.1096341287,0.1462866835,0.292573367,0.01975800415,0.1462866835,0.167596015,0.1279604061,0.1279604061,0.01832627741,-0.707426633,0.292573367,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.7,0.2027509308,0.4055018617,0.0343866725,0.2027509308,0.8850375511,0.1716286128,0.1405062948,0.2027509308,0.4055018617,0.0343866725,0.2027509308,0.2408198638,0.1716286128,0.1716286128,0.03112231802,-0.5944981383,0.4055018617,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.8,0.2671726996,0.5343453991,0.05466176558,0.2671726996,1.04667971,0.2188875203,0.170602341,0.2671726996,0.5343453991,0.05466176558,0.2671726996,0.3293236189,0.2188875203,0.2188875203,0.0482851793,-0.4656546009,0.5343453991,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
0.9,0.3389083087,0.6778166173,0.08137903554,0.3389083087,1.2173185,0.2687343773,0.198560446,0.3389083087,0.6778166173,0.08137903554,0.3389083087,0.4339915899,0.2687343773,0.2687343773,0.07017393133,-0.3221833827,0.6778166173,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
