    "time",   "level",  "level2",  "level3"
         0,         0,         0,         0
       0.1,         0,         0,         0
      0.15,0.0041666669,0.0041666669,         0
       0.2,    0.0125,    0.0125,         0
      0.25,     0.025,     0.025,         0
       0.3,0.041666668,0.041666668,         0
      0.35,    0.0625,    0.0625,         0
       0.4,0.087499999,0.087499999,         0
      0.45,0.11666667,0.11666667,         0
       0.5,0.15000001,0.15000001,         0
      0.55,0.18750001,0.18750001,         0
       0.6,0.22916667,0.22916667,         0
      0.65,0.27500004,0.27500004,         0
       0.7,0.32500002,0.32500002,         0
      0.75,0.37916669,0.37916669,         0
       0.8,0.43750006,0.43750006,         0
      0.85,0.50000006,0.50000006,         0
       0.9,0.56666672,0.56666672,         0
      0.95,0.63750011,0.63750011,         0
         1, 0.7125001, 0.7125001,         0
      1.05,0.79166681,0.79166681,         0
       1.1,0.87500012,0.87500012,         0
      1.15, 0.9625001, 0.9625001,         0
       1.2, 1.0541668, 1.0541668,         0
      1.25, 1.1500001, 1.1500001,         0
       1.3, 1.2500001, 1.2500001,         0
      1.35, 1.3541667, 1.3541667,         0
       1.4, 1.4625001, 1.4625001,         0
      1.45,     1.575,     1.575,         0
       1.5, 1.6916668, 1.6916668,         0
      1.55, 1.8125002, 1.8125002,         0
       1.6, 1.9375002, 1.9375002,         0
      1.65, 2.0666668, 2.0666668,         0
       1.7,       2.2,       2.2,         0
      1.75, 2.3375001, 2.3375001,         0
       1.8, 2.4791665, 2.4791665,         0
      1.85, 2.6249998, 2.6249998,         0
       1.9, 2.7749999, 2.7749999,         0
      1.95, 2.9291663, 2.9291663,         0
         2, 3.0874996, 3.0874996,         0
      2.05, 3.2499995, 3.2499995,         0
       2.1, 3.4166665, 3.4166665,         0
      2.15, 3.5833333, 3.5833333,         0
       2.2,      3.75,      3.75,         0
      2.25, 3.9166667, 3.9166667,         0
       2.3, 4.0833335, 4.0833335,         0
      2.35, 4.2500005, 4.2500005,         0
       2.4,  4.416667,  4.416667,         0
      2.45,  4.583334,  4.583334,         0
       2.5,  4.750001,  4.750001,         0
      2.55, 4.9166675, 4.9166675,         0
       2.6, 5.0833344, 5.0833344,         0
      2.65,  5.250001,  5.250001,         0
       2.7, 5.4166679, 5.4166679,         0
      2.75, 5.5833349, 5.5833349,         0
       2.8, 5.7500014, 5.7500014,         0
      2.85, 5.9166684, 5.9166684,         0
       2.9, 6.0833349, 6.0833349,         0
      2.95, 6.2500019, 6.2500019,         0
         3, 6.4166689, 6.4166689,         0
      3.05, 6.5833349, 6.5833349,         0
       3.1, 6.7500014, 6.7500014,         0
