"time","temperatureSensor_T"
0,20
0.02,20.1997
0.04,20.3989
0.06,20.5975
0.08,20.7956
0.1,20.9931
0.12,21.1901
0.14,21.3865
0.16,21.5824
0.18,21.7777
0.2,21.9725
0.22,22.1668
0.24,22.3606
0.26,22.5538
0.28,22.7464
0.3,22.9386
0.32,23.1302
0.34,23.3212
0.36,23.5118
0.38,23.7019
0.4,23.8914
0.42,24.0804
0.44,24.2688
0.46,24.4568
0.48,24.6442
0.5,24.8311
0.52,25.0175
0.54,25.2034
0.56,25.3888
0.58,25.5736
0.6,25.758
0.62,25.9418
0.626342,26
0.626342,26
0.64,25.9918
0.66,25.9798
0.68,25.9679
0.7,25.956
0.72,25.9441
0.74,25.9322
0.76,25.9203
0.78,25.9085
0.8,25.8967
0.82,25.8849
0.84,25.8732
0.86,25.8614
0.88,25.8497
0.9,25.838
0.92,25.8264
0.94,25.8147
0.96,25.8031
0.98,25.7915
1,25.7799
1.02,25.7684
1.04,25.7569
1.06,25.7453
1.08,25.7339
1.1,25.7224
1.12,25.711
1.14,25.6996
1.16,25.6882
1.18,25.6768
1.2,25.6654
1.22,25.6541
1.24,25.6428
1.26,25.6315
1.28,25.6203
1.3,25.609
1.32,25.5978
1.34,25.5866
1.36,25.5755
1.38,25.5643
1.4,25.5532
1.42,25.5421
1.44,25.531
1.46,25.52
1.48,25.5089
1.5,25.4979
1.52,25.4869
1.54,25.476
1.56,25.465
1.58,25.4541
1.6,25.4432
1.62,25.4323
1.64,25.4214
1.66,25.4106
1.68,25.3998
1.7,25.389
1.72,25.3782
1.74,25.3674
1.76,25.3567
1.78,25.346
1.8,25.3353
1.82,25.3247
1.84,25.314
1.86,25.3034
1.88,25.2928
1.9,25.2822
1.92,25.2717
1.94,25.2611
1.96,25.2506
1.98,25.2401
2,25.2296
2.02,25.2191
2.04,25.2087
2.06,25.1983
2.08,25.1879
2.1,25.1775
2.12,25.1671
2.14,25.1568
2.16,25.1464
2.18,25.1361
2.2,25.1259
2.22,25.1156
2.24,25.1053
2.26,25.0951
2.26252,25.0938
2.26252,25.0938
2.28,25.2561
2.3,25.4413
2.32,25.626
2.34,25.8102
2.36,25.9938
2.38,26.177
2.4,26.3597
2.42,26.5419
2.44,26.7235
2.46,26.9047
2.48,27.0854
2.5,27.2656
2.52,27.4453
2.54,27.6245
2.56,27.8032
2.58,27.9815
2.6,28.1592
2.62,28.3365
2.64,28.5133
2.66,28.6896
2.67306,28.8044
2.67306,28.8044
2.68,28.7983
2.7,28.7807
2.72,28.7632
2.74,28.7457
2.76,28.7282
2.78,28.7108
2.8,28.6933
2.82,28.676
2.84,28.6586
2.86,28.6413
2.88,28.6241
2.9,28.6068
2.92,28.5896
2.94,28.5725
2.96,28.5554
2.98,28.5383
3,28.5212
3.02,28.5042
3.04,28.4872
3.06,28.4702
3.07068,28.4612
3.07068,28.4612
3.08,28.5434
3.1,28.7196
3.12,28.8953
3.14,29.0706
3.16,29.2453
3.18,29.4196
3.2,29.5934
3.22,29.7667
3.24,29.9396
3.26,30.112
3.28,30.2839
3.3,30.4554
3.32,30.6264
3.34,30.7969
3.36,30.967
3.38,31.1366
3.4,31.3058
3.42,31.4745
3.44,31.6427
3.46,31.8105
3.48,31.9778
3.5,32.1447
3.52,32.3111
3.52538,32.3558
3.52538,32.3558
3.54,32.3377
3.56,32.313
3.58,32.2884
3.6,32.2639
3.62,32.2394
3.64,32.2149
3.66,32.1905
3.68,32.1662
3.7,32.1419
3.72,32.1176
3.74,32.0934
3.76,32.0692
3.78,32.0451
3.8,32.021
3.82,31.997
3.84,31.973
3.86,31.9491
3.88,31.9252
3.89715,31.9048
3.89715,31.9048
3.9,31.9286
3.92,32.0956
3.94,32.2621
3.96,32.4282
3.98,32.5938
4,32.759
4.02,32.9237
4.04,33.088
4.06,33.2519
4.08,33.4153
4.1,33.5782
4.12,33.7408
4.14,33.9029
4.16,34.0645
4.18,34.2258
4.2,34.3866
4.22,34.5469
4.24,34.7068
4.26,34.8663
4.28,35.0254
4.3,35.184
4.32,35.3423
4.34,35.5001
4.36,35.6574
4.38,35.8144
4.4,35.9709
4.40799,36.0333
4.40799,36.0333
4.42,36.0141
4.44,35.9821
4.46,35.9501
4.48,35.9183
4.5,35.8865
4.52,35.8547
4.54,35.823
4.56,35.7914
4.58,35.7599
4.6,35.7284
4.62,35.6969
4.64,35.6656
4.66,35.6343
4.68,35.603
4.7,35.5719
4.72,35.5407
4.74,35.5097
4.75627,35.4845
4.75627,35.4845
4.76,35.5138
4.78,35.6711
4.8,35.828
4.82,35.9844
4.84,36.1405
4.86,36.2961
4.88,36.4512
4.9,36.606
4.92,36.7604
4.94,36.9143
4.96,37.0679
4.98,37.221
5,37.3737
5.02,37.526
5.04,37.678
5.06,37.8295
5.08,37.9806
5.1,38.1313
5.12,38.2816
5.14,38.4315
5.16,38.581
5.18,38.7301
5.2,38.8788
5.22,39.0271
5.24,39.175
5.26,39.3225
5.28,39.4696
5.3,39.6164
5.32,39.7627
5.34,39.9087
5.34255,39.9273
5.34255,39.9273
5.36,39.8926
5.38,39.8528
5.4,39.8132
5.42,39.7736
5.44,39.7341
5.46,39.6946
5.48,39.6553
5.5,39.616
5.52,39.5768
5.54,39.5377
5.56,39.4987
5.58,39.4597
5.6,39.4208
5.62,39.382
5.64,39.3433
5.66,39.3046
5.66896,39.2873
5.66896,39.2873
5.68,39.3686
5.7,39.5156
5.72,39.6621
5.74,39.8083
5.76,39.9541
5.78,40.0994
5.8,40.2444
5.82,40.3891
5.84,40.5333
5.86,40.6771
5.88,40.8206
5.9,40.9637
5.92,41.1064
5.94,41.2487
5.96,41.3907
5.98,41.5323
6,41.6735
6.02,41.8143
6.04,41.9547
6.06,42.0948
6.08,42.2345
6.1,42.3739
6.12,42.5128
6.14,42.6514
6.16,42.7896
6.18,42.9275
6.2,43.065
6.22,43.2021
6.24,43.3389
6.26,43.4753
6.28,43.6113
6.3,43.747
6.32,43.8823
6.34,44.0173
6.36,44.1518
6.36581,44.1909
6.36581,44.1909
6.38,44.1566
6.4,44.1083
6.42,44.0601
6.44,44.0121
6.46,43.9641
6.48,43.9162
6.5,43.8684
6.52,43.8207
