"time","temperatureSensor_T"
6.54,43.7731
6.56,43.7256
6.58,43.6782
6.6,43.6309
6.62,43.5837
6.64,43.5366
6.66,43.4895
6.67119,43.4633
6.67119,43.4633
6.68,43.5233
6.7,43.6592
6.72,43.7947
6.74,43.9298
6.76,44.0646
6.78,44.1991
6.8,44.3332
6.82,44.4669
6.84,44.6003
6.86,44.7334
6.88,44.866
6.9,44.9984
6.92,45.1304
6.94,45.262
6.96,45.3933
6.98,45.5242
7,45.6549
7.02,45.7852
7.04,45.9151
7.06,46.0447
7.08,46.174
7.1,46.3029
7.12,46.4315
7.14,46.5597
7.16,46.6876
7.18,46.8151
7.2,46.9424
7.22,47.0692
7.24,47.1957
7.26,47.322
7.28,47.4479
7.3,47.5735
7.32,47.6987
7.34,47.8237
7.36,47.9482
7.38,48.0725
7.4,48.1964
7.42,48.32
7.44,48.4433
7.46,48.5662
7.48,48.6888
7.5,48.8111
7.52,48.933
7.54,49.0546
7.55509,49.1462
7.55509,49.1462
7.56,49.1319
7.58,49.0737
7.6,49.0156
7.62,48.9576
7.64,48.8998
7.66,48.842
7.68,48.7844
7.7,48.7269
7.72,48.6695
7.74,48.6122
7.76,48.555
7.78,48.498
7.8,48.441
7.82,48.3842
7.83917,48.3299
7.83917,48.3299
7.84,48.335
7.86,48.4582
7.88,48.581
7.9,48.7035
7.92,48.8257
7.94,48.9476
7.96,49.0692
7.98,49.1904
8,49.3113
8.02,49.4319
8.04,49.5522
8.06,49.6722
8.08,49.7919
8.1,49.9112
8.12,50.0303
8.14,50.149
8.16,50.2675
8.18,50.3856
8.2,50.5034
8.22,50.6209
8.24,50.7381
8.26,50.8549
8.28,50.9715
8.2849,51
8.2849,51
8.3,50.9532
8.32,50.8914
8.34,50.8297
8.36,50.7681
8.38,50.7066
8.4,50.6452
8.42,50.584
8.44,50.5229
8.46,50.4619
8.48,50.401
8.5,50.3403
8.52,50.2797
8.54,50.2192
8.56,50.1588
8.58,50.0985
8.6,50.0384
8.62,49.9783
8.64,49.9184
8.66,49.8587
8.68,49.799
8.7,49.7394
8.72,49.68
8.74,49.6207
8.76,49.5615
8.78,49.5024
8.8,49.4435
8.82,49.3846
8.84,49.3259
8.86,49.2672
8.88,49.2087
8.9,49.1503
8.92,49.0921
8.94,49.0339
8.95167,49
8.95167,49
8.96,49.0506
8.98,49.1719
9,49.2929
9.02,49.4135
9.04,49.5338
9.06,49.6539
9.08,49.7736
9.1,49.8929
9.12,50.012
9.14,50.1308
9.16,50.2493
9.18,50.3674
9.2,50.4852
9.22,50.6028
9.24,50.72
9.26,50.8369
9.28,50.9536
9.28798,51
9.28798,51
9.3,50.9627
9.32,50.9009
9.34,50.8391
9.36,50.7775
9.38,50.716
9.4,50.6547
9.42,50.5934
9.44,50.5323
9.46,50.4713
9.48,50.4104
9.5,50.3496
9.52,50.289
9.54,50.2285
9.56,50.1681
9.58,50.1078
9.6,50.0476
9.62,49.9876
9.64,49.9277
9.66,49.8679
9.68,49.8082
9.7,49.7486
9.72,49.6892
9.74,49.6298
9.76,49.5706
9.78,49.5115
9.8,49.4525
9.82,49.3937
9.84,49.3349
9.86,49.2763
9.88,49.2178
9.9,49.1594
9.92,49.1011
9.94,49.043
9.9548,49
9.9548,49
9.96,49.0316
9.98,49.1529
10,49.2739
10,49.2739
