"time","FMU_Interface_OUT3_Load_Signal"
0,0
0.2,0.0585646
0.4,0.384968
0.6,0.386769
0.8,0.389132
1,0.391146
1.2,0.392809
1.4,0.394176
1.6,0.395294
1.8,0.396207
2,0.396951
2.2,0.397555
2.4,0.398046
2.6,0.398444
2.8,0.398767
3,0.399028
3.2,0.399239
3.4,0.39941
3.6,0.399548
3.8,0.399659
4,0.399749
4.2,0.399822
4.4,0.39988
4.6,0.399928
4.8,0.399966
5,0.399997
5.2,0.400022
5.4,0.400042
5.6,0.400058
5.8,0.400071
6,0.400082
6.2,0.40009
6.4,0.400097
6.6,0.400103
6.8,0.400107
7,0.400111
7.2,0.400114
7.4,0.400116
7.6,0.400118
7.8,0.40012
8,0.400121
8.2,0.400122
8.4,0.400123
8.6,0.400123
8.8,0.400124
9,0.400124
9.2,0.400125
9.4,0.400125
9.6,0.400125
9.8,0.400125
10,0.400125
10.2,0.400126
10.4,0.400126
10.6,0.400126
10.8,0.400126
11,0.400126
11.2,0.400126
11.4,0.400126
11.6,0.400126
11.8,0.400126
12,0.400126
12.2,0.400126
12.4,0.400126
12.6,0.400126
12.8,0.400126
13,0.400126
13.2,0.400126
13.4,0.400126
13.6,0.400126
13.8,0.400126
14,0.400126
14.2,0.400126
14.4,0.400126
14.6,0.400126
14.8,0.400126
15,0.400126
15.2,0.400126
15.4,0.400126
15.6,0.400126
15.8,0.400126
16,0.400126
16.2,0.400126
16.4,0.400126
16.6,0.400126
16.8,0.400126
17,0.400126
17.2,0.400126
17.4,0.400126
17.6,0.400126
17.8,0.400126
18,0.400126
18.2,0.400126
18.4,0.400126
18.6,0.400126
18.8,0.400126
19,0.400126
19.2,0.400126
19.4,0.400126
19.6,0.400126
19.8,0.400126
20,0.400126
20.2,0.400126
20.4,0.721921
20.6,0.72428
20.8,0.72772
21,0.730627
21.2,0.733002
21.4,0.734936
21.6,0.736506
21.8,0.73778
22,0.738813
22.2,0.739649
22.4,0.740325
22.6,0.740873
22.8,0.741315
23,0.741672
23.2,0.741961
23.4,0.742194
23.6,0.742382
23.8,0.742534
24,0.742657
24.2,0.742756
24.4,0.742836
24.6,0.7429
24.8,0.742952
25,0.742994
25.2,0.743028
25.4,0.743056
25.6,0.743078
25.8,0.743096
26,0.74311
26.2,0.743122
26.4,0.743131
26.6,0.743138
26.8,0.743144
27,0.743149
27.2,0.743153
27.4,0.743157
27.6,0.743159
27.8,0.743161
28,0.743163
28.2,0.743164
28.4,0.743165
28.6,0.743166
28.8,0.743167
29,0.743168
29.2,0.743168
29.4,0.743168
29.6,0.743169
29.8,0.743169
30,0.743169
30.2,0.743169
30.4,0.743169
30.6,0.743169
30.8,0.74317
31,0.74317
31.2,0.74317
31.4,0.74317
31.6,0.74317
31.8,0.74317
32,0.74317
32.2,0.74317
32.4,0.74317
32.6,0.74317
32.8,0.74317
33,0.74317
33.2,0.74317
33.4,0.74317
33.6,0.74317
33.8,0.74317
34,0.74317
34.2,0.74317
34.4,0.74317
34.6,0.74317
34.8,0.74317
35,0.74317
35.2,0.74317
35.4,0.74317
35.6,0.74317
35.8,0.74317
36,0.74317
36.2,0.74317
36.4,0.74317
36.6,0.74317
36.8,0.74317
37,0.74317
37.2,0.74317
37.4,0.74317
37.6,0.74317
37.8,0.74317
38,0.74317
38.2,0.74317
38.4,0.74317
38.6,0.74317
38.8,0.74317
39,0.74317
39.2,0.74317
39.4,0.74317
39.6,0.74317
39.8,0.74317
40,0.74317
40.2,0.511362
