"time","heatCapacitor.T","TAmb","TDif","TRes"
0,293.15,293.15,2,293.15
1e-005,293.1501,293.15,2,293.1501
6e-005,293.1506,293.15,2,293.1506
0.00031,293.1530999,293.15,2,293.1530999
0.00131,293.1630986,293.15,2,293.1630986
0.00231,293.173096,293.15,2,293.173096
0.00331,293.183092,293.15,2,293.183092
0.00431,293.1930866,293.15,2,293.1930866
0.00531,293.2030797,293.15,2,293.2030797
0.00631,293.2130715,293.15,2,293.2130715
0.00731,293.2230618,293.15,2,293.2230618
0.00831,293.2330508,293.15,2,293.2330508
0.00931,293.2430385,293.15,2,293.2430385
0.01031,293.2530247,293.15,2,293.2530247
0.01131,293.2630096,293.15,2,293.2630096
0.01231,293.2729931,293.15,2,293.2729931
0.01331,293.2829752,293.15,2,293.2829752
0.01431,293.292956,293.15,2,293.292956
0.01531,293.3029353,293.15,2,293.3029353
0.01631,293.3129132,293.15,2,293.3129132
0.01731,293.3228898,293.15,2,293.3228898
0.01831,293.3328649,293.15,2,293.3328649
0.01931,293.3428387,293.15,2,293.3428387
0.02031,293.352811,293.15,2,293.352811
0.02131,293.362782,293.15,2,293.362782
0.02231,293.3727516,293.15,2,293.3727516
0.02331,293.3827199,293.15,2,293.3827199
0.02431,293.3926867,293.15,2,293.3926867
0.02531,293.4026522,293.15,2,293.4026522
0.02631,293.4126163,293.15,2,293.4126163
0.02731,293.422579,293.15,2,293.422579
0.02831,293.4325403,293.15,2,293.4325403
0.02931,293.4425002,293.15,2,293.4425002
0.03031,293.4524588,293.15,2,293.4524588
0.03131,293.462416,293.15,2,293.462416
0.03231,293.4723717,293.15,2,293.4723717
0.03331,293.4823262,293.15,2,293.4823262
0.03431,293.4922792,293.15,2,293.4922792
0.03531,293.5022308,293.15,2,293.5022308
0.03631,293.5121811,293.15,2,293.5121811
0.03731,293.52213,293.15,2,293.52213
0.03831,293.5320775,293.15,2,293.5320775
0.03931,293.5420236,293.15,2,293.5420236
0.04031,293.5519684,293.15,2,293.5519684
0.04131,293.5619119,293.15,2,293.5619119
0.04231,293.5718539,293.15,2,293.5718539
0.04331,293.5817946,293.15,2,293.5817946
0.04431,293.5917339,293.15,2,293.5917339
0.04531,293.6016718,293.15,2,293.6016718
0.04631,293.6116083,293.15,2,293.6116083
0.04731,293.6215435,293.15,2,293.6215435
0.04831,293.6314772,293.15,2,293.6314772
0.04931,293.6414096,293.15,2,293.6414096
