"Time","iAC[1]","iAC[2]","iAC[3]"
0,0,0,0
0,0,0,0
0.0002,0.0614665,-1.04956,0.988097
0.0004,0.122746,-6.73793,6.61518
0.0006,0.183541,-15.9654,15.7819
0.0008,0.243611,-24.8559,24.6123
0.001,0.302721,-29.5954,29.2927
0.0012,0.360635,-26.5328,26.1722
0.0014,0.417126,-12.2734,11.8563
0.0016,0.449949,-0.923634,0.473686
0.0018,0.491519,-0.935708,0.444189
0.002,6.45019,-6.84876,0.398569
0.0022,43.8732,-44.2148,0.341581
0.0024,111.866,-112.149,0.283245
0.0026,205.31,-205.533,0.223791
0.0028,318.467,-318.631,0.163454
0.003,445.134,-445.237,0.102472
0.0032,578.786,-578.828,0.0410849
0.0034,712.743,-712.723,-0.0204639
0.0036,840.328,-840.246,-0.0819319
0.0038,955.036,-954.893,-0.143077
0.004,1050.69,-1050.48,-0.203657
0.0042,1121.58,-1121.32,-0.263433
0.0044,1162.64,-1162.31,-0.32217
0.0046,1169.5,-1169.12,-0.379635
0.0048,1138.68,-1138.24,-0.435602
0.005,1067.61,-1067.12,-0.489849
0.0052,954.725,-954.183,-0.542164
0.0054,808.224,-790.244,-17.9798
0.0056,644.295,-559.765,-84.5294
0.0058,463.934,-263.49,-200.444
0.006,316.922,-0.203765,-316.718
0.0062,317.643,-0.143186,-317.5
0.0064,331.057,-0.0820423,-330.975
0.0066,353.136,-0.0205747,-353.116
0.0068,379.663,0.0409742,-379.704
0.007,406.328,0.102361,-406.43
0.0072,428.847,0.163345,-429.011
0.0074,443.067,0.223683,-443.291
0.0076,445.061,0.283139,-445.344
0.0078,431.241,0.341477,-431.582
0.008,398.439,0.398468,-398.838
0.0082,344.024,0.453886,-344.478
0.0084,265.915,0.507513,-266.423
0.0086,159.476,7.01321,-166.489
0.0088,1.08304,65.4898,-66.5729
0.009,0.302826,76.2653,-76.5682
0.0092,0.243719,114.291,-114.535
0.0094,0.18365,175.43,-175.614
0.0096,0.122856,254.64,-254.763
0.0098,0.0615771,346.444,-346.506
0.01,5.54059e-05,445.075,-445.075
0.0102,-0.0614665,544.63,-544.569
0.0104,-0.122746,639.188,-639.065
0.0106,-0.183541,722.969,-722.786
0.0108,-0.243611,790.504,-790.26
0.011,-0.302721,836.738,-836.435
0.0112,-0.360635,857.159,-856.798
0.0114,-0.417126,847.91,-847.493
0.0116,-0.471971,805.888,-805.416
