"time","V_in","V_out"
0.0000000000000000E+000,0.0000000000000000E+000,9.9999999999999995E-007
1.0000000000000001E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.0000000000000001E-001,5.0000000000000003E-002,2.3402753600948895E-004
3.0000000000000004E-001,1.0000000000000001E-001,1.1100040910741549E-003
4.0000000000000002E-001,1.5000000000000002E-001,2.9567835505773903E-003
5.0000000000000000E-001,2.0000000000000001E-001,6.0340448658606416E-003
5.9999999999999998E-001,2.5000000000000000E-001,1.0542814705656415E-002
6.9999999999999996E-001,2.9999999999999999E-001,1.6637640355325736E-002
7.9999999999999993E-001,3.4999999999999998E-001,2.4428059750238755E-002
8.9999999999999991E-001,4.0000000000000002E-001,3.3988167693453385E-002
9.9999999999999989E-001,4.5000000000000001E-001,4.5362495324059185E-002
1.0999999999999999E+000,4.9999999999999989E-001,5.8573225519970580E-002
1.2000000000000000E+000,5.4999999999999993E-001,7.3622252661694879E-002
1.3000000000000000E+000,5.9999999999999998E-001,9.0489612750013576E-002
1.4000000000000001E+000,6.5000000000000002E-001,1.0914901182949707E-001
1.5000000000000002E+000,7.0000000000000007E-001,1.2955773564062684E-001
1.6000000000000003E+000,7.5000000000000011E-001,1.5166666455794481E-001
1.7000000000000004E+000,8.0000000000000016E-001,1.7542031576375439E-001
1.8000000000000005E+000,8.5000000000000020E-001,2.0075821774074565E-001
1.9000000000000006E+000,9.0000000000000024E-001,2.2761630360577703E-001
2.0000000000000004E+000,9.5000000000000029E-001,2.5592888586450435E-001
2.1000000000000005E+000,1.0000000000000000E+000,2.8562863776088820E-001
2.2000000000000006E+000,1.0000000000000000E+000,3.1641451747135374E-001
2.3000000000000007E+000,1.0000000000000000E+000,3.4781065750015744E-001
2.4000000000000008E+000,1.0000000000000000E+000,3.7942141910758181E-001
2.5000000000000009E+000,1.0000000000000000E+000,4.1092235149370854E-001
2.6000000000000010E+000,1.0000000000000000E+000,4.4204757031350950E-001
2.7000000000000011E+000,1.0000000000000000E+000,4.7258342677820619E-001
2.8000000000000012E+000,1.0000000000000000E+000,5.0236036624614955E-001
2.9000000000000012E+000,1.0000000000000000E+000,5.3124601450747233E-001
3.0000000000000013E+000,1.0000000000000000E+000,5.5914062143578536E-001
3.1000000000000014E+000,1.0000000000000000E+000,5.8597146675507916E-001
3.2000000000000015E+000,1.0000000000000000E+000,6.1168778254120326E-001
3.3000000000000016E+000,1.0000000000000000E+000,6.3625937111782194E-001
3.4000000000000017E+000,1.0000000000000000E+000,6.5967070016000773E-001
3.5000000000000018E+000,1.0000000000000000E+000,6.8192016888114038E-001
3.6000000000000019E+000,1.0000000000000000E+000,7.0301710006200335E-001
3.7000000000000020E+000,1.0000000000000000E+000,7.2297909415065020E-001
3.8000000000000020E+000,1.0000000000000000E+000,7.4183129594429897E-001
3.9000000000000021E+000,1.0000000000000000E+000,7.5960414930135722E-001
4.0000000000000018E+000,1.0000000000000000E+000,7.7633224910981280E-001
4.1000000000000014E+000,1.0000000000000000E+000,7.9205358816180271E-001
4.2000000000000011E+000,1.0000000000000000E+000,8.0680827266989175E-001
4.3000000000000007E+000,1.0000000000000000E+000,8.2063791746987846E-001
4.4000000000000004E+000,1.0000000000000000E+000,8.3358493759813024E-001
4.5000000000000000E+000,1.0000000000000000E+000,8.4569207979702998E-001
4.5999999999999996E+000,1.0000000000000000E+000,8.5700195180746475E-001
4.6999999999999993E+000,1.0000000000000000E+000,8.6755661227191705E-001
4.7999999999999989E+000,1.0000000000000000E+000,8.7739744453088664E-001
4.8999999999999986E+000,1.0000000000000000E+000,8.8656469270742944E-001
4.9999999999999982E+000,1.0000000000000000E+000,8.9509742966058314E-001
5.0999999999999979E+000,1.0000000000000000E+000,9.0303337862731903E-001
5.1999999999999975E+000,1.0000000000000000E+000,9.1040891769932142E-001
5.2999999999999972E+000,1.0000000000000000E+000,9.1725867484522272E-001
5.3999999999999968E+000,1.0000000000000000E+000,9.2361628637161475E-001
5.4999999999999964E+000,1.0000000000000000E+000,9.2951313188297224E-001
5.5999999999999961E+000,1.0000000000000000E+000,9.3497917830248822E-001
5.6999999999999957E+000,1.0000000000000000E+000,9.4004305831683344E-001
5.7999999999999954E+000,1.0000000000000000E+000,9.4473188094976834E-001
5.8999999999999950E+000,1.0000000000000000E+000,9.4907120880474061E-001
5.9999999999999947E+000,1.0000000000000000E+000,9.5308511258470618E-001
6.0999999999999943E+000,1.0000000000000000E+000,9.5679640414761902E-001
6.1999999999999940E+000,1.0000000000000000E+000,9.6022631918471069E-001
6.2999999999999936E+000,1.0000000000000000E+000,9.6339475068134917E-001
6.3999999999999932E+000,1.0000000000000000E+000,9.6632034852433912E-001
6.4999999999999929E+000,1.0000000000000000E+000,9.6902061707689535E-001
6.5999999999999925E+000,1.0000000000000000E+000,9.7151194929587648E-001
6.6999999999999922E+000,1.0000000000000000E+000,9.7380966555400383E-001
6.7999999999999918E+000,1.0000000000000000E+000,9.7592805252896986E-001
6.8999999999999915E+000,1.0000000000000000E+000,9.7788042929143582E-001
6.9999999999999911E+000,1.0000000000000000E+000,9.7967920887132054E-001
7.0999999999999908E+000,1.0000000000000000E+000,9.8133594702562499E-001
7.1999999999999904E+000,1.0000000000000000E+000,9.8286139087416557E-001
7.2999999999999901E+000,1.0000000000000000E+000,9.8426552568498948E-001
7.3999999999999897E+000,1.0000000000000000E+000,9.8555762437482797E-001
7.4999999999999893E+000,1.0000000000000000E+000,9.8674629346477771E-001
7.5999999999999890E+000,1.0000000000000000E+000,9.8783951717024887E-001
7.6999999999999886E+000,1.0000000000000000E+000,9.8884469703891609E-001
7.7999999999999883E+000,1.0000000000000000E+000,9.8976869034555848E-001
7.8999999999999879E+000,1.0000000000000000E+000,9.9061784606180736E-001
7.9999999999999876E+000,1.0000000000000000E+000,9.9139803993436282E-001
8.0999999999999872E+000,1.0000000000000000E+000,9.9211470706860394E-001
8.1999999999999869E+000,1.0000000000000000E+000,9.9277287287719662E-001
8.2999999999999865E+000,1.0000000000000000E+000,9.9337718161119137E-001
8.3999999999999861E+000,1.0000000000000000E+000,9.9393192342728720E-001
8.4999999999999858E+000,1.0000000000000000E+000,9.9444105957253737E-001
