Time,heatCapacitor_T,switch_Controll,
0,2.68208e-310,10,
0.02,20.1997,0,
0.04,20.3989,0,
0.06,20.5975,0,
0.08,20.7955,0,
0.1,20.993,0,
0.12,21.19,0,
0.14,21.3864,0,
0.16,21.5823,0,
0.18,21.7777,0,
0.2,21.9725,0,
0.22,22.1668,0,
0.24,22.3605,0,
0.26,22.5537,0,
0.28,22.7464,0,
0.3,22.9385,0,
0.32,23.1302,0,
0.34,23.3214,0,
0.36,23.512,0,
0.38,23.7022,0,
0.4,23.8918,0,
0.42,24.0809,0,
0.44,24.2694,0,
0.46,24.4575,0,
0.48,24.645,0,
0.5,24.832,0,
0.52,25.0184,0,
0.54,25.2044,0,
0.56,25.3898,0,
0.58,25.5747,0,
0.6,25.759,0,
0.62,25.9428,0,
0.64,25.9917,1,
0.66,25.9798,1,
0.68,25.9678,1,
0.7,25.9559,1,
0.72,25.944,1,
0.74,25.9321,1,
0.76,25.9203,1,
0.78,25.9085,1,
0.8,25.8967,1,
0.82,25.8849,1,
0.84,25.8731,1,
0.86,25.8614,1,
0.88,25.8497,1,
0.9,25.838,1,
0.92,25.8263,1,
0.94,25.8147,1,
0.96,25.8031,1,
0.98,25.7915,1,
1,25.7799,1,
1.02,25.7683,1,
1.04,25.7568,1,
1.06,25.7453,1,
1.08,25.7338,1,
1.1,25.7224,1,
1.12,25.7109,1,
1.14,25.6995,1,
1.16,25.6881,1,
1.18,25.6768,1,
1.2,25.6654,1,
1.22,25.6541,1,
1.24,25.6428,1,
1.26,25.6315,1,
1.28,25.6202,1,
1.3,25.6089,1,
1.32,25.5976,1,
1.34,25.5864,1,
1.36,25.5751,1,
1.38,25.564,1,
1.4,25.5528,1,
1.42,25.5416,1,
1.44,25.5305,1,
1.46,25.5194,1,
1.48,25.5083,1,
1.5,25.4972,1,
1.52,25.4862,1,
1.54,25.4752,1,
1.56,25.4642,1,
1.58,25.4532,1,
1.6,25.4422,1,
1.62,25.4313,1,
1.64,25.4204,1,
1.66,25.4095,1,
1.68,25.3986,1,
1.7,25.3878,1,
1.72,25.3769,1,
1.74,25.3661,1,
1.76,25.3553,1,
1.78,25.3446,1,
1.8,25.3338,1,
1.82,25.3231,1,
1.84,25.3124,1,
1.86,25.3017,1,
1.88,25.2911,1,
1.9,25.2804,1,
1.92,25.2698,1,
1.94,25.2592,1,
1.96,25.2487,1,
1.98,25.2381,1,
2,25.2276,1,
2.02,25.2172,1,
2.04,25.2067,1,
2.06,25.1963,1,
2.08,25.186,1,
2.1,25.1756,1,
2.12,25.1653,1,
2.14,25.155,1,
2.16,25.1447,1,
2.18,25.1344,1,
2.2,25.1241,1,
2.22,25.1139,1,
2.24,25.1037,1,
2.26,25.0935,1,
2.28,25.2579,0,
2.3,25.443,0,
2.32,25.6277,0,
2.34,25.8119,0,
2.36,25.9955,0,
2.38,26.1787,0,
2.4,26.3613,0,
2.42,26.5435,0,
2.44,26.7252,0,
2.46,26.9064,0,
2.48,27.0871,0,
2.5,27.2673,0,
2.52,27.447,0,
2.54,27.6262,0,
2.56,27.805,0,
2.58,27.9832,0,
2.6,28.1609,0,
2.62,28.3382,0,
2.64,28.515,0,
2.66,28.6912,0,
2.68,28.7964,1,
2.7,28.7789,1,
2.72,28.7613,1,
2.74,28.7438,1,
2.76,28.7264,1,
2.78,28.7089,1,
2.8,28.6915,1,
2.82,28.6742,1,
2.84,28.6568,1,
2.86,28.6395,1,
2.88,28.6223,1,
2.9,28.605,1,
2.92,28.5879,1,
2.94,28.5707,1,
2.96,28.5536,1,
2.98,28.5365,1,
3,28.5194,1,
3.02,28.5024,1,
3.04,28.4854,1,
3.06,28.4685,1,
3.08,28.5451,0,
3.1,28.7212,0,
3.12,28.8969,0,
3.14,29.0721,0,
3.16,29.2468,0,
3.18,29.4211,0,
3.2,29.5949,0,
3.22,29.7682,0,
3.24,29.941,0,
3.26,30.1134,0,
3.28,30.2854,0,
3.3,30.4568,0,
3.32,30.6279,0,
3.34,30.7984,0,
3.36,30.9685,0,
3.38,31.1381,0,
3.4,31.3073,0,
3.42,31.476,0,
3.44,31.6442,0,
3.46,31.812,0,
3.48,31.9793,0,
3.5,32.1462,0,
3.52,32.3126,0,
3.54,32.3356,1,
3.56,32.311,1,
3.58,32.2864,1,
3.6,32.2619,1,
3.62,32.2374,1,
3.64,32.2129,1,
3.66,32.1885,1,
3.68,32.1642,1,
3.7,32.1399,1,
3.72,32.1156,1,
3.74,32.0914,1,
3.76,32.0672,1,
3.78,32.0431,1,
3.8,32.019,1,
3.82,31.995,1,
3.84,31.971,1,
3.86,31.9471,1,
3.88,31.9232,1,
3.9,31.9302,0,
3.92,32.0972,0,
3.94,32.2637,0,
3.96,32.4297,0,
3.98,32.5953,0,
4,32.7605,0,
4.02,32.9252,0,
4.04,33.0895,0,
4.06,33.2533,0,
4.08,33.4167,0,
4.1,33.5797,0,
4.12,33.7422,0,
4.14,33.9043,0,
4.16,34.066,0,
4.18,34.2273,0,
4.2,34.3881,0,
4.22,34.5484,0,
4.24,34.7083,0,
4.26,34.8678,0,
4.28,35.0269,0,
4.3,35.1855,0,
4.32,35.3437,0,
4.34,35.5015,0,
4.36,35.6589,0,
4.38,35.8159,0,
4.4,35.9724,0,
4.42,36.0116,1,
4.44,35.9796,1,
4.46,35.9477,1,
4.48,35.9158,1,
4.5,35.8841,1,
4.52,35.8523,1,
4.54,35.8206,1,
4.56,35.789,1,
4.58,35.7575,1,
4.6,35.726,1,
4.62,35.6946,1,
4.64,35.6632,1,
4.66,35.6319,1,
4.68,35.6007,1,
4.7,35.5695,1,
4.72,35.5384,1,
4.74,35.5074,1,
4.76,35.5153,0,
4.78,35.6726,0,
4.8,35.8294,0,
4.82,35.9858,0,
4.84,36.1418,0,
