"time","Ball1_pos","Ball1_vel","Ball2_pos","Ball2_vel"
0.0,10.0,10.0,15.0,15.0
1.00000005e-03,1.00149946e+01,1.49901896e+01,1.00149946e+01,1.49901896e+01
2.00000009e-03,1.00299797e+01,1.49803801e+01,1.00299797e+01,1.49803801e+01
3.00000003e-03,1.00449562e+01,1.49705696e+01,1.00449562e+01,1.49705696e+01
4.00000019e-03,1.00599222e+01,1.49607601e+01,1.00599222e+01,1.49607601e+01
4.99999989e-03,1.00748768e+01,1.49509497e+01,1.00748768e+01,1.49509497e+01
6.00000005e-03,1.00898228e+01,1.49411402e+01,1.00898228e+01,1.49411402e+01
7.00000022e-03,1.01047602e+01,1.49313297e+01,1.01047602e+01,1.49313297e+01
8.00000038e-03,1.01196861e+01,1.49215202e+01,1.01196861e+01,1.49215202e+01
8.99999961e-03,1.01346025e+01,1.49117098e+01,1.01346025e+01,1.49117098e+01
9.99999978e-03,1.01495104e+01,1.49019003e+01,1.01495104e+01,1.49019003e+01
1.09999999e-02,1.01644058e+01,1.48920898e+01,1.01644058e+01,1.48920898e+01
1.20000001e-02,1.01792936e+01,1.48822803e+01,1.01792936e+01,1.48822803e+01
1.30000003e-02,1.01941710e+01,1.48724699e+01,1.01941710e+01,1.48724699e+01
1.40000004e-02,1.02090387e+01,1.48626604e+01,1.02090387e+01,1.48626604e+01
1.49999997e-02,1.02238960e+01,1.48528500e+01,1.02238960e+01,1.48528500e+01
1.60000008e-02,1.02387438e+01,1.48430405e+01,1.02387438e+01,1.48430405e+01
1.70000009e-02,1.02535820e+01,1.48332300e+01,1.02535820e+01,1.48332300e+01
1.79999992e-02,1.02684107e+01,1.48234196e+01,1.02684107e+01,1.48234196e+01
1.89999994e-02,1.02832289e+01,1.48136101e+01,1.02832289e+01,1.48136101e+01
1.99999996e-02,1.02980375e+01,1.48037996e+01,1.02980375e+01,1.48037996e+01
2.09999997e-02,1.03128366e+01,1.47939901e+01,1.03128366e+01,1.47939901e+01
2.19999999e-02,1.03276262e+01,1.47841797e+01,1.03276262e+01,1.47841797e+01
2.30000000e-02,1.03424053e+01,1.47743702e+01,1.03424053e+01,1.47743702e+01
