"Time","SignalOutput1"
0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-03,0.000000000000000E+00
2.000000000000000E-03,7.537103002544600E-01
3.000000000000000E-03,1.507347830332300E+00
4.000000000000000E-03,2.261117873510700E+00
5.000000000000000E-03,3.014994328216600E+00
6.000000000000000E-03,3.768967767878500E+00
7.000000000000000E-03,4.523034792639900E+00
8.000000000000000E-03,5.277194180832700E+00
8.999999999999999E-03,6.031445498035400E+00
1.000000000000000E-02,6.785788594355500E+00
1.100000000000000E-02,7.540223422736400E+00
1.200000000000000E-02,8.294749973289600E+00
1.300000000000000E-02,9.049368249560800E+00
1.400000000000000E-02,9.804078259952000E+00
1.500000000000000E-02,1.055888001462100E+01
1.600000000000000E-02,1.131377352436200E+01
1.700000000000000E-02,1.206875880019900E+01
1.800000000000000E-02,1.282383585324000E+01
1.900000000000000E-02,1.357900469462400E+01
2.000000000000000E-02,1.433426533550400E+01
2.100000000000000E-02,1.508961778703700E+01
2.200000000000000E-02,1.584506206038200E+01
2.300000000000000E-02,1.660059816670200E+01
2.400000000000000E-02,1.735622611715900E+01
2.500000000000000E-02,1.811194592291700E+01
2.600000000000000E-02,1.886775759514400E+01
2.700000000000000E-02,1.962366114500700E+01
2.800000000000000E-02,2.037965658367400E+01
2.900000000000000E-02,2.113574392231600E+01
3.000000000000000E-02,2.189192317210300E+01
3.100000000000000E-02,2.264819434421000E+01
3.200000000000000E-02,2.340455744980900E+01
3.300000000000000E-02,2.416101250007800E+01
3.400000000000000E-02,2.491755950619100E+01
3.500000000000000E-02,2.567419847932900E+01
3.600000000000000E-02,2.643092943067100E+01
3.700000000000000E-02,2.718775237139700E+01
3.800000000000000E-02,2.794466731268900E+01
3.900000000000000E-02,2.870167426573300E+01
4.000000000000000E-02,2.945877324171200E+01
4.100000000000000E-02,3.021596425181400E+01
4.200000000000000E-02,3.097324730722500E+01
4.300000000000000E-02,3.173062241913600E+01
4.400000000000000E-02,3.248808959873700E+01
4.500000000000000E-02,3.324564885721900E+01
4.600000000000000E-02,3.400330020577600E+01
4.700000000000000E-02,3.476104365560200E+01
4.800000000000000E-02,3.551887921789400E+01
4.900000000000000E-02,3.627680690384900E+01
5.000000000000000E-02,3.703482672466600E+01
5.100000000000000E-02,3.779293869154300E+01
5.200000000000000E-02,3.855114281568400E+01
5.300000000000000E-02,3.930943910829100E+01
5.400000000000000E-02,4.006782758056700E+01
5.500000000000000E-02,4.082630824371900E+01
5.600000000000000E-02,4.158488110895300E+01
5.700000000000000E-02,4.234354618747700E+01
5.800000000000000E-02,4.310230349050200E+01
5.900000000000000E-02,4.386115302923800E+01
6.000000000000000E-02,4.462009481489700E+01
6.100000000000000E-02,4.537912885869300E+01
6.200000000000000E-02,4.613825517184100E+01
6.300000000000000E-02,4.689747376555700E+01
6.400000000000000E-02,4.765678465106000E+01
6.500000000000000E-02,4.841618783956800E+01
6.600000000000000E-02,4.917568334230200E+01
6.700000000000000E-02,4.993527117048400E+01
6.800000000000000E-02,5.069495133533600E+01
6.900000000000001E-02,5.145472384808400E+01
7.000000000000001E-02,5.221458871995400E+01
7.099999999999999E-02,5.297454596217200E+01
7.199999999999999E-02,5.373459558596800E+01
7.300000000000000E-02,5.449473760257200E+01
7.400000000000000E-02,5.525497202321400E+01
7.500000000000000E-02,5.601529885912800E+01
7.600000000000000E-02,5.677571812154800E+01
7.700000000000000E-02,5.753622982171000E+01
7.800000000000000E-02,5.829683397084900E+01
7.900000000000000E-02,5.905753058020600E+01
8.000000000000000E-02,5.981831966101800E+01
8.100000000000000E-02,6.057920122452700E+01
8.200000000000000E-02,6.134017528197600E+01
8.300000000000000E-02,6.210124184460800E+01
8.400000000000001E-02,6.286240092366800E+01
8.500000000000001E-02,6.362365253040200E+01
8.599999999999999E-02,6.438499667605900E+01
8.699999999999999E-02,6.514643337188799E+01
8.799999999999999E-02,6.590796262913901E+01
8.900000000000000E-02,6.666958445906400E+01
9.000000000000000E-02,6.743129887291600E+01
9.100000000000000E-02,6.819310588195100E+01
9.200000000000000E-02,6.895500549742300E+01
9.300000000000000E-02,6.971699773058999E+01
9.400000000000000E-02,7.047908259271200E+01
9.500000000000000E-02,7.124126009504801E+01
9.600000000000000E-02,7.200353024886000E+01
