"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6","ContinuousState[0]","ContinuousState[1]","ContinuousState[2]","ContinuousState[3]","ContinuousState[4]","ContinuousState[5]","ContinuousState[6]","ContinuousState[7]","EventIndicator[0]","EventIndicator[1]","EventIndicator[2]"
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0.099833414,0,0,0,0,0,0,0,0,0,0,-1,0,0
0.3,0.004991671,0.009983341,0,0.004991671,0.203661,0.004991671,0.004991671,0.004991671,0.009983341,0,0.004991671,0.004991671,0.004991671,0.004991671,0,-0.99001664,0.009983341,0
0.4,0.019916808,0.039833616,2.50E-04,0.019916808,0.31568658,0.019667225,0.019417642,0.019916808,0.039833616,2.50E-04,0.019916808,0.020166392,0.019667225,0.019667225,2.50E-04,-0.9601664,0.039833616,0
0.5,0.044626284,0.08925257,0.001495008,0.044626284,0.43555212,0.043143757,0.04166123,0.044626284,0.08925257,0.001495008,0.044626284,0.04613377,0.043143757,0.043143757,0.001482528,-0.9107474,0.08925257,0
0.6,0.07887321,0.15774642,0.004722162,0.07887321,0.56312126,0.07425013,0.069627054,0.07887321,0.15774642,0.004722162,0.07887321,0.08369571,0.07425013,0.07425013,0.004623077,-0.84225357,0.15774642,0
0.7,0.12231541,0.24463081,0.010897137,0.12231541,0.6982719,0.111822635,0.10132986,0.12231541,0.24463081,0.010897137,0.12231541,0.13362938,0.111822635,0.111822635,0.010492772,-0.7553692,0.24463081,0
0.8,0.17451881,0.34903762,0.020956568,0.17451881,0.8409167,0.1547224,0.13492599,0.17451881,0.34903762,0.020956568,0.17451881,0.19669902,0.1547224,0.1547224,0.01979641,-0.6509624,0.34903762,0
0.9,0.23496182,0.46992365,0.035798278,0.23496182,0.99101454,0.20183815,0.1687145,0.23496182,0.46992365,0.035798278,0.23496182,0.27365845,0.20183815,0.20183815,0.03312366,-0.5300764,0.46992365,0
1,0.3030405,0.606081,0.05627231,0.3030405,1.148582,0.25208881,0.20113713,0.3030405,0.606081,0.05627231,0.3030405,0.36525503,0.25208881,0.25208881,0.05095169,-0.393919,0.606081,0
1.1,0.37807465,0.7561493,0.083172426,0.37807465,1.3137058,0.3044266,0.23077857,0.37807465,0.7561493,0.083172426,0.37807465,0.47223485,0.3044266,0.3044266,0.073648036,-0.2438507,0.7561493,0
1.2,0.45931455,0.9186291,0.11722818,0.45931455,1.4865566,0.35784075,0.25636694,0.45931455,0.9186291,0.11722818,0.45931455,0.59534925,0.35784075,0.35784075,0.10147381,-0.081370905,0.9186291,0
1.3,0.54594845,1,0.15909764,0.54594845,1.6674014,0.41136128,0.2767741,0.54594845,1,0.15909764,0.54594845,0.73536235,0.41136128,0.41136128,0.13458718,0,1,1.8640782
1.4,0.63711077,1,0.2093608,0.63711077,1.8566184,0.4640635,0.29101622,0.63711077,1,0.2093608,0.63711077,0.89306027,0.4640635,0.4640635,0.17304727,0,1,1.9271164
1.5,0.7318907,1,0.26851377,0.7318907,2.0547109,0.5150721,0.29825363,0.7318907,1,0.26851377,0.7318907,1.0692612,0.5150721,0.5150721,0.21681851,0,1,1.9708995
1.6,0.82934105,1,0.33696383,0.82934105,2.2623227,0.56356573,0.29779044,0.82934105,1,0.33696383,0.82934105,1.2648277,0.56356573,0.56356573,0.2657753,0,1,1.99499
