    "time",     "uDC",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "uAC[1]",  "uAC[2]",  "uAC[3]",  "Losses"
    0.0112, 516.56623,-0.36063505, 857.15909,-856.79846,-441.45728, 522.27915,-80.821868, 5630.9283
    0.0114, 521.28206,-0.41712625, 847.90971,-847.49259,-472.05154, 526.97641,-54.924872, 5596.4101
    0.0116, 525.65873,-0.47197125, 805.88772,-805.41575,-501.62034, 531.26897,-29.648626,  5325.022
    0.0118, 529.24292,-0.52495359, 728.83108,-728.30612,-529.82655, 534.69899,-4.8724397, 4816.0418
     0.012, 531.59045,-19.193465, 624.66437,-605.47091,-536.23324, 536.81951,-0.58627686, 4106.7746
    0.0122, 532.47571,-90.421977, 509.71075,-419.28877,-537.07477, 537.40364,-0.32886647, 3336.4079
    0.0124, 531.75548, -213.9171, 383.55413,-169.63703,-536.35188,  536.3076,0.044280027, 2607.3456
    0.0126, 529.48061,-316.97443, 317.19822,-0.22379098,-534.11372, 378.95246, 155.16126, 2197.4629
    0.0128, 527.24607,-352.72464,  352.8881,-0.1634538,-531.95062, 347.70229, 184.24833, 2370.6051
     0.013,  525.5783,-401.50324, 401.60571,-0.10247156,-530.38035, 316.42601, 213.95434, 2626.6397
    0.0132, 524.61981,-458.49607, 458.53716,-0.041084913,-529.53579, 285.31037, 244.22542, 2945.5441
    0.0134, 524.44752,-518.72245, 518.70199,0.020463884,-529.48388, 254.50999, 274.97389, 3302.8886
    0.0136, 525.07271,-577.13487, 577.05294,0.081931916,-530.22584, 224.14692, 306.07892, 3669.1546
    0.0138,  526.4373,-628.73857, 628.59549, 0.1430766,-531.69357, 194.30841, 337.38516,  4010.288
     0.014, 528.41727,-668.72747, 668.52381,0.20365662,-533.75346, 165.04832, 368.70514,   4289.53
    0.0142, 530.82732, -692.6077, 692.34427,0.26343291, -536.2112, 136.38901, 399.82219, 4470.2087
    0.0144, 533.42511,-696.30491, 695.98274,0.32216955,-538.81632, 108.32322,  430.4931, 4519.1869
    0.0146, 535.91799,-676.27623,  675.8966,0.37963474,-541.26908, 80.816984,  460.4521, 4410.7497
    0.0148, 537.96826,   -629.57,  629.1344,0.43560166,-543.22588, 53.811893, 489.41399, 4130.1218
     0.015, 539.20381,-553.93214, 553.44229,0.48984947, -544.3101, 27.230066, 517.08003, 3676.8674
    0.0152, 539.22853,-447.87505, 447.33288,0.54216408,-544.12265,0.97901657, 543.14364, 3067.1564
    0.0154, 537.69214,-324.47625, 296.30164, 28.174605,-542.31184,0.26812677, 542.04371, 2362.3393
    0.0156, 534.49168,-198.17489, 85.474389,  112.7005,-538.77425,-0.027226082, 538.80148, 1712.2286
    0.0158, 529.98383,-160.78484,0.26353968,  160.5213,-398.92201,-135.38206, 534.30407, 1433.2829
     0.016, 525.60763,-189.35035,0.20376509, 189.14658,-366.87518,-163.10988, 529.98506, 1542.1427
    0.0162, 521.74482,-236.99326,0.14318622, 236.85008,-334.70199,-191.51562, 526.21761, 1752.8302
    0.0164, 518.61861,-298.95374,0.082042339,  298.8717, -302.6289,-220.58648, 523.21539, 2052.1985
    0.0166, 516.38631,-370.13124,0.020574671, 370.11067, -270.8501,-250.27541, 521.12551, 2423.3734
    0.0168, 515.13549,-445.21572,-0.040974195,  445.2567,-239.52535,-280.49958, 520.02493, 2843.7223
     0.017, 514.88232,-518.82401,-0.10236136, 518.92637,-208.77879,-311.14024, 519.91903, 3284.0164
    0.0172, 515.57162,-585.63294,-0.16334454, 585.79629,-178.69865,-342.04336, 520.74201,  3708.914
    0.0174, 517.07794,-640.51363,-0.22368309, 640.73731,-149.33742,-373.02073, 522.35815, 4078.8068
    0.0176, 519.20969,-678.65755,-0.28313885, 678.94069,-120.71356,-403.85269, 524.56624, 4352.8335
    0.0178, 521.71536,-695.68487,-0.34147719, 696.02635,-92.814244,-434.29178, 527.10602,  4492.703
     0.018, 524.28666,-687.77297,-0.39846788, 688.17144,-65.596634,-464.06491, 529.66154, 4467.1701
