"time","y1","y","y2","y3","y4","y5","y6","Q","QI"
0.01,0,0,1,0,1,0,0,1,0
0.04,0,0,1,0,1,0,0,1,0
0.06,0,0,1,0,1,0,0,1,0
0.09,0,0,1,0,1,0,0,1,0
0.12,0,0,1,0,1,0,0,1,0
0.14,0,0,1,0,1,0,0,1,0
0.16,0,0,1,0,1,0,0,1,0
0.18,0,0,1,0,1,0,0,1,0
0.21,0,0,1,0,1,0,0,1,0
0.23,0,0,1,0,1,0,0,1,0
0.25,0,0,1,0,1,0,0,1,0
0.27,0,0,1,0,1,0,0,1,0
0.29,0,0,1,0,1,0,0,1,0
0.32,0,0,1,0,1,0,0,0,1
0.34,0,0,1,0,1,0,0,0,1
0.36,0,0,1,0,1,0,0,0,1
0.38,0,0,1,0,1,0,0,0,1
0.4,0,0,1,0,1,0,0,0,1
0.42,0,0,1,0,1,0,0,0,1
0.44,0,0,1,0,1,0,0,0,1
0.46,0,0,1,0,1,0,0,0,1
0.48,0,0,1,0,1,0,0,0,1
0.51,0,0,1,0,1,0,0,1,0
0.53,0,0,1,0,1,0,0,1,0
0.55,0,0,1,0,1,0,0,1,0
0.57,0,0,1,0,1,0,0,1,0
0.59,0,0,1,0,1,0,0,1,0
0.61,0,0,1,0,1,0,0,1,0
0.63,0,0,1,0,1,0,0,1,0
0.65,0,0,1,0,1,0,0,1,0
0.67,0,0,1,0,1,0,0,1,0
0.69,0,0,1,0,1,0,0,1,0
0.71,0,0,1,0,1,0,0,1,0
0.73,0,0,1,0,1,0,0,1,0
0.75,0,0,1,0,1,0,0,1,0
0.77,0,0,1,0,1,0,0,1,0
0.79,0,0,1,0,1,0,0,1,0
0.82,2,0,0,0,1,1,0,0,1
0.84,2,0,0,0,1,1,0,0,1
0.86,2,0,0,0,1,1,0,0,1
0.88,2,0,0,0,1,1,0,0,1
0.9,2,0,0,0,1,1,0,0,1
0.92,2,0,0,0,1,1,0,0,1
0.94,2,0,0,0,1,1,0,0,1
0.96,2,0,0,0,1,1,0,0,1
0.98,2,0,0,0,1,1,0,0,1
1.01,4,0,1,0,1,0,0,1,0
1.03,4,0,1,0,1,0,0,1,0
1.05,4,0,1,0,1,0,0,1,0
1.07,4,0,1,0,1,0,0,1,0
1.09,4,0,1,0,1,0,0,1,0
1.11,4,0,1,0,1,0,0,1,0
1.13,4,0,1,0,1,0,0,1,0
1.15,4,0,1,0,1,0,0,1,0
1.17,4,0,1,0,1,0,0,1,0
1.19,4,0,1,0,1,0,0,1,0
1.22,4,0,1,0,1,0,0,1,0
1.24,4,0,1,0,1,0,0,1,0
1.26,4,0,1,0,1,0,0,1,0
1.28,4,0,1,0,1,0,0,1,0
1.3,4,0,1,0,1,0,0,0,1
1.32,4,0,1,0,1,0,0,0,1
1.34,4,0,1,0,1,0,0,0,1
1.36,4,0,1,0,1,0,0,0,1
1.38,4,0,1,0,1,0,0,0,1
1.4,4,0,1,0,1,0,0,0,1
1.42,4,0,1,0,1,0,0,0,1
1.44,4,0,1,0,1,0,0,0,1
1.46,4,0,1,0,1,0,0,0,1
1.48,4,0,1,0,1,0,0,0,1
1.51,4,0,1,0,1,0,0,1,0
1.53,4,0,1,0,1,0,0,1,0
1.55,4,0,1,0,1,0,0,1,0
1.57,4,0,1,0,1,0,0,1,0
1.59,4,0,1,0,1,0,0,1,0
1.61,4,0,1,0,1,0,0,1,0
1.63,4,0,1,0,1,0,0,1,0
1.65,4,0,1,0,1,0,0,1,0
1.67,4,0,1,0,1,0,0,1,0
1.69,4,0,1,0,1,0,0,1,0
1.71,4,0,1,0,1,0,0,1,0
1.73,4,0,1,0,1,0,0,1,0
1.75,4,0,1,0,1,0,0,1,0
1.77,4,0,1,0,1,0,0,1,0
1.79,4,0,1,0,1,0,0,1,0
1.82,6,0,0,0,1,1,0,0,1
1.84,6,0,0,0,1,1,0,0,1
